Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Chinese Academy of Sciences,21278,181880,68.4133847166087,1,1.9898114061471943,CHINA MAINLAND,Research Institute
Centre National de la Recherche Scientifique (CNRS),16470,81993,66.19307832422587,2,1.0571260716454158,FRANCE,Research Council
University of California System,14615,141280,70.94765651727677,3,2.8070401778994185,USA,Academic System
Indian Institute of Technology System (IIT System),10767,55845,64.12185381257545,4,1.0137273520943624,INDIA,Academic System
Tsinghua University,9507,90208,69.53823498474809,5,2.578754338908173,CHINA MAINLAND,Academic
National Institute of Technology (NIT System),8279,39414,63.34098321053268,6,0.978067773885735,INDIA,Academic System
"University of Chinese Academy of Sciences, CAS",7698,52866,64.99090672902052,7,2.1286147570797613,CHINA MAINLAND,Academic
University of Texas System,7471,57730,69.91031990362735,8,1.7419897068665506,USA,Academic System
Shanghai Jiao Tong University,6614,51952,68.61203507710916,9,1.762877411551255,CHINA MAINLAND,Academic
University of London,6580,65692,71.0030395136778,10,2.2153754407294834,ENGLAND,Academic System
State University System of Florida,6525,46940,68.13793103448276,11,1.5456806436781612,USA,Academic System
University System of Georgia,6454,49706,69.15091416176014,12,1.8701311279826465,USA,Academic System
Beihang University,6343,45341,66.76651426769668,13,1.4098516159545955,CHINA MAINLAND,Academic
Carnegie Mellon University,6273,60520,71.65630479834209,14,3.2036827674159096,USA,Academic
University of Electronic Science & Technology of China,6241,60794,68.46659189232494,15,1.6553479891043101,CHINA MAINLAND,Academic
Egyptian Knowledge Bank (EKB),6155,41094,68.98456539398863,16,1.2287854914703493,EGYPT,Government
Harbin Institute of Technology,6048,59158,67.64219576719577,17,1.6464119708994711,CHINA MAINLAND,Academic
Beijing University of Posts & Telecommunications,6031,38896,62.95805007461449,18,1.2099677499585475,CHINA MAINLAND,Academic
Zhejiang University,5659,45922,71.65576957059551,19,1.6419107616186606,CHINA MAINLAND,Academic
Nanyang Technological University,5647,68577,75.6862050646361,20,2.3618381795643706,SINGAPORE,Academic
Nanyang Technological University & National Institute of Education (NIE) Singapore,5647,68577,75.6862050646361,20,2.3618381795643706,SINGAPORE,Academic
National University of Defense Technology - China,5477,28007,61.74913273689976,22,0.9938724484206682,CHINA MAINLAND,Academic
Massachusetts Institute of Technology (MIT),5371,53139,69.80078197728542,23,2.802136212995718,USA,Academic
Xidian University,5334,47447,73.4533183352081,24,1.376286670416198,CHINA MAINLAND,Academic
United States Department of Energy (DOE),5289,29992,65.83475137076952,25,1.2310052561920968,USA,Government
Peking University,5025,41615,67.64179104477613,26,2.540358248756219,CHINA MAINLAND,Academic
Southeast University - China,5013,46436,68.24256931976859,27,1.2861003391182926,CHINA MAINLAND,Academic
University of Illinois System,4965,39727,70.35246727089627,28,2.5385771198388722,USA,Academic System
Pennsylvania Commonwealth System of Higher Education (PCSHE),4933,38471,70.22096087573485,29,1.8285028380295967,USA,Academic System
