Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Chinese Academy of Sciences,66685,909143,81.94496513458799,1,1.2520441028717102,CHINA MAINLAND,Research Institute
Centre National de la Recherche Scientifique (CNRS),54655,736992,84.69856371786662,2,1.3219831525020582,FRANCE,Research Council
Russian Academy of Sciences,52245,322639,66.9269786582448,3,0.720616732701694,RUSSIA,National Academy
United States Department of Energy (DOE),35651,631106,85.92185352444531,4,1.6724276149336625,USA,Government
University of California System,31195,607575,87.41144414168937,5,1.8634211347972434,USA,Academic System
Max Planck Society,24477,511531,89.55345834865383,6,1.961882608162765,GERMANY (FED REP GER),Nonprofit
"University of Chinese Academy of Sciences, CAS",22681,270975,80.891495083991,7,1.1963167541113708,CHINA MAINLAND,Academic
Helmholtz Association,22130,295093,84.31540894713059,8,1.3464160822413014,GERMANY (FED REP GER),Nonprofit
Universite Paris Saclay,18353,317428,84.896202255762,9,1.6820573366752032,FRANCE,Academic
Indian Institute of Technology System (IIT System),17984,174263,80.64390569395017,10,1.0105161032028471,INDIA,Academic System
Istituto Nazionale di Fisica Nucleare (INFN),16653,263039,80.52603134570347,11,1.6169431033447426,ITALY,Research Institute
University of Tokyo,14709,236515,85.55306275069685,12,1.6388686586443675,JAPAN,Academic
CEA,13821,247216,84.55249258374937,13,1.716497800448593,FRANCE,Research Institute
Consejo Superior de Investigaciones Cientificas (CSIC),13794,251824,88.82847614905032,14,1.7286495142815717,SPAIN,Research Council
Sorbonne Universite,13307,273620,89.0734200045089,15,1.9475809724205304,FRANCE,Academic
Tsinghua University,13027,248734,84.19436554847624,16,1.7370712750441393,CHINA MAINLAND,Academic
"University of Science & Technology of China, CAS",12767,183725,84.56959348319887,17,1.3949632490013315,CHINA MAINLAND,Academic
National Aeronautics & Space Administration (NASA),12169,228607,85.73424274796614,18,1.9622619935902705,USA,Government
Consiglio Nazionale delle Ricerche (CNR),11589,136230,82.9234619035292,19,1.1910667098110277,ITALY,Research Council
Massachusetts Institute of Technology (MIT),11253,269022,87.49666755531858,20,2.3112720874433483,USA,Academic
Peking University,10996,188169,86.15860312841033,21,1.5454176427791926,CHINA MAINLAND,Academic
University of London,10825,229710,87.04849884526558,22,2.1080672702078522,ENGLAND,Academic System
Harvard University,10626,270246,88.6128364389234,23,2.3831970920383965,USA,Academic
Lomonosov Moscow State University,10601,124549,74.60616922931798,24,1.1581848221865862,RUSSIA,Academic
California Institute of Technology,10264,265547,89.11730319563523,25,2.5087182092751363,USA,Academic
University of Cambridge,10205,257434,88.89759921607056,26,2.3199736207741304,ENGLAND,Academic
University of Texas System,10020,192556,85.08982035928143,27,1.831309730538922,USA,Academic System
University of California Berkeley,9944,259837,90.94931617055511,28,2.4727271017699115,USA,Academic
University of Chicago,9637,241084,88.55452941786864,29,2.365426647296877,USA,Academic
Shanghai Jiao Tong University,9188,117638,82.55333043099695,30,1.2766630278624294,CHINA MAINLAND,Academic
State University System of Florida,9175,169936,81.40599455040872,31,1.714055553133515,USA,Academic System
Stanford University,9088,253826,87.12588028169014,32,2.514622832306338,USA,Academic
Communaute Universite Grenoble Alpes,8970,144154,85.03901895206243,33,1.6734826086956522,FRANCE,Academic System
PSL Research University Paris (ComUE),8966,197802,87.92103502119116,34,2.0880280392594246,FRANCE,Academic
Universite Grenoble Alpes (UGA),8843,142610,85.12948094538054,35,1.683195182630329,FRANCE,Academic
Huazhong University of Science & Technology,8809,111342,78.89658304007266,36,1.1626630605063004,CHINA MAINLAND,Academic
University System of Maryland,8661,196298,86.30643112804526,37,2.070657360581919,USA,Academic System
Istituto Nazionale Astrofisica (INAF),8630,193234,88.4936268829664,38,2.2223700811123988,ITALY,Research Institute
Egyptian Knowledge Bank (EKB),8600,89437,84.34883720930233,39,1.1707653139534884,EGYPT,Government
Polish Academy of Sciences,8533,132146,82.88995663893121,40,1.4892313957576468,POLAND,National Academy
Zhejiang University,8344,110993,82.29865771812081,41,1.2227569630872483,CHINA MAINLAND,Academic
Nanjing University,8272,127575,86.48452611218569,42,1.4205620285299807,CHINA MAINLAND,Academic
Universite de Paris,8268,208787,88.94533139816158,43,2.406393819545235,FRANCE,Academic
Pennsylvania Commonwealth System of Higher Education (PCSHE),8235,189662,87.38312082574377,44,2.1384041651487555,USA,Academic System
University of Oxford,8208,178913,89.33966861598441,45,2.0202804824561404,ENGLAND,Academic
Harbin Institute of Technology,8038,76858,82.04777307788007,46,0.9439826449365514,CHINA MAINLAND,Academic
Xi'an Jiaotong University,7803,85118,82.12226066897347,47,1.049265423555043,CHINA MAINLAND,Academic
Kyoto University,7776,108981,84.16923868312757,48,1.3603088348765433,JAPAN,Academic
University College London,7759,167959,87.42105941487304,49,2.116436306225029,ENGLAND,Academic
Princeton University,7624,170329,89.21825813221406,50,2.253905522035677,USA,Academic
University of Michigan System,7545,157997,85.56660039761431,51,2.0047542213386347,USA,Academic System
