Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of California System,55453,1029518,79.60074297152543,1,1.8857933547328367,USA,Academic System
Centre National de la Recherche Scientifique (CNRS),42708,628539,88.3698604476913,2,1.4076888920108646,FRANCE,Research Council
Chinese Academy of Sciences,41456,583593,88.30808568120418,3,1.534187615785411,CHINA MAINLAND,Research Institute
Harvard University,27563,717963,83.10416137575736,4,2.5881877553241663,USA,Academic
Russian Academy of Sciences,22786,137800,68.86684806460107,5,0.6431317343983147,RUSSIA,National Academy
University of London,21067,386710,81.34523187924242,6,1.929330635591209,ENGLAND,Academic System
State University System of Florida,20758,239513,76.0863281626361,7,1.2853907553714232,USA,Academic System
Institut National de la Sante et de la Recherche Medicale (Inserm),20748,340720,85.26122999807211,8,1.6065591767881244,FRANCE,Government
University of Texas System,20261,387176,80.82029514831449,9,1.870635575736637,USA,Academic System
Consejo Superior de Investigaciones Cientificas (CSIC),19630,282738,88.8537952114111,10,1.3508793988792664,SPAIN,Research Council
National Institutes of Health (NIH) - USA,19590,415309,79.0199081163859,11,2.1530367075038286,USA,Government
United States Department of Agriculture (USDA),17633,198757,82.45335450575625,12,1.2481102308172178,USA,Government
Helmholtz Association,16930,353997,88.80094506792676,13,2.0014364619019496,GERMANY (FED REP GER),Nonprofit
"University of Chinese Academy of Sciences, CAS",15754,207969,89.40586517709788,14,1.490794084042148,CHINA MAINLAND,Academic
University of North Carolina,15705,256427,78.73288761540911,15,1.735643005412289,USA,Academic System
Pennsylvania Commonwealth System of Higher Education (PCSHE),15216,267692,77.54994742376445,16,1.7747160357518401,USA,Academic System
Max Planck Society,15153,327816,86.99927407114103,17,2.0341982049759126,GERMANY (FED REP GER),Nonprofit
Egyptian Knowledge Bank (EKB),15089,129176,80.48909801842402,18,0.9543196301941812,EGYPT,Government
Universidade de Sao Paulo,14903,145302,82.23176541635912,19,0.9560658323827418,BRAZIL,Academic
INRAE,14639,229563,90.40234988728739,20,1.4675236833117016,FRANCE,National Academy
Harvard Medical School,14286,377021,85.60128797424052,21,2.804239731205376,USA,Health
University of Oxford,12945,282734,85.3379683275396,22,2.087132066434917,ENGLAND,Academic
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),12450,110018,84.06425702811245,23,0.8271794457831326,ARGENTINA,Government
University System of Georgia,12265,151307,77.1381981247452,24,1.3290130452507134,USA,Academic System
Cornell University,12235,234027,81.1932979158153,25,1.91988173273396,USA,Academic
University of Florida,12080,143148,77.74006622516556,26,1.3400076738410598,USA,Academic
University of Cambridge,11896,278768,84.43174176193679,27,2.2781034213180904,ENGLAND,Academic
University of Washington,11765,231156,79.60050998725032,28,2.117535053123672,USA,Academic System
University of Toronto,11665,217325,80.21431633090441,29,1.8789527903986283,CANADA,Academic
Stanford University,11478,292996,80.29273392577105,30,2.491061421850497,USA,Academic
University of Washington Seattle,11468,226717,79.5605162190443,31,2.123394323334496,USA,Academic
University of Copenhagen,11430,225272,84.84689413823273,32,1.8589018460192477,DENMARK,Academic
Sorbonne Universite,11338,176376,84.51225965778796,33,1.4466041541718118,FRANCE,Academic
CNRS - National Institute for Biology (INSB),11167,208895,89.29882690068953,34,1.6577921912778724,FRANCE,Research Institute
Chinese Academy of Agricultural Sciences,11038,123499,90.11596303678202,35,1.133652110889654,CHINA MAINLAND,Research Institute
Johns Hopkins University,10974,216024,78.89557135046473,36,1.970022607982504,USA,Academic
University of California Davis,10970,166001,79.46216955332726,37,1.5005778213309025,USA,Academic
University College London,10902,218701,80.60906255732893,38,2.110427875619153,ENGLAND,Academic
University of California San Diego,10679,240646,80.16668227362112,39,2.3354103474108063,USA,Academic
University of Pennsylvania,10400,216744,77.36538461538461,40,2.1637712115384615,USA,Academic
University of Michigan System,10120,197124,80.37549407114625,41,1.9200041996047432,USA,Academic System
University of Michigan,10102,196931,80.39992080776084,42,1.9190195505840428,USA,Academic
Zhejiang University,10035,147415,89.98505231689087,43,1.4806937717987045,CHINA MAINLAND,Academic
University of Illinois System,10013,133855,77.11974433236793,44,1.4741345550783982,USA,Academic System
Consiglio Nazionale delle Ricerche (CNR),9982,137571,88.22881186135044,45,1.3286846824283711,ITALY,Research Council
University of Wisconsin System,9966,150624,79.05879991972708,46,1.481721763997592,USA,Academic System
Universite Paris Saclay,9911,162921,86.2980526687519,47,1.5573259307839775,FRANCE,Academic
University of Minnesota System,9786,158962,79.4808910688739,48,1.7274702432045783,USA,Academic System
Shanghai Jiao Tong University,9647,144664,89.40603296361563,49,1.6050183165751013,CHINA MAINLAND,Academic
University of Melbourne,9510,175128,86.24605678233438,50,1.7636258675078866,AUSTRALIA,Academic
Universite de Paris,9286,154054,82.99590781822099,51,1.654252541460263,FRANCE,Academic
University of Queensland,9223,177211,87.40106256098883,52,1.8992320719939282,AUSTRALIA,Academic
University of Tokyo,9204,118092,83.86571056062581,53,1.2280953824424163,JAPAN,Academic
University of Minnesota Twin Cities,9200,153079,79.42391304347825,54,1.76492275,USA,Academic
Universite de Montpellier,9071,134221,87.91753941131077,55,1.4695034615808622,FRANCE,Academic
Institut de Recherche pour le Developpement (IRD),8990,122826,89.44382647385984,56,1.41604829810901,FRANCE,Government
Yale University,8945,159124,78.55785354946899,57,1.9047750698714365,USA,Academic
State University of New York (SUNY) System,8937,118061,75.71892133825668,58,1.3345711648204095,USA,Academic System
University of California San Francisco,8882,234203,78.95744201756362,59,2.7066640621481652,USA,Academic
United States Department of Energy (DOE),8776,187221,85.30082041932543,60,2.1559991681859616,USA,Government
Texas A&M University System,8749,119098,80.53491827637444,61,1.3945935078294662,USA,Academic System
University of California Los Angeles,8679,178619,79.66355570918309,62,2.1461103352920845,USA,Academic
Massachusetts Institute of Technology (MIT),8678,335763,87.16294076976261,63,3.5268946992394565,USA,Academic
