Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of California System,1508,41205,80.76923076923077,1,3.4642210875331565,USA,Academic System
Harvard University,1052,45073,84.69581749049429,2,4.827322908745248,USA,Academic
Chinese Academy of Sciences,961,26675,85.4318418314256,3,3.604320187304891,CHINA MAINLAND,Research Institute
University of London,854,17590,80.09367681498829,4,2.4091827868852462,ENGLAND,Academic System
Centre National de la Recherche Scientifique (CNRS),801,16411,87.89013732833958,5,1.9640876404494383,FRANCE,Research Council
University of Oxford,546,13788,80.76923076923077,6,3.6365545787545788,ENGLAND,Academic
Stanford University,515,21173,80.19417475728156,7,4.170937475728155,USA,Academic
Massachusetts Institute of Technology (MIT),483,28643,84.472049689441,8,6.637757556935818,USA,Academic
University of Cambridge,477,11711,74.84276729559748,9,2.98119392033543,ENGLAND,Academic
Kazan Federal University,473,396,28.964059196617338,10,0.06997357293868922,RUSSIA,Academic
Max Planck Society,456,13649,88.81578947368422,11,3.0036442982456144,GERMANY (FED REP GER),Nonprofit
Russian Academy of Sciences,451,4822,55.432372505543235,12,0.9691698447893571,RUSSIA,National Academy
United States Department of Energy (DOE),445,20111,85.39325842696628,13,3.9229155056179774,USA,Government
University of Texas System,423,13453,85.81560283687944,14,3.657075177304965,USA,Academic System
Helmholtz Association,422,17221,87.91469194312796,15,3.9518936018957347,GERMANY (FED REP GER),Nonprofit
Harvard Medical School,413,15572,88.37772397094432,16,4.597041162227604,USA,Health
University College London,413,9430,78.93462469733656,16,2.687471186440678,ENGLAND,Academic
Tomsk State University,392,219,27.040816326530614,18,0.04775510204081632,RUSSIA,Academic
National Institutes of Health (NIH) - USA,378,12875,89.41798941798942,19,5.492413227513228,USA,Government
State University System of Florida,358,7254,78.2122905027933,20,2.8206351955307265,USA,Academic System
Egyptian Knowledge Bank (EKB),342,2284,70.46783625730994,21,0.676033918128655,EGYPT,Government
Institut National de la Sante et de la Recherche Medicale (Inserm),336,8067,90.47619047619048,22,2.4166663690476193,FRANCE,Government
Pennsylvania Commonwealth System of Higher Education (PCSHE),334,8447,80.83832335329342,23,3.111528143712575,USA,Academic System
Imperial College London,332,9774,81.32530120481928,24,3.961685542168675,ENGLAND,Academic
University of North Carolina,323,8475,85.44891640866872,25,3.5072284829721365,USA,Academic System
University of Washington,310,10272,85.80645161290322,26,4.168200967741935,USA,Academic System
University of Washington Seattle,305,10246,86.22950819672131,27,4.227448196721312,USA,Academic
University of Tokyo,302,6852,85.43046357615894,28,2.1542566225165563,JAPAN,Academic
Johns Hopkins University,284,8161,86.26760563380282,29,3.5789461267605636,USA,Academic
Yale University,282,7289,74.822695035461,30,3.948447872340426,USA,Academic
University of California Berkeley,281,8156,80.78291814946618,31,3.4328868327402136,USA,Academic
Indian Institute of Technology System (IIT System),280,961,66.42857142857143,32,0.46250821428571426,INDIA,Academic System
Islamic Azad University,280,406,31.785714285714285,32,0.16324678571428572,IRAN,Academic
University of California San Diego,278,8177,84.17266187050359,34,3.453541366906475,USA,Academic
Diponegoro University,273,235,23.809523809523807,35,0.83252673992674,INDONESIA,Academic
University of Toronto,272,7163,85.66176470588235,36,2.9460911764705884,CANADA,Academic
Universiti Teknologi Malaysia,270,365,42.96296296296296,37,0.4586540740740741,MALAYSIA,Academic
"University of Chinese Academy of Sciences, CAS",270,5374,87.4074074074074,37,2.917120740740741,CHINA MAINLAND,Academic
Consejo Superior de Investigaciones Cientificas (CSIC),269,4903,86.98884758364312,39,2.081785873605948,SPAIN,Research Council
University of California Los Angeles,266,6300,79.69924812030075,40,3.1959988721804513,USA,Academic
Columbia University,266,11993,84.21052631578947,40,5.8469992481203015,USA,Academic
Duke University,261,5755,78.544061302682,42,2.698086206896552,USA,Academic
University of Pennsylvania,258,7250,81.78294573643412,43,3.5524918604651163,USA,Academic
Universiti Kebangsaan Malaysia,255,889,59.6078431372549,44,0.6861211764705882,MALAYSIA,Academic
Universidade de Sao Paulo,251,3107,80.47808764940238,45,1.7566693227091634,BRAZIL,Academic
Peking University,245,5435,84.89795918367346,46,2.5916551020408165,CHINA MAINLAND,Academic
University System of Georgia,245,5239,77.55102040816327,46,2.7978857142857145,USA,Academic System
University of Chicago,243,6289,79.83539094650206,48,2.865249794238683,USA,Academic
University of California San Francisco,239,6947,83.26359832635984,49,2.8533196652719663,USA,Academic
University of Michigan,237,4863,78.48101265822784,50,2.3138097046413506,USA,Academic
University of Michigan System,237,4863,78.48101265822784,50,2.3138097046413506,USA,Academic System
Cornell University,234,7129,79.48717948717949,52,3.409410683760684,USA,Academic
Consiglio Nazionale delle Ricerche (CNR),230,4611,88.69565217391305,53,2.00649347826087,ITALY,Research Council
Universiti Teknologi MARA,228,262,40.35087719298245,54,0.41335964912280704,MALAYSIA,Academic
University of Copenhagen,224,6245,87.94642857142857,55,2.5354620535714285,DENMARK,Academic
Stavropol State Agrarian University,224,657,55.35714285714286,55,0.19804241071428572,RUSSIA,Academic
University of Edinburgh,215,4446,81.3953488372093,57,2.785637674418605,SCOTLAND,Academic
ETH Zurich,212,5006,85.37735849056604,58,2.987054245283019,SWITZERLAND,Academic
Tsinghua University,209,7125,81.3397129186603,59,5.302394258373205,CHINA MAINLAND,Academic
Sorbonne Universite,209,4099,89.47368421052632,59,2.285252631578947,FRANCE,Academic
Seoul National University (SNU),208,2788,85.09615384615384,61,1.2842697115384616,SOUTH KOREA,Academic
University of Queensland,204,5528,80.88235294117648,62,2.9565593137254904,AUSTRALIA,Academic
Universite Paris Saclay,203,4568,89.16256157635468,63,2.157371428571429,FRANCE,Academic
University of Illinois System,203,4585,77.33990147783251,63,2.5955403940886703,USA,Academic System
University of California Davis,202,5179,77.72277227722772,65,3.9773366336633664,USA,Academic
University System of Maryland,201,6666,83.08457711442786,66,4.120469154228856,USA,Academic System
Northwestern University,198,5418,87.87878787878788,67,3.2216636363636364,USA,Academic
New York University,198,4676,76.26262626262627,67,2.7910994949494947,USA,Academic
National University of Singapore,198,4496,83.83838383838383,67,2.6660439393939397,SINGAPORE,Academic
Howard Hughes Medical Institute,198,10483,87.87878787878788,67,5.572656060606061,USA,Nonprofit
Shanghai Jiao Tong University,196,6123,84.18367346938776,71,3.471894387755102,CHINA MAINLAND,Academic
State University of New York (SUNY) System,193,3489,78.75647668393782,72,1.7909844559585493,USA,Academic System
University of Colorado System,189,3809,75.66137566137566,73,2.687279365079365,USA,Academic System
Princeton University,188,6948,77.6595744680851,74,4.924601063829788,USA,Academic
Indian Council of Agricultural Research (ICAR),187,535,59.35828877005348,75,0.46085775401069523,INDIA,Research Council
Arizona State University,185,3810,79.45945945945945,76,2.8076762162162163,USA,Academic System
Zhejiang University,184,5657,85.86956521739131,77,2.9169657608695654,CHINA MAINLAND,Academic
