Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Tongji University,5097,40781,77.59466352756523,1,0.9871073768883657,CHINA MAINLAND,Academic
Indian Institute of Technology System (IIT System),3682,24370,75.99130907115698,2,0.9471012764801738,INDIA,Academic System
Southeast University - China,3607,31300,78.0981425006931,3,1.0821298031605213,CHINA MAINLAND,Academic
Tsinghua University,2931,33356,80.14329580348004,4,1.3070773114977825,CHINA MAINLAND,Academic
University of California System,2797,30723,83.8398283875581,5,1.3813941723274938,USA,Academic System
Harbin Institute of Technology,2240,16649,73.61607142857143,6,0.8949674107142858,CHINA MAINLAND,Academic
Chinese Academy of Sciences,2223,24290,82.90598290598291,7,1.2941910481331536,CHINA MAINLAND,Research Institute
Beijing Jiaotong University,2201,15193,63.51658337119491,8,0.9754991821899136,CHINA MAINLAND,Academic
Centre National de la Recherche Scientifique (CNRS),2138,18630,79.18615528531338,9,1.0214002806361084,FRANCE,Research Council
Hong Kong Polytechnic University,2076,27275,88.82466281310212,10,1.6028611753371869,HONG KONG,Academic
Delft University of Technology,2046,19164,78.10361681329422,11,1.2536308406647116,NETHERLANDS,Academic
Southwest Jiaotong University,1995,15267,71.07769423558898,12,0.9951377944862155,CHINA MAINLAND,Academic
Egyptian Knowledge Bank (EKB),1990,16954,78.14070351758794,13,1.0430161809045226,EGYPT,Government
Dalian University of Technology,1968,17407,82.82520325203252,14,1.0230272865853658,CHINA MAINLAND,Academic
State University System of Florida,1960,15200,76.68367346938776,15,1.090295306122449,USA,Academic System
National Institute of Technology (NIT System),1801,11802,77.0682953914492,16,0.9616802887284842,INDIA,Academic System
Moscow State University of Civil Engineering,1756,2749,41.68564920273349,17,0.9617365603644648,RUSSIA,Academic
Zhejiang University,1748,14988,78.14645308924484,18,1.0614767734553776,CHINA MAINLAND,Academic
Chang'an University,1741,12447,73.75071797817347,19,0.939819184376795,CHINA MAINLAND,Academic
University of Texas System,1723,14909,76.90075449796866,20,1.259506326175276,USA,Academic System
Islamic Azad University,1705,16298,81.64222873900293,21,1.1228952492668622,IRAN,Academic
Shanghai Jiao Tong University,1685,17123,81.54302670623146,22,1.202153412462908,CHINA MAINLAND,Academic
Tianjin University,1614,14280,85.31598513011153,23,0.9907356257744735,CHINA MAINLAND,Academic
Texas A&M University System,1572,12712,77.09923664122137,24,1.184386513994911,USA,Academic System
Central South University,1552,15990,86.53350515463917,25,1.3084056056701032,CHINA MAINLAND,Academic
Hohai University,1545,12214,80.71197411003236,26,0.9268657605177995,CHINA MAINLAND,Academic
Wuhan University of Technology,1537,11919,76.90305790500976,27,1.0322736499674692,CHINA MAINLAND,Academic
Chongqing University,1532,14052,81.98433420365535,28,1.141487859007833,CHINA MAINLAND,Academic
Texas A&M University College Station,1454,11783,77.85419532324622,29,1.1866819807427786,USA,Academic
Polytechnic University of Milan,1363,10287,69.33235509904621,30,1.1412826118855468,ITALY,Academic
University of New South Wales Sydney,1336,15366,86.07784431137725,31,1.3694374251497006,AUSTRALIA,Academic
Nanyang Technological University,1288,14860,81.05590062111801,32,1.2646715062111802,SINGAPORE,Academic
Nanyang Technological University & National Institute of Education (NIE) Singapore,1288,14860,81.05590062111801,32,1.2646715062111802,SINGAPORE,Academic
Universidade de Lisboa,1282,12454,81.98127925117005,34,1.2444682527301092,PORTUGAL,Academic
Hunan University,1218,15335,85.79638752052546,35,1.30081026272578,CHINA MAINLAND,Academic
United States Department of Energy (DOE),1216,12510,77.71381578947368,36,1.2491439967105264,USA,Government
Norwegian University of Science & Technology (NTNU),1212,11488,81.1881188118812,37,1.2727593234323433,NORWAY,Academic
University of Illinois System,1197,9812,80.53467000835421,38,1.0958666666666668,USA,Academic System
National University of Singapore,1178,16199,85.56876061120543,39,1.5837561120543293,SINGAPORE,Academic
University of Tehran,1148,10218,81.79442508710801,40,1.0471172473867596,IRAN,Academic
Purdue University System,1102,10259,82.12341197822141,41,1.0955583484573503,USA,Academic System
Purdue University,1092,10217,82.23443223443223,42,1.101032326007326,USA,Academic
University of London,1076,11311,82.43494423791822,43,1.422592286245353,ENGLAND,Academic System
Purdue University West Lafayette Campus,1065,10147,82.62910798122066,44,1.1170999061032865,USA,Academic
Helmholtz Association,1060,7362,67.0754716981132,45,1.3247303773584906,GERMANY (FED REP GER),Nonprofit
Technical University of Munich,1057,5658,59.69725638599811,46,1.1658686849574267,GERMANY (FED REP GER),Academic
Wuhan University,1053,10288,84.04558404558404,47,1.1243443494776828,CHINA MAINLAND,Academic
China University of Mining & Technology,1049,7697,79.2183031458532,48,0.9267180171591992,CHINA MAINLAND,Academic
University of California Berkeley,1027,13426,85.10223953261928,49,1.6957519961051606,USA,Academic
ETH Zurich,1024,12882,81.15234375,50,1.69153056640625,SWITZERLAND,Academic
University of North Carolina,1011,7186,74.57962413452027,51,0.909490900098912,USA,Academic System
Beijing University of Technology,1004,8934,79.4820717131474,52,1.1132335657370518,CHINA MAINLAND,Academic
University System of Georgia,996,10948,80.02008032128514,53,1.4343595381526104,USA,Academic System
Huazhong University of Science & Technology,982,11590,84.82688391038697,54,1.3577969450101834,CHINA MAINLAND,Academic
University of Illinois Urbana-Champaign,962,8063,80.97713097713097,55,1.0769692307692307,USA,Academic
Pennsylvania Commonwealth System of Higher Education (PCSHE),962,8902,76.71517671517671,55,1.0948471933471933,USA,Academic System
Virginia Polytechnic Institute & State University,961,6277,73.56919875130072,57,0.9837906347554631,USA,Academic
University of Hong Kong,949,12393,87.77660695468916,58,1.713177133825079,HONG KONG,Academic
South China University of Technology,944,7804,77.33050847457628,59,1.0127022245762711,CHINA MAINLAND,Academic
Xi'an University of Architecture & Technology,942,7848,83.01486199575372,60,1.1127115711252655,CHINA MAINLAND,Academic
Polytechnic University of Catalonia,921,7282,76.0043431053203,61,1.100483821932682,SPAIN,Academic
University of Sydney,913,10594,85.1040525739321,62,1.4959932092004382,AUSTRALIA,Academic
University of Zilina,906,2331,61.69977924944813,63,1.5925113686534216,SLOVAKIA,Academic
Czech Technical University Prague,901,2691,53.94006659267481,64,0.7725865704772475,CZECH REPUBLIC,Academic
Universite Gustave-Eiffel,899,7645,75.08342602892102,65,1.1678289210233594,FRANCE,Academic
University of Michigan System,881,10347,81.1577752553916,66,1.5913535754824064,USA,Academic System
University of Michigan,875,10341,81.25714285714287,67,1.5916465142857144,USA,Academic
Iran University Science & Technology,874,7391,89.58810068649885,68,0.9797657894736843,IRAN,Academic
Universidad Politecnica de Madrid,869,5769,70.19562715765247,69,0.8495724971231301,SPAIN,Academic
Polytechnic University of Turin,863,6355,73.117033603708,70,1.2683274623406722,ITALY,Academic
Imperial College London,863,9818,80.88064889918888,70,1.364653881807648,ENGLAND,Academic
Universiti Teknologi Malaysia,862,8506,68.44547563805105,72,1.5874716937354991,MALAYSIA,Academic
Technical University of Denmark,859,9109,83.35273573923166,73,1.4554997671711292,DENMARK,Academic
University of Waterloo,857,9798,83.08051341890315,74,1.3828558926487748,CANADA,Academic
University of Naples Federico II,853,9119,81.7116060961313,75,1.4856418522860493,ITALY,Academic
University College London,841,8815,84.89892984542212,76,1.4420535077288943,ENGLAND,Academic
University of Texas Austin,833,8730,79.35174069627851,77,1.3095939975990398,USA,Academic
RWTH Aachen University,826,5982,69.8547215496368,78,1.1244193704600485,GERMANY (FED REP GER),Academic
Georgia Institute of Technology,822,9167,79.92700729927007,79,1.4778513381995135,USA,Academic
Monash University,820,10838,86.46341463414635,80,1.5479831707317073,AUSTRALIA,Academic
University of British Columbia,818,10059,86.55256723716381,81,1.3067935207823962,CANADA,Academic
Royal Melbourne Institute of Technology (RMIT),806,9063,83.00248138957816,82,1.404323200992556,AUSTRALIA,Academic
Seoul National University (SNU),801,5321,80.89887640449437,83,0.790796254681648,SOUTH KOREA,Academic
Ecole Polytechnique Federale de Lausanne,769,8703,80.36410923276983,84,1.4192522756827048,SWITZERLAND,Academic
Universidade do Porto,759,5591,76.6798418972332,85,1.2613284584980238,PORTUGAL,Academic
Beihang University,752,7317,71.67553191489363,86,1.2217272606382978,CHINA MAINLAND,Academic
University of Tokyo,748,4702,71.65775401069519,87,0.8634005347593584,JAPAN,Academic
Silesian University of Technology,735,2569,59.863945578231295,88,0.964142993197279,POLAND,Academic
California State University System,734,4577,70.16348773841962,89,0.8915814713896457,USA,Academic System
City University of Hong Kong,732,8568,88.52459016393442,90,1.4067004098360656,HONG KONG,Academic
Universitat Politecnica de Valencia,721,4859,77.53120665742024,91,1.1324747572815534,SPAIN,Academic
Massachusetts Institute of Technology (MIT),718,9148,82.72980501392759,92,1.4222441504178274,USA,Academic
University of Toronto,718,6423,82.45125348189416,92,1.1063201949860724,CANADA,Academic
Curtin University,714,9917,90.61624649859944,94,1.4444098039215687,AUSTRALIA,Academic
Eindhoven University of Technology,713,9074,81.7671809256662,95,1.6188887798036466,NETHERLANDS,Academic
Pennsylvania State University,713,6628,77.27910238429172,95,1.0735603085553997,USA,Academic
Hanyang University,712,5797,81.32022471910112,97,0.9199830056179776,SOUTH KOREA,Academic
Ghent University,711,7937,77.49648382559775,98,1.2494538677918425,BELGIUM,Academic
University of Alberta,709,4632,81.66431593794076,99,0.8710537376586741,CANADA,Academic
Royal Institute of Technology,703,6035,79.23186344238977,100,1.1422706970128023,SWEDEN,Academic
CNRS - Institute for Engineering & Systems Sciences (INSIS),702,6177,83.9031339031339,101,0.9662235042735043,FRANCE,Research Institute
University of Florida,700,5370,74.71428571428571,102,1.125676857142857,USA,Academic
Iowa State University,698,5885,82.09169054441261,103,1.1080762177650432,USA,Academic
Chalmers University of Technology,696,6912,78.30459770114942,104,1.5566206896551726,SWEDEN,Academic
Beijing Institute of Technology,694,6737,68.29971181556196,105,1.3723572046109511,CHINA MAINLAND,Academic
Shenzhen University,688,8618,84.30232558139535,106,1.452827761627907,CHINA MAINLAND,Academic
University of Colorado System,687,5562,73.7991266375546,107,0.9633714701601166,USA,Academic System
University of Wisconsin System,681,5955,79.58883994126285,108,1.354870631424376,USA,Academic System
University of Technology Sydney,675,8570,81.62962962962963,109,1.6744592592592593,AUSTRALIA,Academic
University of Missouri System,673,7183,80.0891530460624,110,1.1674564635958395,USA,Academic System
Ministry of Education & Science of Ukraine,673,1116,41.90193164933135,110,0.7557032689450224,UKRAINE,Government
Hong Kong University of Science & Technology,671,9645,90.1639344262295,112,1.5921667660208645,HONG KONG,Academic
Amirkabir University of Technology,669,5891,85.79970104633782,113,0.9502834080717488,IRAN,Academic
Arizona State University,666,6186,75.07507507507508,114,1.233081981981982,USA,Academic System
Shandong University,665,5524,77.44360902255639,115,1.0005386466165413,CHINA MAINLAND,Academic
University of Nottingham,664,5846,77.86144578313254,116,1.05040421686747,ENGLAND,Academic
National Technical University of Athens,662,5768,81.87311178247734,117,1.3247422960725077,GREECE,Academic
Concordia University - Canada,662,6798,83.68580060422961,117,1.006525075528701,CANADA,Academic
University System of Maryland,659,5838,84.06676783004552,119,1.055102124430956,USA,Academic System
Cracow University of Technology,654,2011,51.8348623853211,120,1.1068111620795107,POLAND,Academic
Vilnius Gediminas Technical University,653,3580,70.90352220520674,121,1.1974955589586525,LITHUANIA,Academic
University of Sheffield,653,7477,81.01071975497703,121,1.3175098009188362,ENGLAND,Academic
University of Auckland,649,5643,84.59167950693374,123,1.027369183359014,NEW ZEALAND,Academic
Technische Universitat Dresden,648,4028,62.65432098765432,124,1.0308415123456791,GERMANY (FED REP GER),Academic
Warsaw University of Technology,643,1950,61.89735614307932,125,0.8921297045101089,POLAND,Academic
"University of Chinese Academy of Sciences, CAS",642,5855,81.46417445482867,126,1.207523831775701,CHINA MAINLAND,Academic
University of Melbourne,638,7589,88.08777429467085,127,1.515587617554859,AUSTRALIA,Academic
Queensland University of Technology (QUT),627,6314,86.28389154704944,128,1.129456937799043,AUSTRALIA,Academic
Brno University of Technology,624,1873,53.044871794871796,129,0.9165471153846155,CZECH REPUBLIC,Academic
Arizona State University-Tempe,620,6122,78.54838709677419,130,1.308165,USA,Academic
United States Department of Defense,615,2875,62.926829268292686,131,0.6358487804878049,USA,Government
Indian Institute of Technology (IIT) - Madras,614,3384,73.28990228013029,132,0.8437938110749187,INDIA,Academic
