Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Chinese Academy of Sciences,29553,196681,62.69075897540013,1,1.1996284370453085,CHINA MAINLAND,Research Institute
Centre National de la Recherche Scientifique (CNRS),22062,97459,59.65007705557066,2,0.8931958797933097,FRANCE,Research Council
Indian Institute of Technology System (IIT System),20864,99272,61.421587423312886,3,0.8252968797929447,INDIA,Academic System
University of California System,17066,143706,67.56123286065862,4,2.0207903199343726,USA,Academic System
Tsinghua University,15280,134442,65.41230366492147,5,1.6652795353403143,CHINA MAINLAND,Academic
National Institute of Technology (NIT System),14376,59140,61.03227601558152,6,0.7547960837506956,INDIA,Academic System
University of Electronic Science & Technology of China,13472,92242,61.705760095011875,7,1.0332055522565322,CHINA MAINLAND,Academic
Harbin Institute of Technology,11580,92457,62.2020725388601,8,1.0710799136442142,CHINA MAINLAND,Academic
Southeast University - China,11319,96079,64.32547044791943,9,1.1549866242600937,CHINA MAINLAND,Academic
Shanghai Jiao Tong University,11068,73166,63.498373689916875,10,1.1430376490784242,CHINA MAINLAND,Academic
Xidian University,10185,79958,68.32596956308296,11,1.033325910652921,CHINA MAINLAND,Academic
Beijing University of Posts & Telecommunications,10153,56409,56.81079483896385,12,0.913649502610066,CHINA MAINLAND,Academic
Beihang University,10046,72879,64.13497909615768,13,1.1116888711925146,CHINA MAINLAND,Academic
Zhejiang University,9990,77607,65.2052052052052,14,1.1889136836836838,CHINA MAINLAND,Academic
"University of Chinese Academy of Sciences, CAS",9977,54290,61.31101533527112,15,1.2638002605993786,CHINA MAINLAND,Academic
Egyptian Knowledge Bank (EKB),9732,54035,67.57090012330457,16,1.0128943279901357,EGYPT,Government
Russian Academy of Sciences,9183,18682,45.98715016879016,17,0.4684892627681586,RUSSIA,National Academy
Huazhong University of Science & Technology,9150,76928,66.05464480874316,18,1.256721573770492,CHINA MAINLAND,Academic
Nanyang Technological University,8954,87962,68.90775072593254,19,1.5836950413223143,SINGAPORE,Academic
Nanyang Technological University & National Institute of Education (NIE) Singapore,8954,87962,68.90775072593254,19,1.5836950413223143,SINGAPORE,Academic
Xi'an Jiaotong University,8619,58184,63.75449588119272,21,0.9812483118691265,CHINA MAINLAND,Academic
University of Texas System,8326,69672,66.74273360557291,22,1.7775759908719673,USA,Academic System
State University System of Florida,8303,51545,63.21811393472239,23,1.2691151872817055,USA,Academic System
United States Department of Energy (DOE),8006,50321,58.918311266550084,24,1.1984540844366727,USA,Government
Beijing Institute of Technology,7698,51168,61.37957911145752,25,1.06949631073006,CHINA MAINLAND,Academic
University System of Georgia,7695,56033,67.48538011695906,26,1.6952412085769981,USA,Academic System
National University of Defense Technology - China,7600,34014,58.60526315789474,27,0.7697462368421054,CHINA MAINLAND,Academic
Northwestern Polytechnical University,6949,53780,65.69290545402217,28,1.1936256583681106,CHINA MAINLAND,Academic
Universite Paris Saclay,6813,39979,60.017613386173494,29,1.010086863349479,FRANCE,Academic
Ministry of Education & Science of Ukraine,6565,10418,43.031226199543035,30,0.6330785986290937,UKRAINE,Government
State Grid Corporation of China,6446,17907,40.73844244492709,31,0.6077087806391561,CHINA MAINLAND,Corporate
Georgia Institute of Technology,6324,47252,68.1056293485136,32,1.785069908285895,USA,Academic
Tianjin University,6312,43723,65.38339670468947,33,1.0362014575411913,CHINA MAINLAND,Academic
Helmholtz Association,6252,31864,60.02879078694817,34,1.0604453934740885,GERMANY (FED REP GER),Nonprofit
Nanjing University of Aeronautics & Astronautics,6052,35239,64.8876404494382,35,0.8473769828155981,CHINA MAINLAND,Academic
Peking University,5973,43064,60.40515653775322,36,1.584667955801105,CHINA MAINLAND,Academic
South China University of Technology,5916,49196,66.34550371872888,37,1.1403294624746452,CHINA MAINLAND,Academic
University of London,5890,63505,66.99490662139219,38,1.7974071986417657,ENGLAND,Academic System
Massachusetts Institute of Technology (MIT),5853,53088,67.70886724756535,39,2.1376564496839228,USA,Academic
Beijing Jiaotong University,5704,37603,59.817671809256666,40,0.9943944424964938,CHINA MAINLAND,Academic
"University of Science & Technology of China, CAS",5525,38691,64.25339366515837,41,1.3753777556561086,CHINA MAINLAND,Academic
National University of Singapore,5281,62111,71.12289339140314,42,1.9964236318879,SINGAPORE,Academic
Wuhan University,5273,44326,71.11701118907644,43,1.1662535748150957,CHINA MAINLAND,Academic
United States Department of Defense,5267,22015,56.29390544902222,44,1.116657243212455,USA,Government
Nanjing University of Science & Technology,5200,38740,65.07692307692308,45,1.0963801153846156,CHINA MAINLAND,Academic
Pennsylvania Commonwealth System of Higher Education (PCSHE),5078,36831,64.43481685703033,46,1.5775806025994488,USA,Academic System
Northeastern University - China,5017,39480,67.63005780346822,47,1.0783680884991032,CHINA MAINLAND,Academic
Chongqing University,4996,38054,66.25300240192153,48,1.0409897117694156,CHINA MAINLAND,Academic
Shandong University,4995,28846,63.60360360360361,49,0.971609029029029,CHINA MAINLAND,Academic
Nanjing University of Posts & Telecommunications,4954,30823,57.226483649576096,50,0.910824061364554,CHINA MAINLAND,Academic
Aalborg University,4882,51647,69.99180663662433,51,1.6023751741089718,DENMARK,Academic
Technical University of Munich,4804,33357,63.78018318068276,52,1.7273199208992507,GERMANY (FED REP GER),Academic
University of Illinois System,4802,34653,66.97209496043315,53,2.0383766139108705,USA,Academic System
Communaute Universite Grenoble Alpes,4795,21077,59.47862356621481,54,0.9683235870698644,FRANCE,Academic System
Korea Advanced Institute of Science & Technology (KAIST),4753,27699,68.04123711340206,55,1.1806885545970967,SOUTH KOREA,Academic
Islamic Azad University,4726,34599,74.94710114261532,56,0.9155488573846806,IRAN,Academic
University of Michigan System,4611,31546,68.61852092821515,57,1.587309195402299,USA,Academic System
Universite Grenoble Alpes (UGA),4609,19430,58.99327402907355,58,0.9625088088522458,FRANCE,Academic
University of Michigan,4545,31215,68.69086908690869,59,1.598112387238724,USA,Academic
University of Tokyo,4478,16782,55.80616346583296,60,0.9320774452880751,JAPAN,Academic
University of North Carolina,4469,29203,61.80353546654732,61,1.4013275900648916,USA,Academic System
Dalian University of Technology,4328,40757,69.68576709796673,62,1.3496784658040666,CHINA MAINLAND,Academic
North China Electric Power University,4298,23142,54.071661237785015,63,0.7673580037226618,CHINA MAINLAND,Academic
Imperial College London,4296,37068,70.94972067039106,64,1.7374971135940411,ENGLAND,Academic
Polytechnic University of Milan,4261,27445,61.39403895799108,65,1.2799908002816243,ITALY,Academic
Delft University of Technology,4227,25611,67.70759403832506,66,1.329406789685356,NETHERLANDS,Academic
ETH Zurich,4128,39159,72.23837209302324,67,2.2343518168604652,SWITZERLAND,Academic
City University of Hong Kong,4098,49820,75.15861395802831,68,1.6427664470473402,HONG KONG,Academic
Sun Yat Sen University,4093,33655,67.0412900073296,69,1.361518494991449,CHINA MAINLAND,Academic
Royal Institute of Technology,4084,27015,66.55239960822723,70,1.2100533300685603,SWEDEN,Academic
University of New South Wales Sydney,4078,37320,66.5767533104463,71,1.4823659882295241,AUSTRALIA,Academic
Consiglio Nazionale delle Ricerche (CNR),4059,22950,63.365360926336535,72,0.9299482877556049,ITALY,Research Council
Shenzhen University,3997,33036,68.00100075056292,73,1.1359942707030275,CHINA MAINLAND,Academic
Ecole Polytechnique Federale de Lausanne,3983,28325,66.85915139342204,74,1.6053157670097917,SWITZERLAND,Academic
Purdue University System,3983,24031,63.01782575947779,74,1.253186668340447,USA,Academic System
Purdue University,3957,23930,63.10336113217083,76,1.258556962345211,USA,Academic
State University of New York (SUNY) System,3957,28422,65.45362648471064,76,1.5488171089208997,USA,Academic System
University of California Berkeley,3952,46461,71.5334008097166,78,3.1597532641700403,USA,Academic
National Yang Ming Chiao Tung University,3945,16753,58.935361216730044,79,0.7695103422053232,TAIWAN,Academic
Polytechnic University of Catalonia,3848,22272,63.33160083160083,80,0.9931728950103951,SPAIN,Academic
University of Illinois Urbana-Champaign,3847,27664,67.92305692747595,81,2.1314253964127894,USA,Academic
University of Technology Sydney,3844,46142,73.2570239334027,82,2.416997528616025,AUSTRALIA,Academic
CNRS - Institute for Engineering & Systems Sciences (INSIS),3840,13173,55.3125,83,0.6556744010416667,FRANCE,Research Institute
Stanford University,3838,40826,68.65554976550287,84,2.6906911672746223,USA,Academic
Purdue University West Lafayette Campus,3810,23317,63.280839895013116,85,1.269644593175853,USA,Academic
Chinese University of Hong Kong,3807,43636,70.10769634883111,86,2.3307005778828476,HONG KONG,Academic
University of Waterloo,3752,37056,69.10980810234541,87,1.5138952558635395,CANADA,Academic
Huawei Technologies,3745,34655,61.49532710280374,88,1.7243670226969292,CHINA MAINLAND,Corporate
Carnegie Mellon University,3743,39941,73.44376168848518,89,2.966573283462463,USA,Academic
University System of Maryland,3727,30068,65.44137375905554,90,1.6583835524550576,USA,Academic System
IMT - Institut Mines-Telecom,3708,19471,62.54045307443366,91,1.1403353290183387,FRANCE,Academic System
Polytechnic University of Turin,3696,15874,60.091991341991346,92,0.9814215638528139,ITALY,Academic
Harbin Engineering University,3672,22685,63.643790849673195,93,0.8281857843137255,CHINA MAINLAND,Academic
Shanghai University,3638,20734,58.328752061572295,94,0.921099807586586,CHINA MAINLAND,Academic
Hong Kong Polytechnic University,3621,41546,72.88041977354321,95,1.6585770229218448,HONG KONG,Academic
Seoul National University (SNU),3606,22986,68.96838602329451,96,1.287857182473655,SOUTH KOREA,Academic
University of Quebec,3564,20868,60.38159371492705,97,1.12198145342312,CANADA,Academic System
IMEC,3510,19880,64.92877492877493,98,1.337741225071225,BELGIUM,Research Institute
Texas A&M University System,3488,20915,61.81192660550459,99,1.3045545871559634,USA,Academic System
Fraunhofer Gesellschaft,3476,13425,56.300345224395855,100,0.9960829976985041,GERMANY (FED REP GER),Nonprofit
Tongji University,3467,22369,62.18632823766945,101,1.0620673781367176,CHINA MAINLAND,Academic
Intel Corporation,3414,23360,62.331575864089054,102,1.9331403925014647,USA,Corporate
National Taiwan University,3406,12181,58.07398708162067,103,0.8018058132706988,TAIWAN,Academic
Southwest Jiaotong University,3405,29159,64.55212922173274,104,1.1624079295154186,CHINA MAINLAND,Academic
Virginia Polytechnic Institute & State University,3403,30195,66.64707610931531,105,1.7669039964736997,USA,Academic
Central South University,3390,34133,73.5693215339233,106,1.3989899115044249,CHINA MAINLAND,Academic
CEA,3323,13016,57.05687631658141,107,0.8871173337345772,FRANCE,Research Institute
Institut National Polytechnique de Grenoble,3322,14989,61.07766405779651,108,0.9921409993979531,FRANCE,Academic
KU Leuven,3286,18988,65.42909312233719,109,1.3386527388922702,BELGIUM,Academic
Jilin University,3261,15919,65.44004906470407,110,0.7431792701625268,CHINA MAINLAND,Academic
Arizona State University,3260,23780,66.50306748466258,111,1.5872740184049081,USA,Academic System
Polytechnic University of Bucharest,3252,5552,41.20541205412054,112,0.5956826568265683,ROMANIA,Academic
International Business Machines (IBM),3237,22249,66.51220265678097,113,2.3211048501699105,USA,Corporate
Aalto University,3228,21767,65.86121437422553,114,1.2827827447335813,FINLAND,Academic
University of Texas Austin,3222,27613,64.9286157666046,115,2.0802085661080074,USA,Academic
Universite de Toulouse,3204,13190,59.612983770287144,116,0.8415860799001249,FRANCE,Academic System
University of Toronto,3162,25859,66.60341555977229,117,1.5722792852624923,CANADA,Academic
Indian Institute of Technology (IIT) - Delhi,3151,16777,58.4893684544589,118,0.7807710250714058,INDIA,Academic
Hunan University,3127,27490,72.27374480332587,119,1.2024787975695557,CHINA MAINLAND,Academic
Fudan University,3121,17861,60.33322652995835,120,1.150684299903877,CHINA MAINLAND,Academic
University of Southern California,3113,26661,70.57500803083842,121,2.106085448120784,USA,Academic
Arizona State University-Tempe,3105,22066,66.82769726247987,122,1.585203156199678,USA,Academic
University of California San Diego,3093,26648,68.80051729712252,123,2.1107321047526675,USA,Academic
Sorbonne Universite,3073,14292,60.03904978848031,124,0.9993331272372276,FRANCE,Academic
Hangzhou Dianzi University,3043,18669,66.11896155110088,125,0.9468640486362142,CHINA MAINLAND,Academic
Eindhoven University of Technology,3042,14696,59.73044049967127,126,1.0577789612097306,NETHERLANDS,Academic
Nanjing University,3035,22804,65.7990115321252,127,1.3152489621087315,CHINA MAINLAND,Academic
Osaka University,3007,9857,55.10475557033588,128,0.6757058862653808,JAPAN,Academic
RWTH Aachen University,2947,12708,59.48422124194096,129,1.1688588394977943,GERMANY (FED REP GER),Academic
Texas A&M University College Station,2915,17133,62.67581475128645,130,1.302899588336192,USA,Academic
University of Southampton,2887,25332,64.70384482161413,131,1.164955005195705,ENGLAND,Academic
Inria,2887,16890,65.18877727745064,131,1.400389781780395,FRANCE,Government
Wuhan University of Technology,2883,12199,58.51543531044051,133,0.7879218175511621,CHINA MAINLAND,Academic
Electronics & Telecommunications Research Institute - Korea (ETRI),2882,10388,56.34975711311589,134,0.7645781401804302,SOUTH KOREA,Research Institute
Hong Kong University of Science & Technology,2878,31663,73.55802640722725,135,2.023608547602502,HONG KONG,Academic
University of California Los Angeles,2862,19114,63.06778476589797,136,1.5342819007686934,USA,Academic
University of Science & Technology Beijing,2848,27123,65.34410112359551,137,1.2705634129213483,CHINA MAINLAND,Academic
Tokyo Institute of Technology,2844,10756,57.0323488045007,138,0.9559118846694796,JAPAN,Academic
Technical University of Denmark,2833,17722,61.630780091775506,139,1.0557495940698907,DENMARK,Academic
Universidade de Lisboa,2829,16811,66.06574761399789,140,1.1729768469423825,PORTUGAL,Academic
Hanyang University,2815,14675,68.52575488454707,141,0.7566008880994672,SOUTH KOREA,Academic
University of Sydney,2789,34523,70.77805665112945,142,2.161740803155253,AUSTRALIA,Academic
University of Maryland College Park,2768,23431,66.97976878612717,143,1.7862849349710983,USA,Academic
Pennsylvania State University,2766,17212,63.48517715112075,144,1.5220138828633407,USA,Academic
University of Alberta,2734,24652,73.2626188734455,145,1.277237490855889,CANADA,Academic
National Aeronautics & Space Administration (NASA),2710,15207,59.40959409594095,146,1.0167375276752768,USA,Government
Korea University,2704,20253,72.26331360946746,147,1.0922985207100593,SOUTH KOREA,Academic
University of British Columbia,2701,30023,68.6782673084043,148,1.6486257682339875,CANADA,Academic
Sungkyunkwan University (SKKU),2687,17057,68.70115370301451,149,1.0013621138816524,SOUTH KOREA,Academic
Karlsruhe Institute of Technology,2685,11008,59.77653631284916,150,1.0885515456238362,GERMANY (FED REP GER),Academic
Norwegian University of Science & Technology (NTNU),2682,14046,63.68381804623415,151,1.164441759880686,NORWAY,Academic
Chalmers University of Technology,2681,18582,61.8798955613577,152,1.2533072361059305,SWEDEN,Academic
University of Manchester,2679,22513,68.23441582680104,153,1.2309827920865994,ENGLAND,Academic
COMSATS University Islamabad (CUI),2678,19235,75.46676624346527,154,1.116615496639283,PAKISTAN,Academic
Samsung,2646,17622,65.07936507936508,155,1.3726790249433107,SOUTH KOREA,Corporate
Hefei University of Technology,2635,18820,65.99620493358633,156,1.0160871726755218,CHINA MAINLAND,Academic
University Town of Shenzhen,2635,18007,62.39089184060721,156,1.0831226185958254,CHINA MAINLAND,Academic System
Ohio State University,2633,18026,66.84390429168249,158,1.4805145081655906,USA,Academic
Technische Universitat Wien,2632,12778,59.04255319148937,159,1.0045937689969604,AUSTRIA,Academic
University of Padua,2603,20067,69.5351517479831,160,1.3686320399538996,ITALY,Academic
"Institute of Automation, CAS",2596,35481,73.18952234206472,161,2.6611315870570107,CHINA MAINLAND,Research Institute
Guangdong University of Technology,2592,29969,69.32870370370371,162,1.531917824074074,CHINA MAINLAND,Academic
University College London,2582,28036,66.57629744384198,163,1.874069558481797,ENGLAND,Academic
Chongqing University of Posts & Telecommunications,2580,14417,59.53488372093023,164,0.913526550387597,CHINA MAINLAND,Academic
Nokia Corporation,2577,20485,56.42219635234768,165,1.5624413271245636,FINLAND,Corporate
Indian Institute of Technology (IIT) - Bombay,2575,10691,57.86407766990291,166,0.766752504854369,INDIA,Academic
Tohoku University,2563,12540,57.5887631681623,167,0.842305267264924,JAPAN,Academic
ITMO University,2559,10466,49.863227823368504,168,0.7838536537710042,RUSSIA,Academic
Sapienza University Rome,2533,13945,61.46861429135413,169,1.044110461902882,ITALY,Academic
University of Erlangen Nuremberg,2524,13956,57.44849445324881,170,1.2550133122028526,GERMANY (FED REP GER),Academic
Xiamen University,2522,18294,67.48612212529738,171,1.1542573750991276,CHINA MAINLAND,Academic
Sichuan University,2491,17853,68.76756322761943,172,1.0108227619429948,CHINA MAINLAND,Academic
Concordia University - Canada,2490,18839,66.26506024096386,173,1.230798152610442,CANADA,Academic
National Tsing Hua University,2483,11154,59.16230366492147,174,1.6745949254933548,TAIWAN,Academic
Institut Polytechnique de Paris,2471,12661,62.36341562120599,175,1.0514795224605422,FRANCE,Academic
Yonsei University,2468,13676,68.27390599675851,176,0.9735175040518639,SOUTH KOREA,Academic
University of Tehran,2466,17075,72.34387672343877,177,1.059934914841849,IRAN,Academic
National Cheng Kung University,2464,12147,62.66233766233766,178,0.6965240665584416,TAIWAN,Academic
University of Wisconsin System,2460,18396,66.82926829268293,179,1.5899246341463416,USA,Academic System
Agency for Science Technology & Research (ASTAR),2444,20666,63.379705400982,180,1.4176103927986907,SINGAPORE,Research Institute
Technische Universitat Dresden,2441,11168,58.17287996722654,181,1.1143925850061451,GERMANY (FED REP GER),Academic
University of Bologna,2439,14414,67.32267322673226,182,1.3769986879868799,ITALY,Academic
Ghent University,2429,15288,66.1177439275422,183,1.0586949361877316,BELGIUM,Academic
Indian Institute of Science (IISC) - Bangalore,2420,10234,61.81818181818181,184,0.9252247520661158,INDIA,Academic
University of Hong Kong,2419,25553,69.90491938817694,185,1.4207021496486152,HONG KONG,Academic
University of Texas Dallas,2412,16912,69.40298507462687,186,1.5569063432835821,USA,Academic
University of Cambridge,2412,20283,66.16915422885572,186,1.403252072968491,ENGLAND,Academic
Technical University of Berlin,2408,14334,58.97009966777409,188,1.296547965116279,GERMANY (FED REP GER),Academic
Indian Institute of Technology (IIT) - Kharagpur,2406,13007,66.83291770573567,189,0.918190897755611,INDIA,Academic
North Carolina State University,2396,16569,62.56260434056762,190,1.3914260434056762,USA,Academic
Universidade de Sao Paulo,2394,9645,60.150375939849624,191,0.7610310359231413,BRAZIL,Academic
Universiti Teknologi Malaysia,2393,13564,63.89469285415797,192,0.8573914751358127,MALAYSIA,Academic
University of Central Florida,2390,13570,57.82426778242677,193,1.334536820083682,USA,Academic
Beijing University of Technology,2381,10947,58.546829063418734,194,0.7808256194876102,CHINA MAINLAND,Academic
University of Colorado System,2378,11286,57.98990748528175,195,1.0854794365012617,USA,Academic System
California State University System,2373,12117,56.76359039190898,196,0.9925571428571428,USA,Academic System
Consejo Superior de Investigaciones Cientificas (CSIC),2364,12313,64.21319796954315,197,0.880215609137056,SPAIN,Research Council
Army Engineering University of PLA,2357,12186,57.95502757742893,198,0.7085056003394146,CHINA MAINLAND,Academic
University of Missouri System,2347,15891,64.72092032381764,199,1.1868399233063485,USA,Academic System
Universidad Politecnica de Madrid,2339,13077,68.02052159042326,200,0.9064448909790508,SPAIN,Academic
University of Minnesota System,2321,17343,67.64325721671693,201,1.5298438173201208,USA,Academic System
Hohai University,2315,12609,59.95680345572354,202,0.8457606479481642,CHINA MAINLAND,Academic
Tampere University,2313,13039,63.12148724600086,203,1.164289234760052,FINLAND,Academic
Sharif University of Technology,2301,15433,72.49022164276401,204,0.9955319860930032,IRAN,Academic
Amirkabir University of Technology,2296,14202,70.60104529616724,205,0.9071686411149825,IRAN,Academic
University of Florida,2289,16720,71.16644823066841,206,1.4089329838357363,USA,Academic
Waseda University,2289,7121,56.356487549148106,206,0.8098161642638707,JAPAN,Academic
King Saud University,2272,26010,79.75352112676056,208,1.423474823943662,SAUDI ARABIA,Academic
Kyoto University,2259,7991,55.86542718016821,209,0.8024793714032759,JAPAN,Academic
