Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Chinese Academy of Sciences,10042,72189,78.76916948814977,1,0.8337974108743278,CHINA MAINLAND,Research Institute
Centre National de la Recherche Scientifique (CNRS),9951,75510,81.19786956084816,2,0.9012441965631596,FRANCE,Research Council
Russian Academy of Sciences,9638,29074,59.90869474994812,3,0.506933502801411,RUSSIA,National Academy
Indian Institute of Technology System (IIT System),8986,58840,78.75584242154461,4,0.8967777654128645,INDIA,Academic System
United States Department of Energy (DOE),7846,53808,73.47693092021413,5,0.8345823094570483,USA,Government
Tsinghua University,6073,49368,77.45759920961633,6,0.9141490202535815,CHINA MAINLAND,Academic
Xi'an Jiaotong University,5976,55332,80.38821954484605,7,1.0090701807228917,CHINA MAINLAND,Academic
Helmholtz Association,5502,34554,77.37186477644494,8,0.7730997273718648,GERMANY (FED REP GER),Nonprofit
Shanghai Jiao Tong University,5138,42266,78.24056052938887,9,0.97276718567536,CHINA MAINLAND,Academic
Beihang University,4783,34077,76.33284549445955,10,0.8654353543800962,CHINA MAINLAND,Academic
Harbin Institute of Technology,4516,37143,80.42515500442869,11,0.9550580602302923,CHINA MAINLAND,Academic
University of California System,4109,34173,77.17206132879046,12,1.0882252616208323,USA,Academic System
Egyptian Knowledge Bank (EKB),4010,39757,78.85286783042395,13,1.1883548628428928,EGYPT,Government
National Institute of Technology (NIT System),3978,29372,77.17445952740071,14,1.0717430618401207,INDIA,Academic System
Northwestern Polytechnical University,3782,29765,78.47699629825489,15,1.0278695399259652,CHINA MAINLAND,Academic
Nanjing University of Aeronautics & Astronautics,3401,21917,77.35960011761247,16,0.769433695971773,CHINA MAINLAND,Academic
National Aeronautics & Space Administration (NASA),3392,11725,55.188679245283026,17,0.746109699292453,USA,Government
CNRS - Institute for Engineering & Systems Sciences (INSIS),3363,30119,84.21052631578947,18,0.9725005947071068,FRANCE,Research Institute
Islamic Azad University,3294,52924,87.34061930783243,19,1.8381189131754707,IRAN,Academic
Universite Paris Saclay,3269,22048,76.44539614561027,20,0.8200733557662895,FRANCE,Academic
Dalian University of Technology,3247,28024,81.24422543886665,21,0.9789832768709579,CHINA MAINLAND,Academic
"University of Chinese Academy of Sciences, CAS",3085,19886,79.18962722852511,22,0.7983135818476499,CHINA MAINLAND,Academic
Zhejiang University,2988,22984,79.04953145917001,23,0.9670722556894245,CHINA MAINLAND,Academic
CEA,2885,16463,77.22703639514731,24,0.7278248526863085,FRANCE,Research Institute
Beijing Institute of Technology,2790,21873,78.24372759856631,25,0.9882065591397851,CHINA MAINLAND,Academic
Huazhong University of Science & Technology,2689,29560,79.91818519895872,26,1.2619180736333209,CHINA MAINLAND,Academic
Tianjin University,2688,24629,84.59821428571429,27,1.0185899925595239,CHINA MAINLAND,Academic
United States Department of Defense,2626,13180,63.67098248286367,28,0.6743702589489718,USA,Government
Chongqing University,2535,22572,82.87968441814596,29,1.0898132938856016,CHINA MAINLAND,Academic
University System of Georgia,2421,15559,70.67327550598927,30,0.8581520033044198,USA,Academic System
"University of Science & Technology of China, CAS",2411,20053,82.0821236001659,31,0.9342432600580672,CHINA MAINLAND,Academic
University of Texas System,2409,16786,69.03279369032794,32,0.9182344956413451,USA,Academic System
Texas A&M University System,2407,16173,69.58869962609057,33,0.9049696302451183,USA,Academic System
Tongji University,2390,20429,78.2845188284519,34,0.9870819665271967,CHINA MAINLAND,Academic
Texas A&M University College Station,2271,15438,69.8370761778952,35,0.9129147071774548,USA,Academic
Polytechnic University of Milan,2231,16406,74.04751232631106,36,1.1224007171671897,ITALY,Academic
Purdue University System,2218,15990,76.87105500450858,37,0.9098225428313796,USA,Academic System
Purdue University,2211,15963,76.97874265038445,38,0.9111979647218454,USA,Academic
Imperial College London,2184,21842,84.98168498168498,39,1.1440720695970696,ENGLAND,Academic
University of Michigan System,2167,17028,76.0498384863867,40,1.0020722658052608,USA,Academic System
Georgia Institute of Technology,2164,14504,72.78188539741221,41,0.8833998613678373,USA,Academic
University of Michigan,2152,16909,76.16171003717473,42,1.003854182156134,USA,Academic
Delft University of Technology,2134,17324,80.74039362699156,43,1.0879150421743207,NETHERLANDS,Academic
Purdue University West Lafayette Campus,2112,14978,77.36742424242425,44,0.8892200757575759,USA,Academic
Karlsruhe Institute of Technology,2094,13767,80.13371537726839,45,0.8066182425978988,GERMANY (FED REP GER),Academic
Pennsylvania Commonwealth System of Higher Education (PCSHE),2076,13319,66.85934489402698,46,0.7832180154142583,USA,Academic System
Istituto Nazionale di Fisica Nucleare (INFN),2056,10351,69.1147859922179,47,0.6618062256809338,ITALY,Research Institute
University of Illinois System,2006,16717,80.60817547357925,48,1.0818706380857428,USA,Academic System
Massachusetts Institute of Technology (MIT),1986,17467,78.3484390735146,49,1.0470071500503526,USA,Academic
State University System of Florida,1964,15422,73.11608961303462,50,1.0062846232179226,USA,Academic System
Southwest Jiaotong University,1958,16491,82.83963227783453,51,1.0287218590398366,CHINA MAINLAND,Academic
Harbin Engineering University,1864,12125,74.19527896995707,52,0.8318426502145924,CHINA MAINLAND,Academic
Technical University of Denmark,1860,15648,81.29032258064515,53,1.3969012903225808,DENMARK,Academic
University of Tokyo,1840,8631,66.52173913043478,54,0.6874113586956522,JAPAN,Academic
University of Tehran,1824,25620,87.77412280701753,55,1.518873081140351,IRAN,Academic
Central South University,1803,20127,86.35607321131448,56,1.3812559622850804,CHINA MAINLAND,Academic
Norwegian University of Science & Technology (NTNU),1755,13333,78.06267806267806,57,1.3212409686609687,NORWAY,Academic
Polytechnic University of Turin,1743,12759,79.91967871485943,58,1.1292451520367184,ITALY,Academic
Southeast University - China,1706,15259,81.94607268464243,59,1.1082138335287222,CHINA MAINLAND,Academic
North China Electric Power University,1683,16394,73.6779560308972,60,1.0722291146761735,CHINA MAINLAND,Academic
Ministry of Education & Science of Ukraine,1666,4137,55.10204081632652,61,0.9376853541416567,UKRAINE,Government
University of Illinois Urbana-Champaign,1658,13777,80.27744270205066,62,1.1093509047044632,USA,Academic
Pennsylvania State University,1658,10017,65.62123039806997,62,0.7551261761158021,USA,Academic
South China University of Technology,1650,17345,81.75757575757576,64,1.1968374545454545,CHINA MAINLAND,Academic
Indian Institute of Technology (IIT) - Madras,1647,9229,73.95264116575592,65,0.7355293867638131,INDIA,Academic
Hunan University,1632,21516,88.72549019607843,66,1.517927512254902,CHINA MAINLAND,Academic
Technical University of Munich,1626,10857,74.60024600246003,67,1.0238974784747847,GERMANY (FED REP GER),Academic
Korea Advanced Institute of Science & Technology (KAIST),1625,11503,80.86153846153846,68,0.7816987076923078,SOUTH KOREA,Academic
National University of Defense Technology - China,1604,10322,73.75311720698254,69,0.7539953241895262,CHINA MAINLAND,Academic
German Aerospace Centre (DLR),1593,9129,71.75141242937853,70,0.7667976773383554,GERMANY (FED REP GER),Research Institute
Sapienza University Rome,1577,12992,79.96195307545973,71,1.1683609384908054,ITALY,Academic
China University of Mining & Technology,1570,16436,82.03821656050955,72,1.1539043949044587,CHINA MAINLAND,Academic
Seoul National University (SNU),1559,8958,79.02501603592046,73,0.6502994868505453,SOUTH KOREA,Academic
California Institute of Technology,1553,8882,60.72118480360592,74,1.022538828074694,USA,Academic
Consiglio Nazionale delle Ricerche (CNR),1546,11710,79.10737386804657,75,1.0502003234152653,ITALY,Research Council
Royal Institute of Technology,1544,12341,82.90155440414507,76,0.9243017487046633,SWEDEN,Academic
University of Cambridge,1537,12544,83.47430058555628,77,0.9434170461938843,ENGLAND,Academic
Oak Ridge National Laboratory,1520,10434,77.96052631578947,78,0.7615397368421053,USA,Government
Japan Atomic Energy Agency,1512,5433,65.41005291005291,79,0.44487248677248675,JAPAN,Research Institute
Universidade de Lisboa,1510,11116,79.20529801324503,80,1.0058799999999999,PORTUGAL,Academic
China University of Petroleum,1488,13183,78.09139784946237,81,0.9903327284946236,CHINA MAINLAND,Academic
University of Naples Federico II,1483,13751,81.3216453135536,82,1.3648801753202968,ITALY,Academic
Amirkabir University of Technology,1467,15978,83.16291751874574,83,1.2055388548057262,IRAN,Academic
Iran University Science & Technology,1448,15155,88.60497237569061,84,1.20419682320442,IRAN,Academic
RWTH Aachen University,1438,9777,76.63421418636996,85,0.9653521557719055,GERMANY (FED REP GER),Academic
Bhabha Atomic Research Center (BARC),1422,5300,74.1209563994374,86,0.436046835443038,INDIA,Research Institute
Czech Academy of Sciences,1413,6219,70.27600849256899,87,0.7511098372257609,CZECH REPUBLIC,National Academy
Nanjing University of Science & Technology,1412,8795,71.38810198300283,88,0.7287995750708216,CHINA MAINLAND,Academic
Jiangsu University,1394,13473,82.78335724533716,89,1.1516153515064564,CHINA MAINLAND,Academic
"S.S. Kutateladze Institute of Thermophysics, Siberian Division of the Russian Academy of Sciences",1388,4315,55.18731988472623,90,0.6062487752161383,RUSSIA,Research Institute
Universidade de Sao Paulo,1385,7820,77.54512635379062,91,0.662076606498195,BRAZIL,Academic
Max Planck Society,1384,11364,84.53757225433526,92,0.9214070809248555,GERMANY (FED REP GER),Nonprofit
University System of Maryland,1380,10099,71.44927536231884,93,0.8954322463768116,USA,Academic System
Northeastern University - China,1378,11778,76.19738751814224,94,1.0437711901306241,CHINA MAINLAND,Academic
Universiti Teknologi Malaysia,1354,12641,64.47562776957164,95,1.325240177252585,MALAYSIA,Academic
Tomsk Polytechnic University,1353,6871,61.27124907612712,96,0.7623308203991132,RUSSIA,Academic
Korea Atomic Energy Research Institute (KAERI),1335,5439,75.65543071161048,97,0.4181209737827716,SOUTH KOREA,Research Institute
Tohoku University,1317,8211,73.19665907365224,98,0.7302637053910402,JAPAN,Academic
Wuhan University of Technology,1315,9185,69.58174904942965,99,0.9366815209125475,CHINA MAINLAND,Academic
Virginia Polytechnic Institute & State University,1313,8443,70.14470677837015,100,0.8242297029702971,USA,Academic
Sharif University of Technology,1304,11538,85.58282208588957,101,1.1488313650306747,IRAN,Academic
National University of Singapore,1301,13855,84.16602613374327,102,1.2662670253651038,SINGAPORE,Academic
Nanyang Technological University,1300,15127,83.6923076923077,103,1.2372650769230769,SINGAPORE,Academic
Nanyang Technological University & National Institute of Education (NIE) Singapore,1300,15127,83.6923076923077,103,1.2372650769230769,SINGAPORE,Academic
Czech Technical University Prague,1300,3776,53.46153846153846,103,0.5753808461538461,CZECH REPUBLIC,Academic
Beijing University of Technology,1298,10946,75.115562403698,106,0.9778417565485363,CHINA MAINLAND,Academic
University of Science & Technology Beijing,1291,11247,78.93106119287374,107,0.969918590240124,CHINA MAINLAND,Academic
Pennsylvania State University - University Park,1288,8352,67.2360248447205,108,0.7747431677018635,USA,Academic
Beijing Jiaotong University,1285,10687,78.75486381322958,109,0.969992373540856,CHINA MAINLAND,Academic
Hong Kong Polytechnic University,1282,17116,90.01560062402496,110,1.6088052262090484,HONG KONG,Academic
Kyoto University,1273,6439,75.41241162608013,111,0.607909033778476,JAPAN,Academic
Los Alamos National Laboratory,1264,8565,75.15822784810126,112,0.8048940664556963,USA,Government
Lomonosov Moscow State University,1259,4659,65.9253375694996,113,0.46762176330420974,RUSSIA,Academic
University of Oxford,1254,9738,79.58532695374801,114,0.9715913875598087,ENGLAND,Academic
University of London,1249,10109,77.50200160128102,115,0.9318028022417935,ENGLAND,Academic System
University of California Berkeley,1248,9315,75.56089743589743,116,1.0030446314102563,USA,Academic
University of Stuttgart,1226,7411,74.30668841761828,117,0.9841588091353997,GERMANY (FED REP GER),Academic
University of Padua,1226,9550,79.28221859706362,117,1.184919168026101,ITALY,Academic
