Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Chinese Academy of Sciences,8923,184590,94.63185027457132,1,1.7894546452986666,CHINA MAINLAND,Research Institute
Centre National de la Recherche Scientifique (CNRS),3821,50846,92.51504841664486,2,1.0834099973828841,FRANCE,Research Council
Indian Institute of Technology System (IIT System),3781,44158,90.61094948426343,3,0.9755378471303888,INDIA,Academic System
"University of Chinese Academy of Sciences, CAS",3367,63351,95.18859518859519,4,1.651262993762994,CHINA MAINLAND,Academic
China University of Petroleum,3350,44450,92.35820895522389,5,1.108079552238806,CHINA MAINLAND,Academic
Tsinghua University,3028,64937,93.46103038309114,6,1.7116659511228534,CHINA MAINLAND,Academic
United States Department of Energy (DOE),2951,60725,93.35818366655371,7,1.663335005083023,USA,Government
Russian Academy of Sciences,2941,15738,76.09656579394763,8,0.4864645358721524,RUSSIA,National Academy
Tianjin University,2863,47814,93.08417743625567,9,1.4528756898358364,CHINA MAINLAND,Academic
Zhejiang University,2283,38627,92.72886552781428,10,1.403589837932545,CHINA MAINLAND,Academic
China University of Mining & Technology,2282,31745,90.8851884312007,11,1.2057328659070992,CHINA MAINLAND,Academic
Egyptian Knowledge Bank (EKB),2235,29053,88.59060402684564,12,1.1787913646532437,EGYPT,Government
East China University of Science & Technology,2015,27407,91.36476426799007,13,1.1852429280397023,CHINA MAINLAND,Academic
Islamic Azad University,1897,24288,86.82129678439642,14,1.0663491829204008,IRAN,Academic
National Institute of Technology (NIT System),1788,18711,87.19239373601789,15,0.9005430089485459,INDIA,Academic System
South China University of Technology,1719,37061,95.34613147178592,16,1.8313624200116347,CHINA MAINLAND,Academic
Beijing University of Chemical Technology,1677,24673,93.6195587358378,17,1.349583243887895,CHINA MAINLAND,Academic
Dalian University of Technology,1654,26844,93.47037484885126,18,1.4389812575574368,CHINA MAINLAND,Academic
Helmholtz Association,1597,23724,90.85785848465873,19,1.2557337507827178,GERMANY (FED REP GER),Nonprofit
Harbin Institute of Technology,1592,33078,93.15326633165829,20,1.8797466708542714,CHINA MAINLAND,Academic
Xi'an Jiaotong University,1529,28022,92.67495094833225,21,1.6219517985611511,CHINA MAINLAND,Academic
Council of Scientific & Industrial Research (CSIR) - India,1476,20887,90.37940379403794,22,1.0962071138211382,INDIA,Research Council
University of California System,1461,27217,91.6495550992471,23,1.6132613963039015,USA,Academic System
Sichuan University,1439,23618,91.03544127866574,24,1.6061674079221684,CHINA MAINLAND,Academic
Huazhong University of Science & Technology,1429,29478,95.87123862841148,25,1.7985123163051087,CHINA MAINLAND,Academic
Shanghai Jiao Tong University,1402,25639,94.79315263908703,26,1.6167896576319545,CHINA MAINLAND,Academic
Nanjing Tech University,1377,20596,93.4640522875817,27,1.307090631808279,CHINA MAINLAND,Academic
Central South University,1351,27229,93.70836417468541,28,1.9117820133234642,CHINA MAINLAND,Academic
"University of Science & Technology of China, CAS",1337,28831,96.40987284966343,29,1.9116064323111446,CHINA MAINLAND,Academic
Consejo Superior de Investigaciones Cientificas (CSIC),1236,21032,95.46925566343042,30,1.3581371359223302,SPAIN,Research Council
Jiangsu University,1203,30643,94.0149625935162,31,2.392449293433084,CHINA MAINLAND,Academic
Imperial College London,1197,22017,89.22305764411027,32,1.6427003341687552,ENGLAND,Academic
Southeast University - China,1152,16256,92.01388888888889,33,1.2420053819444445,CHINA MAINLAND,Academic
Consiglio Nazionale delle Ricerche (CNR),1124,20084,93.14946619217082,34,1.4290797153024912,ITALY,Research Council
"Institute of Process Engineering, CAS",1116,14218,93.9068100358423,35,1.0662406810035843,CHINA MAINLAND,Research Institute
Chongqing University,1100,20017,93.0909090909091,36,1.8369528181818182,CHINA MAINLAND,Academic
