Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Chinese Academy of Sciences,46012,1033909,92.59106320090412,1,1.8560206685212552,CHINA MAINLAND,Research Institute
Centre National de la Recherche Scientifique (CNRS),23012,283719,89.72709890491917,2,1.0413311576568747,FRANCE,Research Council
United States Department of Energy (DOE),20806,490256,91.96866288570604,3,1.8622234788041911,USA,Government
Russian Academy of Sciences,16833,90188,71.35982890750311,4,0.6013592585991803,RUSSIA,National Academy
Indian Institute of Technology System (IIT System),15495,150459,87.67344304614392,5,1.058922362052275,INDIA,Academic System
"University of Chinese Academy of Sciences, CAS",14188,304091,92.71919932337185,6,1.8460412743163237,CHINA MAINLAND,Academic
University of California System,12301,291579,92.9517925371921,7,1.8600329729290304,USA,Academic System
Helmholtz Association,10704,153353,91.89088191330343,8,1.2804741031390137,GERMANY (FED REP GER),Nonprofit
Tsinghua University,10198,230010,91.20415767797607,9,1.8160017454402826,CHINA MAINLAND,Academic
Harbin Institute of Technology,9585,137267,89.4001043296818,10,1.2818621596244133,CHINA MAINLAND,Academic
University of Science & Technology Beijing,8809,116233,86.89976160744693,11,1.128546191395164,CHINA MAINLAND,Academic
Central South University,8774,126537,89.28652837930248,12,1.4160682242990656,CHINA MAINLAND,Academic
National Institute of Technology (NIT System),8585,61038,83.17996505532906,13,1.378034863133372,INDIA,Academic System
"University of Science & Technology of China, CAS",7779,173589,93.22535030209539,14,1.9505606376140894,CHINA MAINLAND,Academic
Egyptian Knowledge Bank (EKB),7610,85933,88.75164257555848,15,1.1906434822601841,EGYPT,Government
Xi'an Jiaotong University,7273,123989,88.2441908428434,16,1.513978000824969,CHINA MAINLAND,Academic
Shanghai Jiao Tong University,7217,124392,91.4230289594014,17,1.5253586393238188,CHINA MAINLAND,Academic
Northwestern Polytechnical University,7104,106615,89.72409909909909,18,1.4163962978603606,CHINA MAINLAND,Academic
South China University of Technology,6709,132164,92.29393352213444,19,1.7356390520196752,CHINA MAINLAND,Academic
Zhejiang University,6515,138854,91.48119723714505,20,1.7709542287029933,CHINA MAINLAND,Academic
Tianjin University,6461,123450,92.06005262343291,21,1.6431306608884073,CHINA MAINLAND,Academic
Consiglio Nazionale delle Ricerche (CNR),6391,81779,90.81520888749804,22,1.1584450633703647,ITALY,Research Council
Max Planck Society,6348,119756,93.73030875866415,23,1.547060255198488,GERMANY (FED REP GER),Nonprofit
Huazhong University of Science & Technology,6233,138334,91.25621690999519,24,1.8459111824161722,CHINA MAINLAND,Academic
Northeastern University - China,5920,52814,85.70945945945945,25,0.8684577195945946,CHINA MAINLAND,Academic
Consejo Superior de Investigaciones Cientificas (CSIC),5890,83002,92.46179966044143,26,1.1447082173174872,SPAIN,Research Council
Jilin University,5888,113845,90.94769021739131,27,1.6169156419836959,CHINA MAINLAND,Academic
Peking University,5738,149661,92.36667828511676,28,2.038236772394563,CHINA MAINLAND,Academic
Nanyang Technological University,5732,191570,93.99860432658758,29,2.4224459699930216,SINGAPORE,Academic
Nanyang Technological University & National Institute of Education (NIE) Singapore,5732,191570,93.99860432658758,29,2.4224459699930216,SINGAPORE,Academic
CNRS - Institute of Chemistry (INC),5702,79514,92.73938968782883,31,1.1069210627849877,FRANCE,Research Institute
Beihang University,5476,92179,89.00657414170927,32,1.4296785062089117,CHINA MAINLAND,Academic
Chongqing University,5366,78718,88.18486768542677,33,1.3413275251584047,CHINA MAINLAND,Academic
Council of Scientific & Industrial Research (CSIR) - India,5278,59352,89.4088669950739,34,1.0455235316407732,INDIA,Research Council
University of Texas System,5228,112605,90.68477429227238,35,1.668195351951033,USA,Academic System
Dalian University of Technology,5025,72612,87.86069651741293,36,1.2832343880597015,CHINA MAINLAND,Academic
Suzhou University,5017,131631,93.12338050627865,37,2.104063823001794,CHINA MAINLAND,Academic
Wuhan University of Technology,5005,106369,89.31068931068931,38,1.731818021978022,CHINA MAINLAND,Academic
Sichuan University,4994,85275,90.40849018822587,39,1.5512626952342812,CHINA MAINLAND,Academic
Southeast University - China,4962,71291,88.81499395405078,40,1.2915359935509876,CHINA MAINLAND,Academic
University of Tokyo,4945,67675,87.58341759352881,41,1.1223675834175937,JAPAN,Academic
Shandong University,4914,79186,89.96743996743997,42,1.4485609890109892,CHINA MAINLAND,Academic
Tohoku University,4893,51819,86.53178009401185,43,0.8923162885755161,JAPAN,Academic
National University of Singapore,4776,121493,94.5142378559464,44,2.0880069932998326,SINGAPORE,Academic
University System of Georgia,4747,132687,92.05814198441121,45,2.2502040446597853,USA,Academic System
Pennsylvania Commonwealth System of Higher Education (PCSHE),4679,92908,90.7672579611028,46,1.5582212011113488,USA,Academic System
Universite Paris Saclay,4656,57978,89.58333333333334,47,1.013286361683849,FRANCE,Academic
Nanjing University,4599,105392,93.08545335942597,48,1.8725230919765168,CHINA MAINLAND,Academic
Seoul National University (SNU),4508,78850,90.7941437444543,49,1.3954210070984918,SOUTH KOREA,Academic
National Institute for Materials Science,4443,85396,90.59194238127391,50,1.5542162052667117,JAPAN,Research Institute
Oak Ridge National Laboratory,4368,93078,93.13186813186813,51,1.704764652014652,USA,Government
Shanghai University,4343,59860,87.70435183053189,52,1.2053379000690767,CHINA MAINLAND,Academic
University of Chicago,4325,97217,93.75722543352602,53,1.8218195375722546,USA,Academic
State University System of Florida,4317,62881,88.34839008570766,54,1.1828140838545287,USA,Academic System
Massachusetts Institute of Technology (MIT),4255,125578,93.23149236192715,55,2.2718054054054058,USA,Academic
Beijing Institute of Technology,4254,80578,88.4579219558063,56,1.669781593794076,CHINA MAINLAND,Academic
CNRS - Institute for Engineering & Systems Sciences (INSIS),4252,52976,88.66415804327376,57,1.0569187206020696,FRANCE,Research Institute
Tongji University,4150,73910,88.12048192771084,58,1.5543452289156627,CHINA MAINLAND,Academic
Islamic Azad University,4127,49139,88.15119941846378,59,1.0521824812212262,IRAN,Academic
Georgia Institute of Technology,4111,124274,92.77548041838969,60,2.4456131598151303,USA,Academic
Sungkyunkwan University (SKKU),4095,69127,89.20634920634922,61,1.3115198534798536,SOUTH KOREA,Academic
Ministry of Education & Science of Ukraine,4012,18148,64.65603190428713,62,0.5656609421734796,UKRAINE,Government
Fudan University,4004,103036,94.13086913086913,63,2.0742437562437566,CHINA MAINLAND,Academic
Shenzhen University,3964,78676,92.70938446014128,64,1.8883763118062564,CHINA MAINLAND,Academic
CEA,3909,44440,89.51138398567409,65,0.9463917881811206,FRANCE,Research Institute
University of Electronic Science & Technology of China,3866,69668,90.37765131919296,66,1.6194686239006726,CHINA MAINLAND,Academic
Nanjing Tech University,3833,72079,91.88625097834594,67,1.5617198799895642,CHINA MAINLAND,Academic
University of Cambridge,3815,95063,92.66055045871559,68,1.907879501965924,ENGLAND,Academic
Argonne National Laboratory,3758,86129,93.95955295369878,69,1.8599018094731241,USA,Research Institute
Communaute Universite Grenoble Alpes,3739,46954,89.83685477400375,70,1.0575622626370687,FRANCE,Academic System
"Institute of Metal Research, CAS",3690,62891,91.3550135501355,71,1.4109608943089431,CHINA MAINLAND,Research Institute
Universite Grenoble Alpes (UGA),3671,45775,89.89376191773358,72,1.0530424679923727,FRANCE,Academic
Zhengzhou University,3636,76445,93.26182618261825,73,2.3757779702970296,CHINA MAINLAND,Academic
National Academy of Sciences Ukraine,3633,18954,70.21745114230663,74,0.48658155794109553,UKRAINE,National Academy
