Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Chinese Academy of Sciences,28733,519062,87.69011241429715,1,1.672814074409216,CHINA MAINLAND,Research Institute
Indian Institute of Technology System (IIT System),11487,117260,76.321058587969,2,1.0224587533733787,INDIA,Academic System
"University of Chinese Academy of Sciences, CAS",10806,172510,88.21950768091801,3,1.5305604016287249,CHINA MAINLAND,Academic
United States Department of Energy (DOE),10287,207891,82.74521240400506,4,1.8551060561874213,USA,Government
Centre National de la Recherche Scientifique (CNRS),9782,133777,82.80515232058883,5,1.2849527397260274,FRANCE,Research Council
Tsinghua University,8518,161187,85.4895515379197,6,1.7467031814980043,CHINA MAINLAND,Academic
Helmholtz Association,7936,118511,82.34627016129032,7,1.5833883694556454,GERMANY (FED REP GER),Nonprofit
University of California System,6906,119822,84.28902403706921,8,1.6710822183608456,USA,Academic System
China University of Petroleum,6219,77447,87.16835504100338,9,1.1601123331725358,CHINA MAINLAND,Academic
Egyptian Knowledge Bank (EKB),6167,72317,80.00648613588454,10,1.3894079130857793,EGYPT,Government
Russian Academy of Sciences,5971,24359,60.559370289733714,11,0.5686869536091107,RUSSIA,National Academy
Zhejiang University,5935,84915,80.77506318449875,12,1.397054355518113,CHINA MAINLAND,Academic
Wuhan University,5702,82871,83.33917923535601,13,1.4485885478779374,CHINA MAINLAND,Academic
China University of Mining & Technology,5678,73007,87.10813666784078,14,1.232312768580486,CHINA MAINLAND,Academic
National Institute of Technology (NIT System),5667,56011,73.24863243338628,15,1.0482386800776426,INDIA,Academic System
Shanghai Jiao Tong University,5581,84863,83.44382727109837,16,1.4641522845368213,CHINA MAINLAND,Academic
Tianjin University,5297,84849,86.53955068906929,17,1.569269171228998,CHINA MAINLAND,Academic
Harbin Institute of Technology,5101,87899,86.15957655361693,18,1.6820643991374242,CHINA MAINLAND,Academic
Tongji University,4829,71271,84.55166701180369,19,1.4541406502381446,CHINA MAINLAND,Academic
Xi'an Jiaotong University,4819,74086,81.53143805768832,20,1.640160219962648,CHINA MAINLAND,Academic
Huazhong University of Science & Technology,4595,84324,84.39608269858542,21,1.722294798694233,CHINA MAINLAND,Academic
China University of Geosciences,4586,59839,86.39337112952464,22,1.24342165285652,CHINA MAINLAND,Academic
North China Electric Power University,4283,52845,70.06770954938128,23,1.199877585804343,CHINA MAINLAND,Academic
Chongqing University,4269,62862,84.35230733192786,24,1.5512063012415087,CHINA MAINLAND,Academic
Central South University,4106,75659,88.5046273745738,25,1.8344968339016074,CHINA MAINLAND,Academic
South China University of Technology,3772,78330,85.949098621421,26,1.9555250000000002,CHINA MAINLAND,Academic
University of Texas System,3694,57621,80.88792636708175,27,1.5694019491066595,USA,Academic System
State University System of Florida,3631,44289,76.01211787386394,28,1.2707751308179567,USA,Academic System
State Grid Corporation of China,3595,9618,36.60639777468707,29,0.5602923504867873,CHINA MAINLAND,Corporate
Dalian University of Technology,3590,52632,86.71309192200557,30,1.4145938718662951,CHINA MAINLAND,Academic
University of New South Wales Sydney,3565,65403,83.87096774193549,31,1.7358967180925666,AUSTRALIA,Academic
Technical University of Denmark,3554,52559,87.56330894766461,32,1.6663619864940913,DENMARK,Academic
Consiglio Nazionale delle Ricerche (CNR),3509,46626,83.49957252778569,33,1.340021943573668,ITALY,Research Council
Delft University of Technology,3370,46117,81.69139465875371,34,1.373828456973294,NETHERLANDS,Academic
Southeast University - China,3266,35620,79.60808328230252,35,1.2047632578077159,CHINA MAINLAND,Academic
Norwegian University of Science & Technology (NTNU),3234,31275,79.43722943722943,36,1.2601095547309833,NORWAY,Academic
"University of Science & Technology of China, CAS",3210,72676,93.70716510903426,37,2.074834080996885,CHINA MAINLAND,Academic
Nanyang Technological University,3206,79042,83.49968808484093,38,2.073484591391142,SINGAPORE,Academic
Nanyang Technological University & National Institute of Education (NIE) Singapore,3206,79042,83.49968808484093,38,2.073484591391142,SINGAPORE,Academic
Islamic Azad University,3157,47436,83.71872030408616,40,1.4063065568577766,IRAN,Academic
National University of Singapore,3123,63848,86.42331091898815,41,1.8895228946525777,SINGAPORE,Academic
Shandong University,3112,48241,81.39460154241645,42,1.5913914203084834,CHINA MAINLAND,Academic
National Aeronautics & Space Administration (NASA),3095,33631,73.05331179321486,43,1.3337138287560582,USA,Government
Hong Kong Polytechnic University,3010,60239,90.19933554817275,44,1.9609248172757476,HONG KONG,Academic
Texas A&M University System,2963,31026,78.23152210597367,45,1.1507584542693217,USA,Academic System
University of North Carolina,2776,41210,77.55763688760807,46,1.589243695965418,USA,Academic System
Council of Scientific & Industrial Research (CSIR) - India,2766,44326,88.32248734634852,47,1.3997836948662328,INDIA,Research Council
Hohai University,2749,23524,76.6096762459076,48,1.0286824663514005,CHINA MAINLAND,Academic
University of Tehran,2744,43094,88.15597667638484,49,1.548033637026239,IRAN,Academic
University System of Georgia,2706,49944,82.29859571322986,50,1.8164440502586843,USA,Academic System
Beijing Institute of Technology,2696,49804,86.20178041543026,51,1.9060776706231453,CHINA MAINLAND,Academic
Peking University,2688,55473,88.35565476190477,52,1.8496461681547618,CHINA MAINLAND,Academic
University of London,2674,42429,87.47195213163799,53,1.550935976065819,ENGLAND,Academic System
