Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Chinese Academy of Sciences,4867,77197,91.47318676802959,1,1.5269803369632218,CHINA MAINLAND,Research Institute
University of California System,3389,74093,82.70876364709355,2,2.1609813514311007,USA,Academic System
Centre National de la Recherche Scientifique (CNRS),2406,35203,85.03740648379052,3,1.3821161679135496,FRANCE,Research Council
"University of Chinese Academy of Sciences, CAS",1884,30593,91.93205944798302,4,1.639091932059448,CHINA MAINLAND,Academic
Harvard University,1858,56267,76.85683530678149,5,3.02909817007535,USA,Academic
Egyptian Knowledge Bank (EKB),1809,15859,82.08955223880598,6,0.898456605859591,EGYPT,Government
Zhejiang University,1705,20536,90.43988269794721,7,1.1252390029325514,CHINA MAINLAND,Academic
Helmholtz Association,1684,29298,83.66983372921615,8,1.5776095605700713,GERMANY (FED REP GER),Nonprofit
University of London,1656,23636,68.53864734299518,9,1.529555193236715,ENGLAND,Academic System
United States Department of Agriculture (USDA),1624,21166,89.77832512315271,10,1.3107535098522167,USA,Government
Council of Scientific & Industrial Research (CSIR) - India,1522,18655,84.7568988173456,11,1.0969735216819974,INDIA,Research Council
Indian Council of Agricultural Research (ICAR),1497,9087,75.41750167000669,12,0.5684865063460254,INDIA,Research Council
Shanghai Jiao Tong University,1485,18292,87.13804713804714,13,1.1530812121212122,CHINA MAINLAND,Academic
Consejo Superior de Investigaciones Cientificas (CSIC),1476,20189,84.95934959349594,14,1.2940588075880761,SPAIN,Research Council
INRAE,1471,22531,88.71515975526853,15,1.3828845683208701,FRANCE,National Academy
Indian Institute of Technology System (IIT System),1458,16495,84.77366255144034,16,1.1062316186556929,INDIA,Academic System
United States Department of Energy (DOE),1417,32055,92.94283697953422,17,2.0295778405081157,USA,Government
Chinese Academy of Agricultural Sciences,1402,16371,91.36947218259628,18,1.1872860912981456,CHINA MAINLAND,Research Institute
Institut National de la Sante et de la Recherche Medicale (Inserm),1299,19483,70.74672825250192,19,1.4597029253271747,FRANCE,Government
Jiangnan University,1290,13144,93.02325581395348,20,0.8865802325581396,CHINA MAINLAND,Academic
State University System of Florida,1281,19518,76.81498829039812,21,1.683329586260734,USA,Academic System
