Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Chinese Academy of Sciences,2304,44812,94.53125,1,1.5815096354166667,CHINA MAINLAND,Research Institute
Sichuan University,1070,14822,94.39252336448598,2,1.2543030841121494,CHINA MAINLAND,Academic
Shanghai Jiao Tong University,985,17694,94.51776649746193,3,1.6132603045685279,CHINA MAINLAND,Academic
University of California System,923,16045,90.24918743228602,4,1.366994582881907,USA,Academic System
Centre National de la Recherche Scientifique (CNRS),854,12013,94.73067915690866,5,1.1226949648711944,FRANCE,Research Council
Indian Institute of Technology System (IIT System),809,11510,89.12237330037082,6,1.1298024721878863,INDIA,Academic System
Harvard University,688,16826,92.87790697674419,7,1.8726821220930234,USA,Academic
"University of Chinese Academy of Sciences, CAS",663,11698,95.47511312217195,8,1.5249559577677225,CHINA MAINLAND,Academic
Zhejiang University,660,10189,94.39393939393939,9,1.4662334848484848,CHINA MAINLAND,Academic
University of London,619,8359,88.69143780290791,10,1.1947592891760905,ENGLAND,Academic System
Sun Yat Sen University,533,8367,95.1219512195122,11,1.3901975609756099,CHINA MAINLAND,Academic
University of Texas System,522,8121,90.42145593869732,12,1.1602674329501916,USA,Academic System
Pennsylvania Commonwealth System of Higher Education (PCSHE),509,9266,85.6581532416503,13,1.4122652259332025,USA,Academic System
Suzhou University,503,11084,95.82504970178927,14,1.772674552683897,CHINA MAINLAND,Academic
Jilin University,491,7793,94.5010183299389,15,1.4261511201629329,CHINA MAINLAND,Academic
Peking University,463,8232,92.87257019438445,16,1.5742326133909288,CHINA MAINLAND,Academic
Egyptian Knowledge Bank (EKB),463,7075,92.22462203023758,16,1.3824008639308856,EGYPT,Government
National University of Singapore,455,9320,92.52747252747253,18,1.4744274725274726,SINGAPORE,Academic
Tsinghua University,454,9412,92.95154185022027,19,1.5728387665198238,CHINA MAINLAND,Academic
University System of Georgia,443,7185,86.68171557562077,20,1.1959146726862304,USA,Academic System
Consiglio Nazionale delle Ricerche (CNR),434,5508,94.70046082949308,21,1.190883870967742,ITALY,Research Council
South China University of Technology,428,7112,95.56074766355141,22,1.3921556074766357,CHINA MAINLAND,Academic
