Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Chinese Academy of Sciences,19386,584039,93.49530589084907,1,2.3521194160734553,CHINA MAINLAND,Research Institute
United States Department of Energy (DOE),6902,196352,95.03042596348884,2,2.064663286004057,USA,Government
Centre National de la Recherche Scientifique (CNRS),6804,97776,89.90299823633157,3,1.1180194591416814,FRANCE,Research Council
"University of Chinese Academy of Sciences, CAS",6379,178628,93.22777864869101,4,2.2978061765166955,CHINA MAINLAND,Academic
University of California System,5822,158488,93.09515630367571,5,2.0040394194434903,USA,Academic System
Tsinghua University,3806,126708,92.90593799264319,6,2.5291114818707303,CHINA MAINLAND,Academic
Russian Academy of Sciences,3525,24310,70.09929078014184,7,0.7540291914893618,RUSSIA,National Academy
Indian Institute of Technology System (IIT System),3521,42870,88.01476853166714,8,0.9961493893780176,INDIA,Academic System
"University of Science & Technology of China, CAS",3270,99928,94.89296636085626,9,2.5148099694189607,CHINA MAINLAND,Academic
Peking University,3171,96824,91.04383475244401,10,2.285202302112898,CHINA MAINLAND,Academic
Helmholtz Association,3019,52812,93.40841338191454,11,1.4076250745279895,GERMANY (FED REP GER),Nonprofit
Zhejiang University,2813,78040,92.64130821187344,12,2.212638073231426,CHINA MAINLAND,Academic
Nanyang Technological University,2789,116351,94.87271423449265,13,2.8438803155252783,SINGAPORE,Academic
Nanyang Technological University & National Institute of Education (NIE) Singapore,2789,116351,94.87271423449265,13,2.8438803155252783,SINGAPORE,Academic
Shanghai Jiao Tong University,2783,60451,92.1307941070787,15,1.84500431189364,CHINA MAINLAND,Academic
Suzhou University,2589,88888,94.47663190421012,16,2.6424711471610665,CHINA MAINLAND,Academic
Consiglio Nazionale delle Ricerche (CNR),2505,37053,90.89820359281437,17,1.2284659481037925,ITALY,Research Council
Huazhong University of Science & Technology,2441,71963,94.05981155264236,18,2.3254493650143386,CHINA MAINLAND,Academic
Jilin University,2431,66938,93.9531057178116,19,2.1553612093788566,CHINA MAINLAND,Academic
Nanjing University,2399,63538,94.16423509795749,20,2.0680300958732807,CHINA MAINLAND,Academic
National University of Singapore,2356,66405,93.08149405772495,21,2.263913879456706,SINGAPORE,Academic
University System of Georgia,2335,77337,94.26124197002142,22,2.431954475374732,USA,Academic System
University of Texas System,2334,61609,91.00257069408741,23,1.9068302056555269,USA,Academic System
Harbin Institute of Technology,2311,49388,92.12462137602769,24,1.8040634790134142,CHINA MAINLAND,Academic
Fudan University,2250,65311,94.04444444444444,25,2.2638888,CHINA MAINLAND,Academic
Consejo Superior de Investigaciones Cientificas (CSIC),2174,36241,93.97424103035878,26,1.3197798068077278,SPAIN,Research Council
Ministry of Education & Science of Ukraine,2166,6494,49.907663896583564,27,0.5546641735918745,UKRAINE,Government
Tianjin University,2154,65827,93.63974001857011,28,2.4244359795728876,CHINA MAINLAND,Academic
Xi'an Jiaotong University,2143,52944,91.5538964069062,29,2.027565935604293,CHINA MAINLAND,Academic
Max Planck Society,2083,48498,94.47911665866539,30,1.6983452232357177,GERMANY (FED REP GER),Nonprofit
Sungkyunkwan University (SKKU),2075,39366,87.90361445783132,31,1.4217653975903615,SOUTH KOREA,Academic
Seoul National University (SNU),2073,42368,89.91799324650265,32,1.5090904968644479,SOUTH KOREA,Academic
Georgia Institute of Technology,2002,71309,95.45454545454545,33,2.624611988011988,USA,Academic
Massachusetts Institute of Technology (MIT),1998,58086,94.44444444444444,34,2.0114601601601603,USA,Academic
Egyptian Knowledge Bank (EKB),1963,24075,80.84564442180337,35,1.1148163015792154,EGYPT,Government
CNRS - Institute of Chemistry (INC),1900,28942,94.3157894736842,36,1.1521707368421052,FRANCE,Research Institute
Korea Advanced Institute of Science & Technology (KAIST),1829,42779,93.1656642974303,37,1.7025534718425368,SOUTH KOREA,Academic
Southeast University - China,1823,36015,90.72956664838179,38,1.6181955019199123,CHINA MAINLAND,Academic
Sun Yat Sen University,1750,44482,90.28571428571428,39,2.1362661714285713,CHINA MAINLAND,Academic
Pennsylvania Commonwealth System of Higher Education (PCSHE),1750,42137,92.28571428571428,39,1.834879542857143,USA,Academic System
South China University of Technology,1734,54419,95.040369088812,41,2.553659169550173,CHINA MAINLAND,Academic
University of Tokyo,1703,27207,84.32178508514386,42,1.2455544333529067,JAPAN,Academic
Sichuan University,1699,42741,93.40788699234844,43,2.1224769276044735,CHINA MAINLAND,Academic
Stanford University,1688,67658,96.0308056872038,44,2.8899622037914696,USA,Academic
Shenzhen University,1658,42674,94.57177322074789,45,2.3467382991556094,CHINA MAINLAND,Academic
Harvard University,1653,55991,94.97882637628554,46,2.3106375075620083,USA,Academic
Wuhan University,1622,48322,95.80764488286067,47,2.3587197903822443,CHINA MAINLAND,Academic
University of Chicago,1618,38864,95.3646477132262,48,1.8703060568603216,USA,Academic
Beihang University,1607,43855,92.03484754200373,49,2.1447492221530804,CHINA MAINLAND,Academic
State University System of Florida,1597,30601,89.7307451471509,50,1.444584721352536,USA,Academic System
Korea University,1583,29565,92.60897030953885,51,1.5218653190145293,SOUTH KOREA,Academic
National Institute for Materials Science,1579,40389,93.28689043698543,52,1.9041267257758077,JAPAN,Research Institute
Central South University,1563,43396,94.5617402431222,53,2.421473768394114,CHINA MAINLAND,Academic
Xiamen University,1546,42082,94.82535575679172,54,2.163769081500647,CHINA MAINLAND,Academic
National Center for Nanoscience & Technology - China,1537,61239,96.61678594664932,55,3.0092975927130774,CHINA MAINLAND,Research Institute
Shandong University,1509,37674,92.84294234592446,56,2.052961895294897,CHINA MAINLAND,Academic
University of Illinois System,1498,32609,93.05740987983978,57,1.6829736982643524,USA,Academic System
University of Electronic Science & Technology of China,1496,33097,88.36898395721924,58,1.9195290775401073,CHINA MAINLAND,Academic
University of California Berkeley,1489,46842,93.619879113499,59,2.186862525184688,USA,Academic
University of Cambridge,1483,41288,94.60552933243426,60,2.05797842211733,ENGLAND,Academic
