Name,Country or Region,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Organization Type
Chinese Academy of Sciences,CHINA MAINLAND,17529,150032,77.8310228763763,1,1.0978455416737978,Research Institute
Centre National de la Recherche Scientifique (CNRS),FRANCE,11765,102653,78.07054823629409,2,1.120969706757331,Research Council
Russian Academy of Sciences,RUSSIA,7644,34070,63.73626373626373,3,0.585729526425955,National Academy
Indian Institute of Technology System (IIT System),INDIA,7476,62464,78.49117174959872,4,1.1167166934189408,Academic System
University of California System,USA,6642,68610,80.38241493526046,5,1.5444816320385426,Academic System
"University of Chinese Academy of Sciences, CAS",CHINA MAINLAND,6231,45873,77.11442786069652,6,1.0095130155673246,Academic
Helmholtz Association,GERMANY (FED REP GER),5727,56829,81.21180373668587,7,1.2567509865549154,Nonprofit
United States Department of Energy (DOE),USA,5597,46678,79.22101125603001,8,1.0143200821868859,Government
Harbin Institute of Technology,CHINA MAINLAND,5507,48849,74.85019066642455,9,1.0978041220265118,Academic
Egyptian Knowledge Bank (EKB),EGYPT,5492,45490,82.64748725418791,10,1.0431651128914787,Government
Tsinghua University,CHINA MAINLAND,5190,46680,76.33911368015414,11,1.2439472832369942,Academic
Zhejiang University,CHINA MAINLAND,5115,50473,81.87683284457478,12,1.2299009579667644,Academic
Beihang University,CHINA MAINLAND,4828,42246,73.11516155758078,13,1.123234527754764,Academic
Shanghai Jiao Tong University,CHINA MAINLAND,4784,41090,78.84615384615384,14,1.1948538043478263,Academic
Consiglio Nazionale delle Ricerche (CNR),ITALY,4492,41402,83.50400712377561,15,1.1522153606411398,Research Council
National Institute of Technology (NIT System),INDIA,4404,30576,73.22888283378747,16,1.0257060172570391,Academic System
Consejo Superior de Investigaciones Cientificas (CSIC),SPAIN,4342,50908,89.54398894518654,17,1.3050185168125288,Research Council
Huazhong University of Science & Technology,CHINA MAINLAND,3991,42124,80.15534953645704,18,1.3812412177399147,Academic
State University System of Florida,USA,3928,37870,75.94195519348268,19,1.320582586558045,Academic System
Wuhan University,CHINA MAINLAND,3687,42234,85.00135611608354,20,1.2398870355302414,Academic
Universite Paris Saclay,FRANCE,3538,31417,78.23629169022045,21,1.1735965234595818,Academic
Xi'an Jiaotong University,CHINA MAINLAND,3427,29907,77.26874817624744,22,1.0753109716953604,Academic
Northwestern Polytechnical University,CHINA MAINLAND,3425,37359,77.08029197080292,23,1.4030224817518249,Academic
Islamic Azad University,IRAN,3387,32084,81.54709182167109,24,1.099532831414231,Academic
Tianjin University,CHINA MAINLAND,3334,27121,77.29454109178164,25,1.0690323935212958,Academic
Jiangnan University,CHINA MAINLAND,3287,39259,89.96045025859446,26,1.44959954365683,Academic
University System of Georgia,USA,3278,30210,79.59121415497255,27,1.2861790115924343,Academic System
South China University of Technology,CHINA MAINLAND,3197,43295,84.23522051923679,28,1.5640090710040666,Academic
United States Department of Agriculture (USDA),USA,3155,36406,86.90966719492869,29,1.1680888748019018,Government
Beijing Institute of Technology,CHINA MAINLAND,3021,20321,69.18238993710692,30,0.9445498510427012,Academic
Technical University of Munich,GERMANY (FED REP GER),2986,33612,80.81044876088413,31,1.7847003683858005,Academic
National Aeronautics & Space Administration (NASA),USA,2957,37086,84.40987487318228,32,1.6386755495434564,Government
INRAE,FRANCE,2923,33543,88.40232637700993,33,1.2240313376667808,National Academy
Universidade de Sao Paulo,BRAZIL,2905,25692,79.41480206540447,34,1.0723733907056798,Academic
Pennsylvania Commonwealth System of Higher Education (PCSHE),USA,2890,25707,74.84429065743944,35,1.3697671280276817,Academic System
Dalian University of Technology,CHINA MAINLAND,2867,27443,81.19986048133939,36,1.2417723753051972,Academic
Jilin University,CHINA MAINLAND,2850,24859,77.01754385964912,37,1.0099489122807017,Academic
University of Texas System,USA,2820,29484,80.28368794326242,38,1.479873546099291,Academic System
"University of Science & Technology of China, CAS",CHINA MAINLAND,2799,22645,77.09896391568417,39,1.1067157556270097,Academic
Nanjing University of Aeronautics & Astronautics,CHINA MAINLAND,2709,20527,78.58988556662976,40,0.9637049464747139,Academic
University of London,ENGLAND,2709,29822,78.922111480251,40,1.6162600221483943,Academic System
University of North Carolina,USA,2697,32673,81.46088246199481,42,1.9945449017426773,Academic System
Southeast University - China,CHINA MAINLAND,2656,24295,76.35542168674698,43,1.1086054216867471,Academic
University of Electronic Science & Technology of China,CHINA MAINLAND,2644,22548,72.01210287443268,44,1.2417401664145236,Academic
Purdue University System,USA,2530,24736,81.97628458498023,45,1.3139599604743084,Academic System
Purdue University,USA,2516,24607,81.95548489666137,46,1.3133569554848967,Academic
Universiti Teknologi Malaysia,MALAYSIA,2504,12458,60.183706070287535,47,0.6943333865814697,Academic
University of Tokyo,JAPAN,2499,17012,73.3093237294918,48,0.9489300520208084,Academic
University System of Maryland,USA,2499,31530,83.27330932372949,48,1.5367791516606644,Academic System
Purdue University West Lafayette Campus,USA,2456,24236,82.04397394136808,50,1.301004193811075,Academic
National University of Defense Technology - China,CHINA MAINLAND,2422,13201,63.95540875309661,51,0.675479397192403,Academic
Nanyang Technological University,SINGAPORE,2396,28333,78.1719532554257,52,1.6853133555926545,Academic
Nanyang Technological University & National Institute of Education (NIE) Singapore,SINGAPORE,2396,28333,78.1719532554257,52,1.6853133555926545,Academic
Istituto Nazionale di Fisica Nucleare (INFN),ITALY,2379,15356,73.60235393022279,54,0.7300321143337537,Research Institute
China Agricultural University,CHINA MAINLAND,2321,27343,89.74579922447221,55,1.3368048685911247,Academic
Chinese Academy of Agricultural Sciences,CHINA MAINLAND,2318,25005,88.99913718723037,56,1.4243773943054359,Research Institute
University of Illinois System,USA,2275,24858,80.3956043956044,57,1.691560791208791,Academic System
Polytechnic University of Milan,ITALY,2270,19038,73.65638766519824,58,1.430656431718062,Academic
Chongqing University,CHINA MAINLAND,2240,20264,79.91071428571429,59,1.1926748214285716,Academic
University of Michigan System,USA,2217,25956,74.01894451962112,60,2.294016914749662,Academic System
Texas A&M University System,USA,2214,20480,78.81662149954833,61,1.149176467931346,Academic System
University of Wisconsin System,USA,2198,23264,80.20928116469518,62,1.3220021383075524,Academic System
Universidade Estadual de Campinas,BRAZIL,2195,26513,86.4236902050114,63,1.3299485649202736,Academic
University of Michigan,USA,2188,25537,73.76599634369288,64,2.3048341407678246,Academic
University of Naples Federico II,ITALY,2187,24855,84.63648834019205,65,1.5327616826703248,Academic
Fraunhofer Gesellschaft,GERMANY (FED REP GER),2181,12501,67.03347088491518,66,1.3095485557083906,Nonprofit
Shandong University,CHINA MAINLAND,2176,16954,79.41176470588235,67,1.0143326746323529,Academic
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),ARGENTINA,2169,19050,87.41355463347165,68,0.9497168280313509,Government
Max Planck Society,GERMANY (FED REP GER),2163,21051,77.99352750809061,69,1.3991267221451689,Nonprofit
Seoul National University (SNU),SOUTH KOREA,2154,20176,85.65459610027855,70,1.1436163881151347,Academic
Peking University,CHINA MAINLAND,2131,20217,75.59831065227593,71,1.4644815110276865,Academic
CNRS - Institute for Engineering & Systems Sciences (INSIS),FRANCE,2123,16275,76.21290626471973,72,0.9729482807348092,Research Institute
Tongji University,CHINA MAINLAND,2111,19850,77.45144481288489,73,1.2079235907153008,Academic
Northeastern University - China,CHINA MAINLAND,2106,19859,80.15194681861348,74,1.1869750712250713,Academic
National University of Singapore,SINGAPORE,2079,26425,82.73208273208273,75,1.6478633958633961,Academic
Pennsylvania State University,USA,2068,17023,72.72727272727273,76,1.2753774661508706,Academic
Ghent University,BELGIUM,2053,25574,86.1665854846566,77,1.2947628835849976,Academic
Hong Kong Polytechnic University,HONG KONG,2045,28070,88.16625916870416,78,1.781855305623472,Academic
Universidade de Lisboa,PORTUGAL,2039,17483,80.43158410985778,79,1.1217840117704758,Academic
Ministry of Education & Science of Ukraine,UKRAINE,2036,5654,49.70530451866404,80,0.8485122298624754,Government
KU Leuven,BELGIUM,2029,20502,82.10941350418925,81,1.3630172498767865,Academic
ETH Zurich,SWITZERLAND,2027,27128,84.36112481499754,82,2.0399746916625556,Academic
Central South University,CHINA MAINLAND,2014,21824,84.80635551142007,83,1.3796868421052633,Academic
Texas A&M University College Station,USA,2004,18883,79.14171656686626,84,1.15556626746507,Academic
Delft University of Technology,NETHERLANDS,2004,18371,81.2874251497006,84,1.402019760479042,Academic
Xidian University,CHINA MAINLAND,1991,16479,79.20642893018584,86,1.0067405323957812,Academic
University of Maryland College Park,USA,1980,26708,84.0909090909091,87,1.6004373737373738,Academic
Georgia Institute of Technology,USA,1959,18775,80.04083716181725,88,1.4191596733027054,Academic
United States Department of Defense,USA,1934,10916,66.28748707342295,89,0.8228270941054809,Government
Universiti Putra Malaysia,MALAYSIA,1919,15626,78.73892652423137,90,0.9334965607087026,Academic
University of Wisconsin Madison,USA,1914,19943,79.88505747126436,91,1.3233940438871474,Academic
Wageningen University & Research,NETHERLANDS,1913,26904,92.15891270256142,92,1.6164811813904862,Academic
Nanjing University of Science & Technology,CHINA MAINLAND,1907,12833,71.00157315154694,93,0.8561310959622443,Academic
CEA,FRANCE,1907,14924,75.93078133193497,93,1.0344854221289985,Research Institute
Council of Scientific & Industrial Research (CSIR) - India,INDIA,1902,17999,78.28601472134595,95,0.9711767087276552,Research Council
Massachusetts Institute of Technology (MIT),USA,1897,22922,80.28465998945704,96,1.7682054823405378,Academic
Technical University of Denmark,DENMARK,1889,18285,82.95394388565379,97,1.354664955002647,Academic
University of Bologna,ITALY,1884,21868,83.17409766454352,98,1.559597558386412,Academic
University of Tehran,IRAN,1850,21797,87.02702702702703,99,1.3844723783783786,Academic
University of Florida,USA,1830,17856,74.86338797814209,100,1.340225956284153,Academic
Jiangsu University,CHINA MAINLAND,1823,20639,85.13439385628085,101,1.4708984092155786,Academic
Cornell University,USA,1805,19882,77.22991689750693,102,1.6761857617728533,Academic
University of Illinois Urbana-Champaign,USA,1799,19149,80.76709282934964,103,1.7752863813229574,Academic
Universidade do Porto,PORTUGAL,1784,19261,84.4170403587444,104,1.1867715246636772,Academic
University of Padua,ITALY,1779,18673,83.13659359190557,105,1.5706879145587411,Academic
RWTH Aachen University,GERMANY (FED REP GER),1768,13994,73.35972850678732,106,1.3190409502262446,Academic
Ohio State University,USA,1767,18705,80.75834748160725,107,1.3345100735710245,Academic
State University of New York (SUNY) System,USA,1750,17724,74.8,108,1.4506378857142859,Academic System
Sapienza University Rome,ITALY,1748,16973,80.60640732265446,109,1.2156737986270023,Academic
University of New South Wales Sydney,AUSTRALIA,1733,21070,83.03519907674553,110,1.439908424697057,Academic
North China Electric Power University,CHINA MAINLAND,1733,6670,41.89267166762839,110,0.5363600692440854,Academic
Karlsruhe Institute of Technology,GERMANY (FED REP GER),1717,13957,79.0331974373908,112,1.2075016307513105,Academic
Stanford University,USA,1698,23619,81.86101295641932,113,2.53179234393404,Academic
University of California Davis,USA,1697,17953,81.61461402474956,114,1.216046611667649,Academic
Imperial College London,ENGLAND,1691,17404,81.96333530455352,115,1.5512610881135425,Academic
Universitat Politecnica de Valencia,SPAIN,1667,14394,80.26394721055789,116,1.0230003599280144,Academic
Hunan University,CHINA MAINLAND,1663,21327,85.32772098616958,117,1.4934513529765485,Academic
Sorbonne Universite,FRANCE,1661,16704,79.89163154726069,118,1.2338706201083685,Academic
Beijing Jiaotong University,CHINA MAINLAND,1654,9859,60.278113663845225,119,0.7686951632406288,Academic
Hefei University of Technology,CHINA MAINLAND,1640,15848,80.67073170731707,120,1.2095532926829269,Academic
Sichuan University,CHINA MAINLAND,1639,13388,74.80170835875533,121,1.1163803538743138,Academic
Universite de Toulouse,FRANCE,1636,18362,80.74572127139365,122,1.4379961491442543,Academic System
Korea University,SOUTH KOREA,1631,15898,83.32311465358676,123,1.051189760882894,Academic
Pennsylvania State University - University Park,USA,1630,14553,74.78527607361963,124,1.3321715337423314,Academic
Communaute Universite Grenoble Alpes,FRANCE,1611,17001,77.52948479205463,125,1.4576465549348232,Academic System
University of Belgrade,SERBIA,1604,12082,80.42394014962593,126,0.9426920199501246,Academic
University of Nottingham,ENGLAND,1586,20123,86.12862547288776,127,1.490904287515763,Academic
Sun Yat Sen University,CHINA MAINLAND,1578,17076,79.34093789607097,128,1.492991318124208,Academic
University of Massachusetts System,USA,1568,28144,87.1811224489796,129,1.9383848852040817,Academic System
Universite Grenoble Alpes (UGA),FRANCE,1562,15987,77.40076824583866,130,1.4497839308578746,Academic
Harvard University,USA,1548,19938,79.45736434108527,131,1.7081257105943153,Academic
Nanjing Agricultural University,CHINA MAINLAND,1548,18571,91.86046511627907,131,1.5188242248062016,Academic
Michigan State University,USA,1542,17006,78.98832684824903,133,1.2953982490272373,Academic
University of California Berkeley,USA,1539,17238,81.15659519168291,134,1.7712604288499028,Academic
China University of Mining & Technology,CHINA MAINLAND,1538,10690,78.47854356306892,135,0.8481864759427828,Academic
Universidad Politecnica de Madrid,SPAIN,1534,11060,80.89960886571056,136,0.9572289439374185,Academic
Polytechnic University of Catalonia,SPAIN,1530,11766,78.56209150326798,137,0.995477385620915,Academic
Wuhan University of Technology,CHINA MAINLAND,1519,10531,68.00526662277815,138,0.9611852534562213,Academic
University College London,ENGLAND,1515,17740,79.53795379537954,139,1.722997095709571,Academic
University of Oxford,ENGLAND,1511,16695,82.13103904698875,140,1.9282320317670418,Academic
University of Alberta,CANADA,1510,16683,85.82781456953641,141,1.3286760264900663,Academic
University of Queensland,AUSTRALIA,1508,21083,87.66578249336871,142,1.5467598143236077,Academic
California Institute of Technology,USA,1499,21479,85.52368245496999,143,1.7723375583722485,Academic
Shanghai University,CHINA MAINLAND,1490,11689,70.53691275167785,144,1.0158395973154364,Academic
University of Cambridge,ENGLAND,1489,16703,82.67293485560779,145,1.5642914036265951,Academic
Polish Academy of Sciences,POLAND,1484,12488,83.22102425876011,146,1.0319362533692724,National Academy
National Institute of Standards & Technology (NIST) - USA,USA,1483,11878,72.4881995954147,147,1.1330283884018881,Government
National Taiwan University,TAIWAN,1475,11029,77.01694915254237,148,0.8953871186440678,Academic
Virginia Polytechnic Institute & State University,USA,1473,12283,78.20773930753563,149,1.146394161575017,Academic
Shenzhen University,CHINA MAINLAND,1454,14743,82.25584594222833,150,1.2998310178817056,Academic
China University of Geosciences,CHINA MAINLAND,1451,12846,83.11509303928325,151,1.0490678152997932,Academic
North Carolina State University,USA,1442,14804,82.59361997226074,152,1.2882622746185854,Academic
Czech Academy of Sciences,CZECH REPUBLIC,1440,8531,72.63888888888889,153,0.7832468750000001,National Academy
University of British Columbia,CANADA,1437,18999,84.8295059151009,154,1.6363992345163536,Academic
Korea Advanced Institute of Science & Technology (KAIST),SOUTH KOREA,1434,13189,79.2887029288703,155,1.6447194560669456,Academic
Polytechnic University of Turin,ITALY,1418,10670,77.78561354019746,156,1.380585825105783,Academic
Norwegian University of Science & Technology (NTNU),NORWAY,1418,9766,74.47108603667137,156,1.3228707334273626,Academic
Harbin Engineering University,CHINA MAINLAND,1401,7307,68.66523911491792,158,0.665158886509636,Academic
Universiti Kebangsaan Malaysia,MALAYSIA,1394,7789,68.07747489239598,159,0.6331620516499283,Academic
Osaka University,JAPAN,1381,7825,70.81824764663287,160,0.824223678493845,Academic
Kyoto University,JAPAN,1381,8222,73.28023171614771,160,0.7331015930485156,Academic
University of Manchester,ENGLAND,1375,13407,78.76363636363637,162,1.254972290909091,Academic
Tohoku University,JAPAN,1361,8727,76.6348273328435,163,0.8630038941954447,Academic
University of Science & Technology Beijing,CHINA MAINLAND,1360,12011,75.80882352941177,164,1.0930246323529411,Academic
King Saud University,SAUDI ARABIA,1355,13556,83.61623616236162,165,1.3841057564575647,Academic
University of Waterloo,CANADA,1354,13490,83.08714918759233,166,1.3565375184638109,Academic
Universiti Sains Malaysia,MALAYSIA,1348,8075,71.58753709198812,167,0.9036045994065282,Academic
Universidade Estadual Paulista,BRAZIL,1343,13126,83.39538346984364,168,1.1815498138495906,Academic
Royal Melbourne Institute of Technology (RMIT),AUSTRALIA,1336,17127,84.95508982035929,169,1.46730501497006,Academic
German Aerospace Centre (DLR),GERMANY (FED REP GER),1332,19084,81.38138138138137,170,1.6289201201201204,Research Institute
Nanchang University,CHINA MAINLAND,1331,17669,88.05409466566492,171,1.5798769346356125,Academic
Northwest A&F University - China,CHINA MAINLAND,1331,15450,89.63185574755823,171,1.3450335837716003,Academic
University of Guelph,CANADA,1312,15346,83.6890243902439,173,1.4214284298780488,Academic
University of Tennessee System,USA,1308,12069,67.73700305810397,174,1.0892099388379204,Academic System
University of Toronto,CANADA,1304,14416,81.05828220858896,175,1.5454905674846626,Academic
University of Valencia,SPAIN,1304,19803,87.65337423312883,175,1.4599266871165644,Academic
Southwest Jiaotong University,CHINA MAINLAND,1302,14197,80.26113671274962,177,1.2489593701996928,Academic
University of Milan,ITALY,1288,11968,84.62732919254658,178,1.0987979813664597,Academic
Beijing University of Technology,CHINA MAINLAND,1281,8236,66.7447306791569,179,0.8770925839188135,Academic
University of Copenhagen,DENMARK,1279,16115,89.28850664581705,180,1.3826632525410478,Academic
National Institute of Advanced Industrial Science & Technology (AIST),JAPAN,1277,6566,72.90524667188724,181,0.6141059514487079,Research Institute
City University of Hong Kong,HONG KONG,1276,17313,86.05015673981191,182,1.7050228056426333,Academic
Lund University,SWEDEN,1269,10561,70.44917257683215,183,1.0334101654846335,Academic
University of Erlangen Nuremberg,GERMANY (FED REP GER),1268,9681,75.39432176656152,184,1.4191258675078866,Academic
Ecole Polytechnique Federale de Lausanne,SWITZERLAND,1263,12276,78.06809184481394,185,1.5490483768804435,Academic
University of Minnesota System,USA,1255,12936,77.21115537848605,186,1.2729827888446217,Academic System
Hanyang University,SOUTH KOREA,1252,13099,82.74760383386581,187,1.2038069488817893,Academic
