Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of California System,39180,552759,73.00408371618173,1,1.7578166998468607,USA,Academic System
Harvard University,33180,531949,71.05485232067511,2,1.9608000934297771,USA,Academic
University of London,29626,394221,72.09545669344494,3,1.7112507088368325,ENGLAND,Academic System
Institut National de la Sante et de la Recherche Medicale (Inserm),23901,306655,76.74992678130621,4,1.4384715158361576,FRANCE,Government
University of Texas System,21158,255791,68.93373664807638,5,1.5845410955666888,USA,Academic System
National Institutes of Health (NIH) - USA,18379,286856,73.6329506501986,6,1.9343175199956473,USA,Government
Harvard Medical School,18244,284411,74.34224950668712,7,1.921913483885113,USA,Health
Centre National de la Recherche Scientifique (CNRS),17343,215800,81.97543677564435,8,1.3508742951046533,FRANCE,Research Council
Pennsylvania Commonwealth System of Higher Education (PCSHE),17092,195450,69.76948279897029,9,1.3817237304001873,USA,Academic System
University College London,15966,223734,71.8902668169861,10,1.7818422836026557,ENGLAND,Academic
Johns Hopkins University,15114,214477,72.13179833267169,11,1.7426848418684664,USA,Academic
University of Toronto,14834,165087,69.00364028582985,12,1.4663454698665228,CANADA,Academic
State University System of Florida,13826,131386,71.16302618255462,13,1.2397693042094604,USA,Academic System
Chinese Academy of Sciences,13621,164603,86.13904999632919,14,1.5106324131855224,CHINA MAINLAND,Research Institute
University of Pennsylvania,12616,177838,66.75649968294229,15,2.072183386176284,USA,Academic
Egyptian Knowledge Bank (EKB),12569,107620,81.97151722491846,16,0.9873664253321665,EGYPT,Government
US Department of Veterans Affairs,12549,169885,80.1418439716312,17,1.4865783409036577,USA,Government
Assistance Publique Hopitaux Paris (APHP),12545,144945,67.8517337584695,18,1.4982009645277004,FRANCE,Health
Veterans Health Administration (VHA),12165,166587,80.40279490341142,19,1.49842150431566,USA,Government
University of California San Francisco,11386,180335,69.74354470402248,20,2.066385763217987,USA,Academic
University of North Carolina,11230,141716,74.36331255565449,21,1.620368682101514,USA,Academic System
University of Pittsburgh,10721,132781,67.95075086279266,22,1.5171124428691354,USA,Academic
Massachusetts General Hospital,10685,178657,71.44595226953673,23,2.0421683949461866,USA,Health
Karolinska Institutet,10239,145063,74.08926652993456,24,1.6581912393788458,SWEDEN,Academic
University of Washington,10040,140620,71.31474103585657,25,1.7700179681274901,USA,Academic System
Stanford University,10021,164487,70.33230216545256,26,2.1363862987725777,USA,Academic
University of Washington Seattle,9889,139964,71.6149256749924,27,1.7798177469916068,USA,Academic
Universite de Paris,9571,120872,72.81370807648103,28,1.5456312193083275,FRANCE,Academic
University of Oxford,9505,150631,77.47501315097317,29,1.8353221778011573,ENGLAND,Academic
Mayo Clinic,9446,99862,61.581621850518744,30,1.499239604065213,USA,Health
Universidade de Sao Paulo,9406,83909,75.79204762917287,31,1.002914597065703,BRAZIL,Academic
Shanghai Jiao Tong University,9341,98695,83.41719302001927,32,1.2430459479713092,CHINA MAINLAND,Academic
Yale University,9266,134747,71.76775307576084,33,1.8263598963954242,USA,Academic
University of California Los Angeles,9259,123808,72.66443460416892,34,1.726579987039637,USA,Academic
University of California San Diego,9217,146267,74.75317348377996,35,1.9001080937398287,USA,Academic
University of Michigan System,9179,125154,71.95772960017432,36,1.6314945418890947,USA,Academic System
