Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Harvard University,111421,1627299,67.33649850566769,1,2.9778603674352233,USA,Academic
University of California System,103324,1273128,63.75962990205567,2,2.4930351157523907,USA,Academic System
University of London,78895,1114821,66.39964509791496,3,2.494678186196844,ENGLAND,Academic System
University of Texas System,70911,875151,62.9733045648771,4,3.044881468319443,USA,Academic System
Harvard Medical School,57464,789723,71.87456494500904,5,2.4183557357650005,USA,Health
University of Toronto,55199,734318,65.81097483650066,6,2.4031994420188774,CANADA,Academic
Institut National de la Sante et de la Recherche Medicale (Inserm),48275,705616,73.76696012428793,7,2.0850068503366135,FRANCE,Government
Mayo Clinic,48048,628230,63.60722610722611,8,2.481897050865801,USA,Health
Assistance Publique Hopitaux Paris (APHP),46546,638870,66.75546770936278,9,2.567534475572552,FRANCE,Health
Johns Hopkins University,46259,658761,66.44977193627186,10,2.571202825396139,USA,Academic
Pennsylvania Commonwealth System of Higher Education (PCSHE),45018,525398,63.079212759340706,11,2.053106193078324,USA,Academic System
University College London,41876,611856,65.41216926162957,12,2.457343963129239,ENGLAND,Academic
University of Pennsylvania,41632,535910,64.60174865488086,13,2.5662942880476556,USA,Academic
University of California San Francisco,36509,498816,64.13760990440713,14,2.9263938864389605,USA,Academic
Massachusetts General Hospital,36091,546434,68.27740988057964,15,3.2210069851209444,USA,Health
Stanford University,33371,463201,65.22729315873063,16,2.6820315932995715,USA,Academic
US Department of Veterans Affairs,32764,429805,72.33854230252716,17,1.7158714931021855,USA,Government
Brigham & Women's Hospital,32446,519807,68.37822844110214,18,2.603758987240338,USA,Academic
University of Michigan System,32174,426142,67.25616957792006,19,2.39627702492696,USA,Academic System
University of Michigan,32146,426022,67.27120014931873,20,2.3979179773533255,USA,Academic
Veterans Health Administration (VHA),31788,418624,72.46445199446332,21,1.7133197370076758,USA,Government
National Institutes of Health (NIH) - USA,30603,517866,67.57180668561907,22,2.7037969382086726,USA,Government
University of Pittsburgh,30546,394908,63.69410070058272,23,2.368502039546913,USA,Academic
University of California Los Angeles,30236,412271,63.321867971953964,24,2.805171137055166,USA,Academic
University of Sydney,29396,415053,65.41706354606069,25,2.4058016566879847,AUSTRALIA,Academic
State University System of Florida,29229,276718,62.43114714838003,26,1.5300362687741629,USA,Academic System
Duke University,28769,392436,66.21015676596336,27,2.6430487921026105,USA,Academic
Columbia University,28710,390712,65.05050505050505,28,2.377884935562522,USA,Academic
UTMD Anderson Cancer Center,28677,432616,64.27101858632354,29,4.956157659448339,USA,Health
University of Washington,28270,459031,69.69225327201981,30,2.854910484612664,USA,Academic System
Universite de Paris,28032,403429,70.21974885844749,31,2.5436840753424654,FRANCE,Academic
University of Washington Seattle,27947,455880,69.79282212759867,32,2.8737260886678357,USA,Academic
Cleveland Clinic Foundation,26956,322602,59.67502596824454,33,2.300361648612554,USA,Health
Yale University,26674,365050,65.05211066956586,34,2.9818058671365377,USA,Academic
Imperial College London,26046,418463,65.21922752054058,35,2.4582693465407357,ENGLAND,Academic
Icahn School of Medicine at Mount Sinai,25842,315857,61.4929185047597,36,2.329717850785543,USA,Academic
Karolinska Institutet,25448,395156,73.42030807922038,37,2.2190661820182336,SWEDEN,Academic
University of North Carolina,25076,319726,65.39320465784016,38,2.3741590803955974,USA,Academic System
King's College London,25001,377470,68.8452461901524,39,2.1978135754569816,ENGLAND,Academic
Egyptian Knowledge Bank (EKB),24667,164392,60.964041026472614,40,0.8773052661450521,EGYPT,Government
University of Copenhagen,24433,356062,70.78132034543445,41,2.166743089264519,DENMARK,Academic
Emory University,23963,335890,63.898510203229975,42,2.9967899219630265,USA,Academic
University of Melbourne,23702,333384,70.808370601637,43,1.9393419584845162,AUSTRALIA,Academic
University of Amsterdam,23184,346582,72.88647342995169,44,2.3882107574189098,NETHERLANDS,Academic
University of Colorado System,23100,320621,65.8961038961039,45,2.956969948051948,USA,Academic System
Northwestern University,22897,319553,64.62418657466044,46,2.505929453640215,USA,Academic
Ruprecht Karls University Heidelberg,22803,322275,65.90360917423146,47,2.4754009647853352,GERMANY (FED REP GER),Academic
Ohio State University,22664,273752,64.0134133427462,48,2.6783241969643488,USA,Academic
Washington University (WUSTL),22590,330069,65.37405931828243,49,3.0609813545816738,USA,Academic
Baylor College of Medicine,22427,257082,63.106969278102284,50,1.7870990814643066,USA,Academic
Free University of Berlin,22399,288333,63.578731193356845,51,2.2631885843118,GERMANY (FED REP GER),Academic
Humboldt University of Berlin,22326,287289,63.60745319358595,52,2.2690998253157755,GERMANY (FED REP GER),Academic
Charite Medical University of Berlin,21881,283919,63.44316987340615,53,2.2911266166994197,GERMANY (FED REP GER),Academic
Seoul National University (SNU),21698,252410,69.24601345746152,54,2.846872071158632,SOUTH KOREA,Academic
University of Oxford,21583,390549,69.0728814344623,55,2.6464142565908357,ENGLAND,Academic
University of California San Diego,21531,306012,65.61701732385862,56,2.5422787794343042,USA,Academic
Cornell University,21394,296335,65.61652799850425,57,2.8775878517341313,USA,Academic
Universidade de Sao Paulo,20947,210694,65.63231011600706,58,1.3398348068935886,BRAZIL,Academic
University of North Carolina Chapel Hill,20447,277799,66.32757861789015,59,2.5763417029393065,USA,Academic
Erasmus University Rotterdam,20383,314595,69.2439778246578,60,2.6094336702153758,NETHERLANDS,Academic
Sorbonne Universite,20289,274303,66.7652422494948,61,2.5450846616393124,FRANCE,Academic
University of British Columbia,20130,258688,66.53253849975161,62,2.0175148882265277,CANADA,Academic
Shanghai Jiao Tong University,20016,223864,76.77358113509193,63,1.734379826139089,CHINA MAINLAND,Academic
University of Barcelona,19999,294334,64.25321266063303,64,2.5784896644832243,SPAIN,Academic
New York University,19878,263021,66.18372069624711,65,2.228920183117014,USA,Academic
Vanderbilt University,19875,281172,66.15849056603773,66,2.9383657911949688,USA,Academic
Memorial Sloan Kettering Cancer Center,19796,381196,65.49302889472621,67,6.336953657304506,USA,Health
Erasmus MC,19773,303772,69.29145804885451,68,2.6237677287209835,NETHERLANDS,Health
CIBER - Centro de Investigacion Biomedica en Red,19640,316373,73.43686354378819,69,2.4841592464358455,SPAIN,Research Institute
University Health Network Toronto,19622,270073,65.34502089491387,70,3.129936525328713,CANADA,Health
University of Alabama System,19496,245364,61.14074681986048,71,2.2895051241280266,USA,Academic System
University of Colorado Anschutz Medical Campus,19151,260602,66.57615790298156,72,2.9828076340661065,USA,Academic
McGill University,19004,250018,66.71227110082087,73,2.1683823510839826,CANADA,Academic
Helmholtz Association,18935,301856,69.88117243200422,74,2.491506759968313,GERMANY (FED REP GER),Nonprofit
Monash University,18893,244685,66.93484359286508,75,2.122040930503361,AUSTRALIA,Academic
State University of New York (SUNY) System,18770,186222,61.012253596164086,76,1.461349547149707,USA,Academic System
Johns Hopkins Medicine,18718,268617,66.96762474623357,77,3.075405866011326,USA,Health
University of Alabama Birmingham,18677,236759,61.00551480430476,78,2.325566102693152,USA,Academic
Centre National de la Recherche Scientifique (CNRS),18647,221406,76.67721349278705,79,1.6671570654797019,FRANCE,Research Council
University of Munich,18446,228854,66.16068524341321,80,2.0729200043369835,GERMANY (FED REP GER),Academic
UNICANCER,18147,291421,66.34154405686891,81,6.057987998016201,FRANCE,Health
University of Texas Southwestern Medical Center Dallas,17762,212743,63.281162031302784,82,2.2952828341402993,USA,Academic
Vrije Universiteit Amsterdam,17533,258335,73.76375976729595,83,2.1678553128386473,NETHERLANDS,Academic
KU Leuven,17385,286947,68.99050905953408,84,3.203676646534369,BELGIUM,Academic
