Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of California System,28660,303600,75.83740404745289,1,1.4640719155617588,USA,Academic System
University of London,25428,304538,76.26238791882963,2,1.685951580934403,ENGLAND,Academic System
Harvard University,25096,294797,74.47003506534907,3,1.6280889783232388,USA,Academic
Johns Hopkins University,15653,179526,74.83549479333035,4,1.597826710534722,USA,Academic
University of North Carolina,14844,140726,71.30153597413096,5,1.290806635677715,USA,Academic System
University of Toronto,14026,144771,76.42235847711393,6,1.3872346998431486,CANADA,Academic
University of Texas System,13173,111449,69.93851058984286,7,1.1689149851969938,USA,Academic System
Pennsylvania Commonwealth System of Higher Education (PCSHE),12793,115764,70.44477448604705,8,1.2487767450949738,USA,Academic System
Centers for Disease Control & Prevention - USA,12203,201710,78.46431205441286,9,2.208035933786774,USA,Government
State University System of Florida,11909,92691,69.75396758753884,10,1.1420787975480728,USA,Academic System
University of Washington,11546,135653,74.8830763900918,11,1.6709398752814828,USA,Academic System
Harvard Medical School,11321,131872,75.73535906722022,12,1.6790100962812473,USA,Health
University of Washington Seattle,11285,134338,74.92246344705362,13,1.6869481967213116,USA,Academic
US Department of Veterans Affairs,10873,110391,73.80667709003956,14,1.3375344799043503,USA,Government
University of California San Francisco,10797,119992,75.4561452255256,15,1.4775685931277207,USA,Academic
University of Sydney,10439,111122,78.59948270907175,16,1.3896915604943003,AUSTRALIA,Academic
University of North Carolina Chapel Hill,10282,109086,72.61233223108344,17,1.3841188971017313,USA,Academic
Veterans Health Administration (VHA),10275,106569,73.84914841849148,18,1.3549555328467153,USA,Government
University College London,9728,119974,75.50370065789474,19,1.6746162623355265,ENGLAND,Academic
Institut National de la Sante et de la Recherche Medicale (Inserm),9630,104592,78.61889927310489,20,1.4809621703011422,FRANCE,Government
National Institutes of Health (NIH) - USA,9494,133945,74.99473351590478,21,1.8618504318516957,USA,Government
London School of Hygiene & Tropical Medicine,9306,133660,78.40103159252095,22,1.8668513754566947,ENGLAND,Academic
University of Michigan System,8990,91190,75.28364849833147,23,1.434751423804227,USA,Academic System
University of Michigan,8949,91028,75.27097999776511,24,1.4391603307632137,USA,Academic
Johns Hopkins Bloomberg School of Public Health,8687,104210,78.95706227696559,25,1.5976841602394383,USA,Academic
Universidade de Sao Paulo,8536,78383,73.82849109653233,26,1.120754029990628,BRAZIL,Academic
Columbia University,8489,90329,73.49511132053246,27,1.4128614913417366,USA,Academic
Harvard T.H. Chan School of Public Health,8375,131113,83.70149253731344,28,1.9546139343283582,USA,Academic
University of Pennsylvania,8221,86046,71.8890645906824,29,1.470848400437903,USA,Academic
University of Oxford,8129,123165,79.08721860007381,30,2.2018081928896547,ENGLAND,Academic
University of Melbourne,8029,99792,80.607796736829,31,1.5608765724249596,AUSTRALIA,Academic
Monash University,7876,84246,80.3453529710513,32,1.3880113255459625,AUSTRALIA,Academic
World Health Organization,7688,120936,80.73621227887617,33,2.045459326222685,SWITZERLAND,Government
Karolinska Institutet,7509,86140,79.01185244373418,34,1.4134775203089627,SWEDEN,Academic
University of British Columbia,7446,83901,77.18237980123557,35,1.4285828632822994,CANADA,Academic
University of Queensland,7086,93165,81.35760654812306,36,1.5276572678521028,AUSTRALIA,Academic
Emory University,7078,86372,74.72449844588867,37,1.6750590138457193,USA,Academic
University of California Los Angeles,7074,77537,73.76307605315239,38,1.4817093864857223,USA,Academic
University of Pittsburgh,7043,73929,69.51583132187989,39,1.4174090160442994,USA,Academic
Duke University,6964,63764,72.21424468696152,40,1.3569742533026998,USA,Academic
Yale University,6957,76299,75.06108955009343,41,1.5741504384073597,USA,Academic
Imperial College London,6900,104280,74.33333333333333,42,1.9841867246376812,ENGLAND,Academic
University of Copenhagen,6518,81115,80.76096962258362,43,1.494818027002148,DENMARK,Academic
University of Illinois System,6502,54679,71.56259612426945,44,1.1536200092279298,USA,Academic System
University of Minnesota System,6431,56847,73.90763489348468,45,1.2488768309749652,USA,Academic System
University of Colorado System,6398,63280,72.0068771491091,46,1.4254846045639262,USA,Academic System
University of New South Wales Sydney,6396,72656,77.92370231394622,47,1.495993808630394,AUSTRALIA,Academic
State University of New York (SUNY) System,6297,63008,70.63681117992695,48,1.3210055582023188,USA,Academic System
University of Minnesota Twin Cities,6213,55696,73.94173507162401,49,1.2623198615805569,USA,Academic
University System of Maryland,6145,51178,69.09682668836452,50,1.1759279576891781,USA,Academic System
Stanford University,6100,78040,75.18032786885246,51,1.7600790000000002,USA,Academic
University System of Georgia,6095,48680,71.86218211648892,52,1.2014179327317474,USA,Academic System
McGill University,6012,69642,74.50099800399201,53,1.4757886227544912,CANADA,Academic
Brigham & Women's Hospital,5801,73134,75.74556111015343,54,1.6540483537321151,USA,Academic
Boston University,5680,66417,75.88028169014085,55,1.565936161971831,USA,Academic
University of Amsterdam,5623,55199,79.93953405655344,56,1.295788155788725,NETHERLANDS,Academic
University of Alabama System,5598,60108,71.29331904251518,57,1.3845451589853521,USA,Academic System
New York University,5594,51538,69.86056489095459,58,1.3369845191276368,USA,Academic
King's College London,5523,75079,77.40358500814774,59,1.849800977729495,ENGLAND,Academic
Ohio State University,5451,53037,72.610530177949,60,1.2910847367455514,USA,Academic
Assistance Publique Hopitaux Paris (APHP),5432,56119,73.93225331369662,61,1.5238662002945509,FRANCE,Health
University of Wisconsin System,5407,47007,72.36915110042538,62,1.1883188459404477,USA,Academic System
Massachusetts General Hospital,5394,65838,73.17389692250649,63,1.5818385984427143,USA,Health
Indiana University System,5374,38453,68.49646445850391,64,1.110480200967622,USA,Academic System
CIBER - Centro de Investigacion Biomedica en Red,5298,74812,84.14496036240091,65,1.6251175160437903,SPAIN,Research Institute
Centre National de la Recherche Scientifique (CNRS),5113,51712,82.20222961079601,66,1.3278898102875025,FRANCE,Research Council
University of Ottawa,5099,77563,79.03510492253383,67,1.7645964110609924,CANADA,Academic
Fundacao Oswaldo Cruz,5097,45480,76.61369432999804,68,1.0751287816362567,BRAZIL,Government
Vrije Universiteit Amsterdam,5032,55282,81.55802861685216,69,1.3653776033386327,NETHERLANDS,Academic
Northwestern University,4960,54358,74.95967741935485,70,1.4450095766129034,USA,Academic
University of Massachusetts System,4914,50776,69.06796906796907,71,1.3545327635327635,USA,Academic System
McMaster University,4901,67976,76.33136094674556,72,1.5861183431952661,CANADA,Academic
Utah System of Higher Education,4889,33446,69.9734096952342,73,1.032214133769687,USA,Academic System
University of California San Diego,4847,61578,77.1611305962451,74,1.7227127501547348,USA,Academic
University of Florida,4780,41663,69.43514644351464,75,1.2164271966527196,USA,Academic
California State University System,4733,34388,69.0259877456159,76,1.0821424677794211,USA,Academic System
University of Colorado Anschutz Medical Campus,4722,50247,73.61287590004235,77,1.5043152477763662,USA,Academic
Erasmus University Rotterdam,4676,67300,76.34730538922156,78,2.0136780153977756,NETHERLANDS,Academic
Brown University,4641,49999,76.23357035121741,79,1.351413014436544,USA,Academic
Mayo Clinic,4625,46648,70.5945945945946,80,1.2873042594594595,USA,Health
Universite de Paris,4608,50297,75.45572916666666,81,1.5598418619791667,FRANCE,Academic
Vanderbilt University,4594,48778,76.2298650413583,82,1.6015522638223771,USA,Academic
Tehran University of Medical Sciences,4594,45125,76.94819329560296,82,1.171591858946452,IRAN,Academic
University of Alberta,4545,52047,77.53575357535753,84,1.3966274367436744,CANADA,Academic
University of Alabama Birmingham,4403,53075,72.58687258687259,85,1.4877485123779242,USA,Academic
Maastricht University,4393,43268,78.44297746414752,86,1.2306179831550195,NETHERLANDS,Academic
University of Montreal,4386,45341,73.34701322389421,87,1.3831155722754218,CANADA,Academic
University of Oslo,4377,57071,79.18665752798721,88,1.497770527758739,NORWAY,Academic
Utrecht University,4348,53487,81.60073597056117,89,1.6816678702851886,NETHERLANDS,Academic
Egyptian Knowledge Bank (EKB),4318,47156,77.48957850856878,90,1.3762179018063918,EGYPT,Government
