Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Chinese Academy of Sciences,8342,88765,90.85351234715895,1,1.4517478062814673,CHINA MAINLAND,Research Institute
United States Department of Agriculture (USDA),8278,65426,80.63541918337764,2,1.1013338970765887,USA,Government
Indian Council of Agricultural Research (ICAR),5414,22102,65.58921315108977,3,0.5341025120059105,INDIA,Research Council
INRAE,3704,41040,88.68790496760259,4,1.4582798056155506,FRANCE,National Academy
Empresa Brasileira de Pesquisa Agropecuaria (EMBRAPA),3676,17775,75.65288356909684,5,0.6269995919477693,BRAZIL,Government
State University System of Florida,3575,20940,63.10489510489511,6,0.8863180139860141,USA,Academic System
Chinese Academy of Agricultural Sciences,3430,31575,88.80466472303206,7,1.2222725655976676,CHINA MAINLAND,Research Institute
"University of Chinese Academy of Sciences, CAS",3212,33630,92.15442092154422,8,1.4896667185554173,CHINA MAINLAND,Academic
University of California System,3149,30666,80.81930771673547,9,1.2460363925055575,USA,Academic System
University of Florida,3139,17537,60.751831793564826,10,0.8424357438674737,USA,Academic
CGIAR,2970,29201,86.12794612794613,11,1.316950404040404,FRANCE,Government
Northwest A&F University - China,2715,29026,91.30755064456721,12,1.498411049723757,CHINA MAINLAND,Academic
Consejo Superior de Investigaciones Cientificas (CSIC),2683,27218,90.45844204248975,13,1.3727777115169586,SPAIN,Research Council
Wageningen University & Research,2471,35989,88.70902468636179,14,1.9076768110076894,NETHERLANDS,Academic
Universidade Estadual Paulista,2412,11486,72.636815920398,15,0.6568609867330016,BRAZIL,Academic
Universidade de Sao Paulo,2389,15537,80.15906236919214,16,0.8746825449979072,BRAZIL,Academic
Egyptian Knowledge Bank (EKB),2274,18818,81.70624450307827,17,1.3236585312225155,EGYPT,Government
Centre National de la Recherche Scientifique (CNRS),2263,24212,88.99690676093681,18,1.391372602739726,FRANCE,Research Council
China Agricultural University,2201,23242,90.64061790095411,19,1.4271143116765108,CHINA MAINLAND,Academic
United States Forest Service,2136,18814,88.06179775280899,20,1.3061605337078652,USA,Government
Russian Academy of Sciences,2056,8484,59.28988326848249,21,0.7197633268482491,RUSSIA,National Academy
Nanjing Agricultural University,1964,21392,91.0386965376782,22,1.3801319755600816,CHINA MAINLAND,Academic
University of North Carolina,1955,11699,71.61125319693095,23,0.9228067007672635,USA,Academic System
Universidade Federal de Vicosa,1905,8066,73.59580052493439,24,0.5547402624671917,BRAZIL,Academic
Swedish University of Agricultural Sciences,1786,19058,90.98544232922733,25,1.4357623180291155,SWEDEN,Academic
Texas A&M University System,1737,11500,70.75417386298216,26,0.956226597582038,USA,Academic System
University System of Georgia,1704,8067,64.96478873239437,27,0.7194421361502348,USA,Academic System
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),1703,10880,84.43922489724017,28,0.8862598943041692,ARGENTINA,Government
Universidade Federal de Lavras,1702,7650,75.14688601645123,29,0.7711219153936546,BRAZIL,Academic
University of California Davis,1685,15094,79.76261127596439,30,1.1293647477744808,USA,Academic
Commonwealth Scientific & Industrial Research Organisation (CSIRO),1654,19872,90.62877871825876,31,1.6220989117291418,AUSTRALIA,Government
University of Agriculture Faisalabad,1649,9522,74.95451788963008,32,0.7469890236506974,PAKISTAN,Academic
North Carolina State University,1622,9729,70.77681874229347,33,0.8949897657213318,USA,Academic
University of Georgia,1567,7088,63.36949585194639,34,0.7125946394384174,USA,Academic
United States Department of the Interior,1564,11814,87.34015345268543,35,1.0287709718670077,USA,Government
Oregon State University,1524,10887,78.1496062992126,36,1.143733595800525,USA,Academic
Huazhong Agricultural University,1495,13624,88.02675585284281,37,1.2893145819397993,CHINA MAINLAND,Academic
Texas A&M University College Station,1438,9707,71.14047287899861,38,0.9631291376912379,USA,Academic
Consiglio Nazionale delle Ricerche (CNR),1434,14768,88.77266387726638,39,1.3860486750348675,ITALY,Research Council
Michigan State University,1416,12091,78.17796610169492,40,1.5125665960451977,USA,Academic
CIRAD,1363,11759,85.76669112252384,41,1.214218268525312,FRANCE,Academic
Universidade Federal de Santa Maria (UFSM),1354,6176,73.78138847858197,42,0.6206948301329395,BRAZIL,Academic
ICAR - Indian Agricultural Research Institute,1350,5436,61.92592592592593,43,0.5245842962962963,INDIA,Research Institute
Chinese Academy of Fishery Sciences,1343,9585,84.5867460908414,44,0.935057930007446,CHINA MAINLAND,Research Institute
Agriculture & Agri Food Canada,1341,12952,82.10290827740492,45,1.2809644295302014,CANADA,Government
Institut de Recherche pour le Developpement (IRD),1330,14405,88.04511278195488,46,1.382357969924812,FRANCE,Government
University of Minnesota System,1319,9880,80.13646702047005,47,1.1578200151630023,USA,Academic System
University of Wisconsin System,1305,10916,82.29885057471265,48,1.266183448275862,USA,Academic System
Cornell University,1277,10709,78.77838684416602,49,1.3126198903680502,USA,Academic
Universite de Montpellier,1272,9980,86.08490566037736,50,1.28095,FRANCE,Academic
Universidade Federal do Parana,1215,4492,71.27572016460906,51,0.5186766255144033,BRAZIL,Academic
United States Geological Survey,1208,10002,88.49337748344371,52,1.0897671357615895,USA,Government
University of Gottingen,1202,15382,88.43594009983362,53,1.6431747088186357,GERMANY (FED REP GER),Academic
University of Minnesota Twin Cities,1196,8838,80.01672240802675,54,1.1743944816053513,USA,Academic
National Oceanic Atmospheric Admin (NOAA) - USA,1174,10954,89.60817717206133,55,1.33401797274276,USA,Government
Washington State University,1169,8283,70.74422583404619,56,1.0541041060735672,USA,Academic
University of Queensland,1132,9972,86.92579505300353,57,1.204213957597173,AUSTRALIA,Academic
Bogor Agricultural University,1117,2540,45.65801253357207,58,1.025123903312444,INDONESIA,Academic
Mendel University in Brno,1111,3809,48.60486048604861,59,0.5759972097209721,CZECH REPUBLIC,Academic
Zhejiang University,1106,11757,87.9746835443038,60,1.4315716094032551,CHINA MAINLAND,Academic
South China Agricultural University,1099,9197,88.53503184713377,61,1.2235593266606006,CHINA MAINLAND,Academic
University of Western Australia,1090,13566,91.37614678899084,62,1.5320545871559634,AUSTRALIA,Academic
Islamic Azad University,1087,5978,72.95308187672494,63,0.8567376264949402,IRAN,Academic
University of Wisconsin Madison,1071,9789,84.593837535014,64,1.2386757236227826,USA,Academic
Beijing Forestry University,1068,7266,88.57677902621724,65,0.9561174157303372,CHINA MAINLAND,Academic
Helmholtz Association,1056,14559,93.18181818181817,66,1.8543597537878789,GERMANY (FED REP GER),Nonprofit
