Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Indian Council of Agricultural Research (ICAR),2368,5934,55.067567567567565,1,0.3432869932432433,INDIA,Research Council
United States Department of Agriculture (USDA),1526,8559,63.892529488859765,2,1.340754259501966,USA,Government
Egyptian Knowledge Bank (EKB),1463,8091,79.90430622009569,3,1.128974982911825,EGYPT,Government
INRAE,1392,9211,76.36494252873564,4,1.0726367816091955,FRANCE,National Academy
Universidade Estadual Paulista,1208,4622,64.90066225165563,5,0.9273176324503313,BRAZIL,Academic
Texas A&M University System,1166,3835,49.48542024013722,6,1.2257428816466553,USA,Academic System
University of Guelph,1079,7016,69.23076923076923,7,1.3434179796107508,CANADA,Academic
Texas A&M University College Station,1015,3600,51.42857142857142,8,1.3091378325123153,USA,Academic
University of Illinois System,987,4815,57.95339412360689,9,1.3244190476190478,USA,Academic System
Universidade de Sao Paulo,964,4213,71.16182572614107,10,0.847376867219917,BRAZIL,Academic
University of Illinois Urbana-Champaign,929,4794,60.60279870828849,11,1.2783367061356299,USA,Academic
Iowa State University,917,4229,52.67175572519084,12,1.679689967284624,USA,Academic
ICAR - National Dairy Research Institute,901,2326,53.38512763596004,13,0.3050642619311876,INDIA,Government
Chinese Academy of Agricultural Sciences,899,4821,79.97775305895439,14,1.3403397107897665,CHINA MAINLAND,Research Institute
State University System of Florida,871,4845,56.027554535017224,15,1.0734719862227324,USA,Academic System
University of Florida,859,4771,55.76251455180442,16,1.07496868451688,USA,Academic
Kansas State University,854,3105,52.57611241217799,17,1.404889344262295,USA,Academic
China Agricultural University,829,5991,83.35343787696019,18,1.2733455971049457,CHINA MAINLAND,Academic
Wageningen University & Research,821,6944,84.8964677222899,19,1.320273568818514,NETHERLANDS,Academic
University of Wisconsin System,747,5050,61.57965194109772,20,1.2722408299866133,USA,Academic System
Agriculture & Agri Food Canada,735,4445,69.25170068027211,21,1.7556156462585035,CANADA,Government
University System of Georgia,705,3262,58.86524822695035,22,1.074552340425532,USA,Academic System
University of Wisconsin Madison,688,4880,63.80813953488372,23,1.3087468023255815,USA,Academic
University of North Carolina,676,3168,61.390532544378694,24,1.5409454142011836,USA,Academic System
University of California System,668,3805,67.36526946107784,25,1.1325014970059881,USA,Academic System
ICAR - Indian Veterinary Research Institute,634,1797,58.2018927444795,26,0.3769673501577287,INDIA,Government
Aarhus University,633,4906,85.15007898894154,27,1.2002257503949447,DENMARK,Academic
University of Georgia,626,3150,61.18210862619809,28,1.1557186900958467,USA,Academic
Empresa Brasileira de Pesquisa Agropecuaria (EMBRAPA),622,2851,75.08038585209003,29,0.7848514469453377,BRAZIL,Government
University of California Davis,616,3498,67.6948051948052,30,1.1180819805194806,USA,Academic
North Carolina State University,586,2765,61.092150170648466,31,1.4842725255972697,USA,Academic
Cornell University,577,3690,64.99133448873484,32,1.192444367417678,USA,Academic
Nanjing Agricultural University,565,3777,86.72566371681415,33,1.2040720353982302,CHINA MAINLAND,Academic
Teagasc,563,4321,77.08703374777976,34,1.3801751332149201,IRELAND,Research Institute
University of Nebraska System,539,1450,44.712430426716146,35,1.1433293135435993,USA,Academic System
Universidade Federal de Vicosa,531,2272,66.85499058380414,36,0.7293666666666667,BRAZIL,Academic
Purdue University,528,2409,64.20454545454545,37,0.9984160984848486,USA,Academic
