Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of California System,2251,11968,78.23189693469568,1,0.9150858729453576,USA,Academic System
Egyptian Knowledge Bank (EKB),2107,11270,77.31371618414808,2,1.0542665875652586,EGYPT,Government
University of California Davis,2018,10437,78.34489593657085,3,0.9236720515361745,USA,Academic
Universidade Estadual Paulista,1639,5479,67.54118364856619,4,0.5390512507626601,BRAZIL,Academic
University of London,1561,9872,77.96284433055733,5,1.2438555413196668,ENGLAND,Academic System
University of London Royal Veterinary College,1418,9050,78.27926657263752,6,1.2369944287729198,ENGLAND,Academic
Universidade de Sao Paulo,1397,5885,75.08947745168217,7,0.6488098067287045,BRAZIL,Academic
University of Guelph,1322,7328,77.83661119515885,8,0.9367440998487141,CANADA,Academic
University of North Carolina,1270,6809,75.11811023622047,9,1.0521117322834646,USA,Academic System
University System of Georgia,1221,5471,73.87387387387388,10,0.7722017199017199,USA,Academic System
Colorado State University,1217,5930,76.82826622843056,11,0.8915682826622844,USA,Academic
United States Department of Agriculture (USDA),1217,9651,86.77074774034512,11,1.2188534921939196,USA,Government
INRAE,1199,8597,82.3185988323603,13,1.3131625521267722,FRANCE,National Academy
State University System of Florida,1195,5718,77.32217573221757,14,0.8954844351464436,USA,Academic System
North Carolina State University,1189,6450,76.11438183347352,15,1.0795915054667788,USA,Academic
Texas A&M University System,1161,6239,78.1223083548665,16,0.9313202411714039,USA,Academic System
University of Georgia,1155,5088,73.33333333333333,17,0.7665563636363637,USA,Academic
Cornell University,1154,6216,77.38301559792028,18,0.8492466204506066,USA,Academic
Ghent University,1124,6090,73.04270462633453,19,0.8962772241992883,BELGIUM,Academic
University of Florida,1116,5403,76.7921146953405,20,0.9121772401433692,USA,Academic
Texas A&M University College Station,1111,6066,77.85778577857786,21,0.9431592259225924,USA,Academic
"University of Veterinary Medicine Hannover, Foundation",1102,4985,67.7858439201452,22,0.8130559891107079,GERMANY (FED REP GER),Academic
University of Zurich,1048,5127,76.81297709923665,23,0.9174987595419848,SWITZERLAND,Academic
University of Edinburgh,1048,5880,77.57633587786259,23,0.9607091603053436,SCOTLAND,Academic
University of Veterinary Medicine Vienna,1009,5624,73.83548067393458,25,0.9439934588701685,AUSTRIA,Academic
Indian Council of Agricultural Research (ICAR),955,6307,79.89528795811518,26,0.9481248167539267,INDIA,Research Council
University of Pennsylvania,898,4592,75.38975501113586,27,0.9580268374164812,USA,Academic
Ohio State University,875,5005,77.02857142857142,28,1.0340789714285714,USA,Academic
University of Sydney,870,5313,81.03448275862068,29,1.0616488505747126,AUSTRALIA,Academic
University of Hannover,858,3737,67.13286713286713,30,0.7968868298368299,GERMANY (FED REP GER),Academic
Chinese Academy of Sciences,858,7868,91.25874125874127,30,1.238534965034965,CHINA MAINLAND,Research Institute
Utrecht University,857,4785,73.74562427071179,32,1.064865927654609,NETHERLANDS,Academic
University of Wisconsin System,854,4067,69.20374707259953,33,0.7636215456674473,USA,Academic System
Chinese Academy of Agricultural Sciences,840,5026,82.5,34,0.986179761904762,CHINA MAINLAND,Research Institute
University of Bern,834,4936,78.41726618705036,35,1.094729376498801,SWITZERLAND,Academic
University of Minnesota System,828,5184,79.95169082125604,36,1.070296618357488,USA,Academic System
Iowa State University,814,4936,80.83538083538083,37,1.070323832923833,USA,Academic
University of Wisconsin Madison,814,3892,69.28746928746928,37,0.764472972972973,USA,Academic
University of Minnesota Twin Cities,808,5072,79.82673267326733,39,1.0767351485148515,USA,Academic
University of Liverpool,807,4360,75.8364312267658,40,1.1748681536555143,ENGLAND,Academic
Swedish University of Agricultural Sciences,791,5507,84.70290771175726,41,1.4528772439949433,SWEDEN,Academic
University of Illinois System,779,3984,74.19768934531452,42,0.8346080872913992,USA,Academic System
Autonomous University of Barcelona,776,5338,77.9639175257732,43,1.3743213917525774,SPAIN,Academic
Kansas State University,751,3777,68.97470039946738,44,0.8838747003994674,USA,Academic
UK Research & Innovation (UKRI),743,5557,84.38761776581427,45,1.2386628532974429,ENGLAND,Government
University of Copenhagen,742,5194,85.71428571428571,46,1.170966037735849,DENMARK,Academic
Biotechnology and Biological Sciences Research Council (BBSRC),738,5543,84.41734417344173,47,1.242018699186992,ENGLAND,Research Council
University of Illinois Urbana-Champaign,716,3753,73.88268156424581,48,0.844186312849162,USA,Academic
Massey University,690,3782,84.05797101449275,49,0.8942572463768116,NEW ZEALAND,Academic
University of Bristol,685,3614,74.45255474452554,50,0.953943795620438,ENGLAND,Academic
Michigan State University,680,3074,75.88235294117646,51,0.7938239705882353,USA,Academic
University of Milan,668,3911,80.688622754491,52,1.1378685628742515,ITALY,Academic
University of Melbourne,649,4060,84.7457627118644,53,1.1687916795069337,AUSTRALIA,Academic
Free University of Berlin,639,3035,67.76212832550861,54,0.8630391236306729,GERMANY (FED REP GER),Academic
Universidade Federal do Rio Grande do Sul,628,2135,66.40127388535032,55,0.573184872611465,BRAZIL,Academic
University of Munich,627,2819,67.1451355661882,56,0.9080767145135566,GERMANY (FED REP GER),Academic
University of Pretoria,622,3350,81.83279742765274,57,0.861185691318328,SOUTH AFRICA,Academic
University of Tennessee System,621,2579,72.78582930756843,58,0.7770086956521739,USA,Academic System
Universidade Federal de Minas Gerais,616,2076,68.9935064935065,59,0.5364030844155845,BRAZIL,Academic
University of Queensland,601,3232,82.86189683860233,60,0.9148450915141432,AUSTRALIA,Academic
University of Tennessee Knoxville,598,2475,74.08026755852842,61,0.7864647157190635,USA,Academic
University of Montreal,591,3648,78.68020304568529,62,1.1245027072758038,CANADA,Academic
Justus Liebig University Giessen,589,2247,57.045840407470294,63,0.6172005093378609,GERMANY (FED REP GER),Academic
University of Saskatchewan,588,2871,74.65986394557824,64,0.7833858843537415,CANADA,Academic
University of Padua,580,3825,81.72413793103448,65,1.2361553448275862,ITALY,Academic
University of Nottingham,573,2937,74.3455497382199,66,0.9993689354275742,ENGLAND,Academic
Warsaw University of Life Sciences,568,1496,44.54225352112676,67,0.4907448943661972,POLAND,Academic
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),561,2323,81.10516934046346,68,0.6531057040998218,ARGENTINA,Government
UT Institute of Agriculture,558,2278,75.08960573476703,69,0.7283965949820789,USA,Academic
University of Murcia,550,3851,72.54545454545455,70,1.1574789090909092,SPAIN,Academic
Wageningen University & Research,544,4158,82.90441176470588,71,1.3420904411764707,NETHERLANDS,Academic
University of Bologna,540,2797,81.85185185185185,72,1.0975098148148148,ITALY,Academic
Friedrich Loeffler Institute,539,4749,84.04452690166976,73,1.4282009276437848,GERMANY (FED REP GER),Research Institute
Empresa Brasileira de Pesquisa Agropecuaria (EMBRAPA),538,2337,80.29739776951673,74,0.6989237918215614,BRAZIL,Government
Purdue University System,538,2535,75.27881040892194,74,0.8987639405204462,USA,Academic System
Complutense University of Madrid,536,3651,84.32835820895522,76,1.2893003731343284,SPAIN,Academic
