Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
United States Department of Agriculture (USDA),3370,29584,84.1246290801187,1,0.9753221958456975,USA,Government
Jiangnan University,2739,34905,93.24571011318,2,1.4830072654253377,CHINA MAINLAND,Academic
Consejo Superior de Investigaciones Cientificas (CSIC),2696,36009,93.84272997032642,3,1.4031084198813057,SPAIN,Research Council
INRAE,2637,29783,88.47174819871066,4,1.2169844520288207,FRANCE,National Academy
Chinese Academy of Sciences,2293,32563,92.93501962494548,5,1.4899798517226344,CHINA MAINLAND,Research Institute
China Agricultural University,2252,29628,91.3854351687389,6,1.4669943605683837,CHINA MAINLAND,Academic
Chinese Academy of Agricultural Sciences,2147,23595,88.49557522123894,7,1.478773218444341,CHINA MAINLAND,Research Institute
Wageningen University & Research,2086,25341,88.20709491850431,8,1.4742803451581976,NETHERLANDS,Academic
Universidade de Sao Paulo,1846,18829,79.63163596966413,9,1.0902991332611052,BRAZIL,Academic
Egyptian Knowledge Bank (EKB),1843,17204,86.16386326641346,10,1.1091628323385785,EGYPT,Government
University of California System,1766,15885,80.57757644394111,11,1.092579784824462,USA,Academic System
Universidade Estadual de Campinas,1609,21142,90.30453697949036,12,1.4259785581106277,BRAZIL,Academic
South China University of Technology,1584,29356,95.89646464646465,13,1.910740909090909,CHINA MAINLAND,Academic
Zhejiang University,1555,22764,91.51125401929261,14,1.6203248231511256,CHINA MAINLAND,Academic
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),1500,14567,90.73333333333333,15,1.0422189333333334,ARGENTINA,Government
Centre National de la Recherche Scientifique (CNRS),1496,15975,86.22994652406418,16,1.163002540106952,FRANCE,Research Council
Nanjing Agricultural University,1441,17469,92.08882720333102,17,1.5302909090909094,CHINA MAINLAND,Academic
Northwest A&F University - China,1385,18336,91.76895306859207,18,1.5458601444043323,CHINA MAINLAND,Academic
State University System of Florida,1359,11541,72.55334805003679,19,1.1220346578366447,USA,Academic System
Indian Council of Agricultural Research (ICAR),1350,10709,84.14814814814815,20,0.808640888888889,INDIA,Research Council
Cornell University,1314,13522,77.92998477929984,21,1.3466236681887367,USA,Academic
Council of Scientific & Industrial Research (CSIR) - India,1303,18150,82.42517267843438,22,1.3399190330007675,INDIA,Research Council
University of California Davis,1250,11083,80.72,23,1.0219525600000001,USA,Academic
Universiti Putra Malaysia,1220,11233,85.08196721311475,24,0.9571133606557377,MALAYSIA,Academic
CGIAR,1150,10370,81.91304347826087,25,1.2078304347826088,FRANCE,Government
University of Guelph,1111,12239,83.25832583258325,26,1.4617285328532854,CANADA,Academic
Consiglio Nazionale delle Ricerche (CNR),1105,14269,93.30316742081448,27,1.3951153846153845,ITALY,Research Council
University of Florida,1101,9455,71.93460490463215,28,1.1972090826521344,USA,Academic
Jiangsu University,1087,14524,92.82428702851885,29,1.7408531738730453,CHINA MAINLAND,Academic
Beijing Technology & Business University,1068,11935,93.25842696629213,30,1.514562265917603,CHINA MAINLAND,Academic
Empresa Brasileira de Pesquisa Agropecuaria (EMBRAPA),1048,10634,85.01908396946564,31,1.1241562022900764,BRAZIL,Government
Huazhong Agricultural University,1021,13049,92.45837414299706,32,1.5415133202742408,CHINA MAINLAND,Academic
Islamic Azad University,999,9305,87.58758758758759,33,1.0544372372372373,IRAN,Academic
Ghent University,987,14440,92.806484295846,34,1.4108605876393112,BELGIUM,Academic
University System of Georgia,986,8475,76.97768762677485,35,0.9583715010141989,USA,Academic System
University of Queensland,978,15183,89.4683026584867,36,1.664204601226994,AUSTRALIA,Academic
Universidade Estadual Paulista,957,7244,84.74399164054337,37,0.879489237199582,BRAZIL,Academic
Teagasc,955,12315,90.78534031413612,38,1.4484840837696336,IRELAND,Research Institute
University of Copenhagen,947,11144,90.70749736008447,39,1.23781045406547,DENMARK,Academic
Universidade do Porto,936,12895,93.05555555555556,40,1.291488247863248,PORTUGAL,Academic
Nanchang University,936,15939,94.55128205128204,40,1.906149358974359,CHINA MAINLAND,Academic
University of Illinois System,896,9210,79.46428571428571,42,1.1199770089285714,USA,Academic System
Michigan State University,895,9220,77.43016759776536,43,1.1797806703910616,USA,Academic
University of North Carolina,868,10044,85.59907834101382,44,1.240081797235023,USA,Academic System
Purdue University System,864,8204,82.06018518518519,45,1.073016550925926,USA,Academic System
Purdue University,863,8187,82.03939745075319,46,1.0726915411355735,USA,Academic
Ohio State University,861,8397,77.23577235772358,47,1.2510550522648083,USA,Academic
Purdue University West Lafayette Campus,857,8168,82.14702450408402,48,1.0778555425904317,USA,Academic
Technical University of Munich,851,8162,88.1316098707403,49,1.1276025851938896,GERMANY (FED REP GER),Academic
"University of Chinese Academy of Sciences, CAS",845,12201,93.01775147928994,50,1.5101468639053255,CHINA MAINLAND,Academic
University of Milan,840,9387,88.80952380952381,51,1.1866746428571429,ITALY,Academic
University of Georgia,839,7087,76.7580452920143,52,0.9331949940405244,USA,Academic
University of Belgrade,839,6960,84.14779499404052,52,1.0888352800953516,SERBIA,Academic
University of Naples Federico II,837,11076,91.51732377538829,54,1.5480639187574674,ITALY,Academic
University of Illinois Urbana-Champaign,818,8424,79.95110024449878,55,1.1229522004889976,USA,Academic
Agriculture & Agri Food Canada,800,10076,88.375,56,1.252599,CANADA,Government
University of Wisconsin System,795,7295,78.23899371069183,57,1.2380427672955976,USA,Academic System
Northeast Agricultural University - China,792,9699,91.66666666666666,58,1.8644472222222221,CHINA MAINLAND,Academic
Tianjin University Science & Technology,786,8698,91.85750636132316,59,1.3992335877862596,CHINA MAINLAND,Academic
Indian Institute of Technology System (IIT System),777,10490,92.14929214929215,60,1.3578577863577863,INDIA,Academic System
Washington State University,774,9810,88.11369509043928,61,1.2813726098191216,USA,Academic
Kansas State University,765,6423,80.91503267973856,62,0.8956975163398694,USA,Academic
KU Leuven,761,9636,92.64126149802891,63,1.3283632063074902,BELGIUM,Academic
University of Bologna,758,8728,88.78627968337732,64,1.244527308707124,ITALY,Academic
Texas A&M University System,755,6015,74.83443708609272,65,0.9176311258278146,USA,Academic System
University of Massachusetts System,748,15376,93.18181818181817,66,2.0746537433155083,USA,Academic System
Pennsylvania Commonwealth System of Higher Education (PCSHE),748,6283,72.59358288770053,66,1.263191310160428,USA,Academic System
University of Wisconsin Madison,745,6871,77.85234899328859,68,1.2556268456375839,USA,Academic
Aarhus University,735,8512,91.02040816326532,69,1.30589537414966,DENMARK,Academic
South China Agricultural University,734,8918,93.3242506811989,70,1.5111972752043599,CHINA MAINLAND,Academic
University of Minnesota System,728,7770,82.55494505494505,71,1.183569230769231,USA,Academic System
Iowa State University,716,6504,77.6536312849162,72,1.126355027932961,USA,Academic
University of Massachusetts Amherst,706,15028,94.05099150141642,73,2.140410056657224,USA,Academic
Institut Agro,706,7634,89.51841359773371,73,1.226922804532578,FRANCE,Academic
Universidade Federal de Vicosa,705,5998,82.83687943262412,75,0.8884621276595746,BRAZIL,Academic
Shanghai Jiao Tong University,702,9385,90.74074074074075,76,1.5018628205128206,CHINA MAINLAND,Academic
University College Dublin,694,11957,90.05763688760807,77,1.8281648414985592,IRELAND,Academic
Universite de Montpellier,687,6723,89.22852983988355,78,1.2102218340611355,FRANCE,Academic
Pennsylvania State University,683,5458,72.18155197657394,79,1.2823718887262079,USA,Academic
Texas A&M University College Station,680,5320,73.6764705882353,80,0.883667205882353,USA,Academic
University of Valencia,675,11822,94.81481481481482,81,1.6594743703703707,SPAIN,Academic
University of Minnesota Twin Cities,671,7396,85.09687034277198,82,1.2277645305514158,USA,Academic
Korea University,664,9230,91.86746987951807,83,1.2974546686746988,SOUTH KOREA,Academic
University Hohenheim,664,6574,86.44578313253012,83,1.0406980421686747,GERMANY (FED REP GER),Academic
University of Tennessee System,660,4049,58.18181818181818,85,0.8077659090909091,USA,Academic System
Ministry of Education & Science of Ukraine,660,1203,47.72727272727273,85,0.3365081818181818,UKRAINE,Government
University College Cork,657,9700,93.30289193302892,87,1.3670814307458143,IRELAND,Academic
Seoul National University (SNU),635,6054,91.33858267716536,88,1.0078262992125984,SOUTH KOREA,Academic
University of Nebraska System,632,5706,82.4367088607595,89,1.1057072784810127,USA,Academic System
University of Tehran,626,7396,85.4632587859425,90,1.322541214057508,IRAN,Academic
Rutgers State University New Brunswick,619,8294,90.14539579967689,91,1.4645019386106624,USA,Academic
Ocean University of China,616,7663,93.5064935064935,92,1.4328787337662339,CHINA MAINLAND,Academic
University of Tennessee Knoxville,612,3897,59.80392156862745,93,0.848541503267974,USA,Academic
US Food & Drug Administration (FDA),609,5221,87.02791461412151,94,0.8524888341543514,USA,Government
Technical University of Denmark,605,8194,94.21487603305785,95,1.3985469421487604,DENMARK,Academic
University of Novi Sad,604,4555,80.62913907284768,96,0.9325889072847683,SERBIA,Academic
Konkuk University,597,6202,91.62479061976549,97,1.1115402010050253,SOUTH KOREA,Academic
Pennsylvania State University - University Park,597,5091,75.37688442211056,97,1.393303852596315,USA,Academic
North Carolina State University,594,6840,84.84848484848484,99,1.2342031986531987,USA,Academic
Jinan University,590,7430,93.89830508474576,100,1.4229196610169492,CHINA MAINLAND,Academic
University of Alberta,580,6728,87.75862068965517,101,1.3383241379310347,CANADA,Academic
Czech University of Life Sciences Prague,580,1797,46.55172413793103,101,0.6215041379310344,CZECH REPUBLIC,Academic
University of Turin,578,6668,87.71626297577855,103,1.4633391003460208,ITALY,Academic
Russian Academy of Sciences,578,2476,56.57439446366782,103,0.9663804498269897,RUSSIA,National Academy
Universidade de Lisboa,577,6476,91.16117850953206,105,1.1905779896013866,PORTUGAL,Academic
King Saud University,575,5357,88.69565217391305,106,1.4876751304347828,SAUDI ARABIA,Academic
University of Nebraska Lincoln,574,5256,82.75261324041811,107,1.124943379790941,USA,Academic
Warsaw University of Life Sciences,574,5531,89.54703832752612,107,1.0731094076655052,POLAND,Academic
Jilin University,568,5386,89.26056338028168,109,1.3536838028169016,CHINA MAINLAND,Academic
Universidade Federal de Lavras,567,3819,80.0705467372134,110,0.8766991181657849,BRAZIL,Academic
University of Padua,566,6503,89.57597173144876,111,1.5495863957597173,ITALY,Academic
Southwest University - China,563,5649,90.58614564831261,112,1.2394614564831261,CHINA MAINLAND,Academic
Universidade Federal de Santa Maria (UFSM),561,5456,89.66131907308377,113,1.1354734402852051,BRAZIL,Academic
Universitat Politecnica de Valencia,551,7255,92.74047186932849,114,1.3519437386569875,SPAIN,Academic
UT Institute of Agriculture,549,3399,59.19854280510018,115,0.8317293260473589,USA,Academic
National Taiwan University,546,6934,90.84249084249085,116,1.2198860805860807,TAIWAN,Academic
"Institute of Food Science & Technology, CAAS",546,5723,89.92673992673993,116,1.294204945054945,CHINA MAINLAND,Research Institute
McGill University,543,7143,89.50276243093923,118,1.3230073664825046,CANADA,Academic
Consiglio per la Ricerca in Agricoltura e L'analisi Dell'economia Agraria (CREA),542,5394,91.14391143911439,119,1.209809778597786,ITALY,Research Institute
Universite Paris Saclay,542,5360,90.7749077490775,119,1.0570771217712176,FRANCE,Academic
Instituto Politecnico Nacional - Mexico,540,4992,91.11111111111111,121,0.9962301851851851,MEXICO,Academic
CSIR - Central Food Technological Research Institute (CFTRI),540,3951,72.03703703703704,121,0.6995998148148148,INDIA,Research Institute
Massey University,537,5639,89.19925512104282,123,1.1795078212290504,NEW ZEALAND,Academic
Universidade Federal do Rio Grande do Sul,537,5718,86.96461824953445,123,1.1822972067039106,BRAZIL,Academic
University of Zagreb,536,6890,84.32835820895522,125,1.3236279850746269,CROATIA,Academic
Commonwealth Scientific & Industrial Research Organisation (CSIRO),532,7171,90.78947368421053,126,1.5839889097744362,AUSTRALIA,Government
University of Parma,531,6537,89.83050847457628,127,1.3497427495291905,ITALY,Academic
University of Arkansas System,531,4079,84.36911487758945,127,0.8199491525423729,USA,Academic System
Dalian Polytechnic University,530,5256,93.39622641509435,129,1.418067358490566,CHINA MAINLAND,Academic
Fujian Agriculture & Forestry University,525,7756,93.33333333333333,130,1.7508230476190476,CHINA MAINLAND,Academic
Universidade Federal de Santa Catarina (UFSC),517,6184,88.20116054158608,131,1.2259423597678918,BRAZIL,Academic
Harbin Institute of Technology,508,10033,95.86614173228347,132,1.9208590551181104,CHINA MAINLAND,Academic
University System of Maryland,508,5351,86.81102362204724,132,1.1583667322834645,USA,Academic System
University of Melbourne,504,5898,89.48412698412699,134,1.3245805555555556,AUSTRALIA,Academic
Prince of Songkla University,501,5309,88.82235528942117,135,1.1510638722554891,THAILAND,Academic
Stellenbosch University,497,5591,86.92152917505031,136,1.055095171026157,SOUTH AFRICA,Academic
Korea Food Research Institute (KFRI),494,3758,85.02024291497976,137,0.8448253036437248,SOUTH KOREA,Research Institute
University of Manitoba,491,5450,85.33604887983707,138,1.145879633401222,CANADA,Academic
Instituto Politecnico de Braganca,490,8041,93.6734693877551,139,1.5741028571428572,PORTUGAL,Academic
Kasetsart University,488,3648,79.30327868852459,140,0.8174776639344262,THAILAND,Academic
Poznan University of Life Sciences,483,5179,90.89026915113871,141,1.117596066252588,POLAND,Academic
Universita degli Studi di Bari Aldo Moro,477,6439,90.14675052410901,142,1.65054213836478,ITALY,Academic
University of Arkansas Fayetteville,475,3723,85.68421052631578,143,0.8353551578947368,USA,Academic
Oregon State University,475,4848,83.57894736842105,143,1.2133724210526315,USA,Academic
University of Auckland,475,7126,92.0,143,1.3301033684210528,NEW ZEALAND,Academic
CIRAD,475,4250,87.1578947368421,143,1.0336,FRANCE,Academic
Swedish University of Agricultural Sciences,471,4499,86.1995753715499,147,1.1552861995753716,SWEDEN,Academic
Universidade Federal do Parana,470,4109,87.2340425531915,148,1.0046021276595745,BRAZIL,Academic
University of Saskatchewan,470,4564,84.04255319148936,148,1.3328436170212767,CANADA,Academic
National Agriculture & Food Research Organization - Japan,465,2443,76.77419354838709,150,0.5267649462365592,JAPAN,Research Institute
Lund University,459,3319,54.03050108932462,151,0.7551888888888889,SWEDEN,Academic
Virginia Polytechnic Institute & State University,458,3384,80.78602620087337,152,0.8258126637554585,USA,Academic
Henan University of Technology,454,4535,87.88546255506607,153,1.2503158590308372,CHINA MAINLAND,Academic
University of Sevilla,454,4869,90.96916299559471,153,1.138221806167401,SPAIN,Academic
Universite Bourgogne Franche-Comte (ComUE),454,4515,82.37885462555066,153,1.1575262114537443,FRANCE,Academic System
National University of Singapore,452,8190,92.2566371681416,156,2.139474778761062,SINGAPORE,Academic
University of Granada,447,6535,91.05145413870245,157,1.4835398210290827,SPAIN,Academic
Kyung Hee University,445,4311,91.68539325842696,158,1.1349253932584271,SOUTH KOREA,Academic
Yangzhou University,436,5493,92.66055045871559,159,1.5594655963302753,CHINA MAINLAND,Academic
University of Agronomic Science & Veterinary Medicine - Bucharest,436,1357,59.403669724770644,159,0.3855896788990826,ROMANIA,Academic
Helmholtz Association,435,5401,87.816091954023,161,1.3334620689655174,GERMANY (FED REP GER),Nonprofit
Chung Ang University,434,3980,89.86175115207374,162,0.926449539170507,SOUTH KOREA,Academic
Slovak University of Agriculture Nitra,434,1048,59.44700460829493,162,0.4680163594470046,SLOVAKIA,Academic
University of Foggia,432,5168,92.5925925925926,164,1.281336111111111,ITALY,Academic
Instituto de Agroquimica y Tecnologia de los Alimentos (IATA),432,6380,94.67592592592592,164,1.607608101851852,SPAIN,Research Institute
AgroParisTech,431,4247,91.87935034802784,166,1.0581025522041765,FRANCE,Academic
Zhejiang Gongshang University,426,5002,92.01877934272301,167,1.5136497652582162,CHINA MAINLAND,Academic
University of London,424,4396,80.18867924528303,168,1.2979523584905661,ENGLAND,Academic System
UK Research & Innovation (UKRI),422,5987,92.65402843601895,169,1.5313428909952609,ENGLAND,Government
Polish Academy of Sciences,420,4814,93.0952380952381,170,1.217012380952381,POLAND,National Academy
Rural Development Administration (RDA),417,3225,90.88729016786571,171,0.8514760191846522,SOUTH KOREA,Government
University of British Columbia,416,6593,90.38461538461539,172,1.71795625,CANADA,Academic
Universidade Federal do Rio de Janeiro,415,5022,90.8433734939759,173,1.396092530120482,BRAZIL,Academic
University of Agriculture Faisalabad,415,4411,90.8433734939759,173,1.1028792771084337,PAKISTAN,Academic
Universiti Sains Malaysia,413,4623,86.92493946731234,175,1.134084745762712,MALAYSIA,Academic
Agricultural University of Athens,411,4304,87.10462287104623,176,1.1399228710462288,GREECE,Academic
University of Tokyo,410,2409,70.73170731707317,177,0.6832953658536585,JAPAN,Academic
International Food Policy Research Institute (IFPRI),406,3758,74.38423645320196,178,1.1263682266009853,USA,Nonprofit
Hefei University of Technology,404,6311,94.55445544554455,179,1.8888551980198023,CHINA MAINLAND,Academic
