Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of California System,4327,27127,70.30275017333025,1,1.697348994684539,USA,Academic System
University of London,4273,18303,59.88766674467587,2,1.4585077229113037,ENGLAND,Academic System
State University System of Florida,4047,18546,66.02421546824809,3,1.2066065480602917,USA,Academic System
University of North Carolina,3866,17458,66.96844283497154,4,1.167579255043973,USA,Academic System
University System of Georgia,3235,11796,62.782071097372494,5,1.0992454404945904,USA,Academic System
Pennsylvania Commonwealth System of Higher Education (PCSHE),3139,16344,67.31443134756292,6,1.4444828289264098,USA,Academic System
University of Texas System,2732,13082,68.99707174231332,7,1.2363827598828698,USA,Academic System
California State University System,2644,9616,59.039334341906205,8,0.9407562783661121,USA,Academic System
University College London,2582,11031,60.41828040278854,9,1.4252092176607283,ENGLAND,Academic
University of Toronto,2170,11049,65.66820276497695,10,1.320869078341014,CANADA,Academic
University of Wisconsin System,2126,8785,60.72436500470367,11,1.1868087958607714,USA,Academic System
University of Illinois System,2093,10089,67.22408026755853,12,1.2976322981366462,USA,Academic System
State University of New York (SUNY) System,1992,7090,59.13654618473896,13,0.9937000502008033,USA,Academic System
Monash University,1980,10022,66.81818181818183,14,1.6052025252525255,AUSTRALIA,Academic
Harvard University,1918,11809,68.56100104275286,15,1.6242180396246089,USA,Academic
Michigan State University,1810,10975,70.71823204419888,16,1.9029039779005525,USA,Academic
Universitas Pendidikan Indonesia,1775,1136,26.422535211267608,17,0.6767254647887324,INDONESIA,Academic
Pennsylvania State University,1771,8007,63.975155279503106,18,1.4937927159796727,USA,Academic
Kazan Federal University,1760,1962,33.80681818181818,19,0.5971185227272727,RUSSIA,Academic
University System of Maryland,1645,7708,66.20060790273557,20,1.575303161094225,USA,Academic System
Ministry of Education & Science of Ukraine,1611,1740,37.05772811918063,21,0.4909203600248293,UKRAINE,Government
University of Michigan System,1565,9032,70.03194888178913,22,1.624587156549521,USA,Academic System
University of Sydney,1550,7571,63.61290322580645,23,1.345813225806452,AUSTRALIA,Academic
University of Michigan,1536,8905,70.18229166666666,24,1.6393423177083335,USA,Academic
Arizona State University,1526,7396,66.77588466579292,25,1.5166521625163827,USA,Academic System
University of Minnesota System,1510,7902,67.68211920529801,26,1.4214618543046358,USA,Academic System
Indiana University System,1507,6970,63.503649635036496,27,1.197744193762442,USA,Academic System
University of British Columbia,1465,7345,64.09556313993174,28,1.5390507167235494,CANADA,Academic
Purdue University System,1440,6395,64.51388888888889,29,1.0339309027777779,USA,Academic System
Ohio State University,1437,6664,67.29297146833682,30,1.1124785664578984,USA,Academic
University of Minnesota Twin Cities,1414,7602,68.03394625176803,31,1.4417956152758133,USA,Academic
University of Wisconsin Madison,1408,6634,64.20454545454545,32,1.3694383522727274,USA,Academic
Texas A&M University System,1401,5498,65.95289079229121,33,1.082644682369736,USA,Academic System
Purdue University,1388,6284,65.27377521613833,34,1.0560014409221903,USA,Academic
University of Colorado System,1379,7295,69.97824510514866,35,1.4313097897026832,USA,Academic System
Purdue University West Lafayette Campus,1329,5909,64.86079759217456,36,1.0121244544770505,USA,Academic
University of Hong Kong,1319,8642,75.28430629264594,37,2.2246575435936315,HONG KONG,Academic
University of Melbourne,1306,6001,67.76416539050535,38,1.388093032159265,AUSTRALIA,Academic
City University of New York (CUNY) System,1305,3984,53.9463601532567,39,0.9941233716475096,USA,Academic System
Columbia University,1301,6205,66.17986164488855,40,1.2533890084550348,USA,Academic
University of Washington,1301,7410,68.10146041506533,40,1.8161241352805535,USA,Academic System
Stanford University,1299,8252,67.59045419553503,42,1.9806951501154737,USA,Academic
Education University of Hong Kong (EdUHK),1282,5836,66.92667706708268,43,1.319365522620905,HONG KONG,Academic
