Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of California System,7831,37254,57.79593921593666,1,1.2826922615247096,USA,Academic System
University of London,6587,32015,56.687414604524065,2,1.4129625474419312,ENGLAND,Academic System
University of North Carolina,3450,15080,62.66666666666667,3,1.2279713913043477,USA,Academic System
State University System of Florida,3373,13352,59.057219092795734,4,1.1587746516454196,USA,Academic System
Pennsylvania Commonwealth System of Higher Education (PCSHE),3187,15351,60.6840288672733,5,1.3436888923752746,USA,Academic System
University of Texas System,3043,14131,63.39139007558331,6,1.2977626026947093,USA,Academic System
State University of New York (SUNY) System,2966,9998,51.55091031692515,7,1.0521847269049225,USA,Academic System
University of Oxford,2627,15695,61.59116863342216,8,1.9307113437381045,ENGLAND,Academic
Centre National de la Recherche Scientifique (CNRS),2556,10278,56.533646322378715,9,1.413555399061033,FRANCE,Research Council
Harvard University,2543,16104,61.81675186787259,10,1.6927559182068426,USA,Academic
University of Toronto,2464,11188,60.71428571428571,11,1.3385282873376625,CANADA,Academic
California State University System,2463,8008,54.73000406008932,12,0.9751543239951279,USA,Academic System
University of Michigan System,2457,14276,66.46316646316647,13,1.5214259666259669,USA,Academic System
University of Michigan,2427,14185,66.5430572723527,14,1.5321752781211373,USA,Academic
City University of New York (CUNY) System,2247,6872,44.14775255896751,15,1.015595282599021,USA,Academic System
University System of Georgia,2212,8556,58.04701627486437,16,1.145151717902351,USA,Academic System
University College London,2030,11714,60.443349753694584,17,1.577381133004926,ENGLAND,Academic
Arizona State University,1992,9782,58.43373493975904,18,1.5632190261044177,USA,Academic System
University of Wisconsin System,1972,9236,59.48275862068966,19,1.2936522312373226,USA,Academic System
University of Illinois System,1963,9156,60.825267447784,20,1.2796847682119206,USA,Academic System
Pennsylvania State University,1942,9683,62.461380020597325,21,1.3637130278063851,USA,Academic
University of California Los Angeles,1860,9481,57.90322580645161,22,1.2835502688172045,USA,Academic
University System of Maryland,1839,9125,62.58836324089179,23,1.2368116911364873,USA,Academic System
New York University,1815,8778,55.64738292011019,24,1.3747550964187327,USA,Academic
University of Cambridge,1727,7779,54.48755066589462,25,1.7462605674580198,ENGLAND,Academic
Columbia University,1678,8396,62.45530393325387,26,1.3979928486293207,USA,Academic
Ohio State University,1633,7011,57.31781996325781,27,1.3940902633190448,USA,Academic
University of Melbourne,1625,6931,61.04615384615385,28,1.3776283692307691,AUSTRALIA,Academic
University of Texas Austin,1609,8839,61.901802361715355,29,1.5060138595400872,USA,Academic
University of Washington,1605,7881,63.36448598130842,30,1.3466119003115264,USA,Academic System
Arizona State University-Tempe,1593,7655,53.98618957940992,31,1.6059174513496548,USA,Academic
University of North Carolina Chapel Hill,1580,8287,67.0253164556962,32,1.3856215189873418,USA,Academic
Pennsylvania State University - University Park,1560,8103,61.410256410256416,33,1.442862435897436,USA,Academic
University of Minnesota System,1520,7545,60.26315789473684,34,1.3633707236842105,USA,Academic System
University of Pennsylvania,1511,7933,61.68100595632032,35,1.5777426869622766,USA,Academic
University of California Berkeley,1502,7737,57.19041278295606,36,1.4533987350199733,USA,Academic
Indiana University System,1500,6687,57.666666666666664,37,1.4282043333333334,USA,Academic System
University of Minnesota Twin Cities,1457,7430,60.6726149622512,38,1.4038632120796157,USA,Academic
University of Washington Seattle,1443,7307,64.17186417186417,39,1.4032690921690922,USA,Academic
University of Amsterdam,1433,9053,69.92323796231682,40,1.5616629448709005,NETHERLANDS,Academic
University of Massachusetts System,1421,6341,54.75017593244195,41,1.2928445460942999,USA,Academic System
Monash University,1379,6317,64.53952139231328,42,1.3208807831762146,AUSTRALIA,Academic
London School Economics & Political Science,1370,8433,60.8029197080292,43,1.6626307299270076,ENGLAND,Academic
Russian Academy of Sciences,1362,2107,41.70337738619677,44,0.580001174743025,RUSSIA,National Academy
University of Colorado System,1352,6001,57.02662721893491,45,1.2492503698224853,USA,Academic System
University of Wisconsin Madison,1337,6898,61.854899027673895,46,1.4338472700074796,USA,Academic
University of Sydney,1334,5923,62.518740629685155,47,2.144382233883059,AUSTRALIA,Academic
University of Edinburgh,1326,5494,54.52488687782805,48,1.2239511312217197,SCOTLAND,Academic
University of Manchester,1323,6544,60.770975056689345,49,1.530573015873016,ENGLAND,Academic
University of Chicago,1322,7357,59.53101361573374,50,1.5211460665658094,USA,Academic
Yale University,1291,7050,58.55925639039504,51,1.6208243996901628,USA,Academic
Duke University,1290,7489,55.19379844961241,52,1.6343819379844962,USA,Academic
Australian National University,1286,5406,60.342146189735615,53,1.2954498444790046,AUSTRALIA,Academic
Stanford University,1261,7921,60.34892942109437,54,1.8605735923869946,USA,Academic
Rutgers State University New Brunswick,1239,5106,59.48345439870864,55,1.1757544794188863,USA,Academic
Max Planck Society,1234,7231,61.3452188006483,56,1.97126904376013,GERMANY (FED REP GER),Nonprofit
University of Southern California,1185,7340,67.00421940928271,57,1.7890991561181435,USA,Academic
Utah System of Higher Education,1173,4795,64.10912190963342,58,1.16362600170503,USA,Academic System
Johns Hopkins University,1170,6154,64.95726495726495,59,1.3609507692307692,USA,Academic
University of British Columbia,1153,4968,60.450997398091936,60,1.1443243712055509,CANADA,Academic
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),1144,1989,48.07692307692308,61,0.5919666083916084,ARGENTINA,Government
Northwestern University,1136,6122,55.28169014084507,62,1.5013125000000003,USA,Academic
University of Witwatersrand,1117,4942,60.787824529991056,63,1.7333870188003582,SOUTH AFRICA,Academic
University of Copenhagen,1102,4933,61.16152450090744,64,1.3644898366606173,DENMARK,Academic
University of Illinois Urbana-Champaign,1099,4928,59.96360327570519,65,1.2869974522292993,USA,Academic
University of Queensland,1092,7479,72.25274725274726,66,1.700577197802198,AUSTRALIA,Academic
Michigan State University,1083,6030,70.72945521698985,67,1.4297297322253002,USA,Academic
Indiana University Bloomington,1079,5182,56.441149212233555,68,1.4707575532900834,USA,Academic
University of Oslo,1050,4461,63.8095238095238,69,1.3310966666666668,NORWAY,Academic
University of Maryland College Park,1048,5534,61.35496183206107,70,1.3706239503816795,USA,Academic
University of New South Wales Sydney,1040,4728,69.03846153846153,71,1.26906125,AUSTRALIA,Academic
Boston University,1036,5253,57.14285714285714,72,1.3864701737451737,USA,Academic
University of Missouri System,1017,4663,63.32350049164208,73,1.1485579154375614,USA,Academic System
Utrecht University,991,5689,63.47124117053481,74,1.4929514631685168,NETHERLANDS,Academic
University of Georgia,983,4027,63.275686673448625,75,1.3968183112919634,USA,Academic
King's College London,981,4765,58.81753312945973,76,1.423013251783894,ENGLAND,Academic
Cornell University,961,5654,61.914672216441204,77,1.5140658688865765,USA,Academic
George Washington University,950,3502,46.94736842105263,78,1.4287921052631578,USA,Academic
Washington University (WUSTL),943,4366,60.021208907741254,79,1.2755925768822907,USA,Academic
Stockholm University,937,4538,69.90394877267876,80,1.3332167556029884,SWEDEN,Academic
McGill University,936,4173,64.63675213675214,81,1.3389044871794873,CANADA,Academic
Durham University,934,4186,52.67665952890792,82,1.569874518201285,ENGLAND,Academic
University of California Irvine,918,4533,61.43790849673203,83,1.2781331154684095,USA,Academic
Texas A&M University System,912,3237,58.66228070175439,84,1.163678947368421,USA,Academic System
York University - Canada,904,3181,51.43805309734514,85,0.9715098451327434,CANADA,Academic
PSL Research University Paris (ComUE),896,2931,47.99107142857143,86,1.0741314732142857,FRANCE,Academic
University of Helsinki,890,3226,57.97752808988764,87,1.1106978651685393,FINLAND,Academic
University of Warwick,887,3394,50.732807215332585,88,1.1217711386696732,ENGLAND,Academic
University of Sheffield,887,4618,60.99210822998873,88,1.532342277339346,ENGLAND,Academic
University of Arizona,886,4160,61.8510158013544,90,1.3875110609480814,USA,Academic
University of Pittsburgh,886,3982,57.11060948081265,90,1.3215944695259594,USA,Academic
University of York - UK,881,3973,62.6560726447219,92,1.474394324631101,ENGLAND,Academic
University of Bristol,873,4039,61.39747995418099,93,1.6651297823596793,ENGLAND,Academic
University of Colorado Boulder,859,3577,51.68800931315482,94,1.2551732246798604,USA,Academic
University of Illinois Chicago,859,4478,62.04889406286379,94,1.3409833527357393,USA,Academic
University of Illinois Chicago Hospital,857,4478,62.19369894982497,96,1.3441128354725789,USA,Health
University of Connecticut,836,4009,64.47368421052632,97,1.316681937799043,USA,Academic
HSE University (National Research University Higher School of Economics),833,2048,53.06122448979592,98,0.7163135654261705,RUSSIA,Academic
Cardiff University,833,4070,59.06362545018007,98,1.4049771908763506,WALES,Academic
Brown University,829,3617,56.694813027744274,100,1.1531006031363087,USA,Academic
