Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of London,3446,8248,46.60475914103308,1,1.0002531340684853,ENGLAND,Academic System
University of California System,2047,9190,64.87542745481191,2,1.9658111871030777,USA,Academic System
State University System of Florida,1693,9396,67.33608978145304,3,1.7808256940342588,USA,Academic System
University of Oxford,1618,3993,44.6229913473424,4,1.052358220024722,ENGLAND,Academic
University of Cambridge,1362,5446,51.3215859030837,5,1.2668678414096917,ENGLAND,Academic
Harvard University,1203,5046,60.51537822111388,6,1.7265253532834581,USA,Academic
University of Melbourne,1124,2854,54.7153024911032,7,1.006385053380783,AUSTRALIA,Academic
University of New South Wales Sydney,1067,2812,54.35801312089972,8,1.0681710402999065,AUSTRALIA,Academic
University of Texas System,968,5841,71.38429752066115,9,1.8965653925619836,USA,Academic System
Columbia University,907,3387,52.480705622932746,10,1.4242082690187432,USA,Academic
Monash University,898,2426,55.233853006681514,11,1.1477386414253898,AUSTRALIA,Academic
New York University,886,2883,53.6117381489842,12,1.4438946952595937,USA,Academic
Pennsylvania Commonwealth System of Higher Education (PCSHE),872,4108,66.97247706422019,13,1.479906880733945,USA,Academic System
Yale University,866,4035,62.70207852193995,14,1.729685103926097,USA,Academic
Griffith University,784,2728,59.056122448979586,15,1.1060571428571428,AUSTRALIA,Academic
University College London,779,2575,52.63157894736842,16,1.346672785622593,ENGLAND,Academic
University of Toronto,744,2410,60.215053763440864,17,1.1226458333333333,CANADA,Academic
University System of Georgia,738,3174,64.49864498644986,18,1.3711138211382115,USA,Academic System
University of North Carolina,704,2667,67.04545454545455,19,1.2651480113636364,USA,Academic System
City University of New York (CUNY) System,702,3357,65.66951566951566,20,1.4685663817663819,USA,Academic System
London School Economics & Political Science,691,1877,51.230101302460206,21,1.0693024602026049,ENGLAND,Academic
Australian National University,684,1451,48.68421052631579,22,0.8819021929824563,AUSTRALIA,Academic
Leiden University,679,1557,49.779086892488955,23,0.8179134020618557,NETHERLANDS,Academic
King's College London,674,1644,49.554896142433236,24,1.0372827893175074,ENGLAND,Academic
University of California Berkeley,655,2304,61.221374045801525,25,1.349486106870229,USA,Academic
University of Sydney,643,1363,52.255054432348366,26,0.7909875583203733,AUSTRALIA,Academic
University of Amsterdam,640,2779,58.4375,27,1.3375240625,NETHERLANDS,Academic
Queen Mary University London,622,969,39.067524115755624,28,0.6648036977491961,ENGLAND,Academic
University of Pennsylvania,620,2817,66.45161290322581,29,2.0106998387096775,USA,Academic
Stanford University,610,2112,59.01639344262295,30,1.3999024590163935,USA,Academic
State University of New York (SUNY) System,610,3250,68.85245901639344,30,1.6573455737704919,USA,Academic System
University of Edinburgh,609,1358,43.51395730706076,32,0.9025709359605911,SCOTLAND,Academic
University System of Maryland,592,3429,64.52702702702703,33,1.7824844594594595,USA,Academic System
Vrije Universiteit Amsterdam,587,2748,63.202725724020446,34,1.3914928449744464,NETHERLANDS,Academic
University of Valencia,578,476,14.705882352941178,35,0.27134584775086507,SPAIN,Academic
Queensland University of Technology (QUT),569,1865,61.86291739894551,36,1.1704274165202109,AUSTRALIA,Academic
University of Chicago,565,3124,65.30973451327434,37,2.2296699115044247,USA,Academic
Utrecht University,561,1894,54.72370766488414,38,1.1346495543672015,NETHERLANDS,Academic
University of Queensland,557,1609,56.552962298025136,39,0.8979263913824058,AUSTRALIA,Academic
Arizona State University,549,4497,71.76684881602914,40,2.5349018214936248,USA,Academic System
University of Michigan System,543,1787,61.51012891344383,41,1.755903867403315,USA,Academic System
University of Michigan,541,1786,61.552680221811464,42,1.7610539741219964,USA,Academic
Michigan State University,535,2531,67.66355140186916,43,1.5653678504672899,USA,Academic
University of Ottawa,532,1305,49.24812030075188,44,0.7773678571428572,CANADA,Academic
California State University System,527,1697,59.01328273244781,45,1.0955020872865275,USA,Academic System
Georgetown University,518,2177,61.003861003861005,46,2.160665250965251,USA,Academic
University of Nottingham,518,1531,52.702702702702695,46,0.8778631274131274,ENGLAND,Academic
Tilburg University,512,1668,58.59375,48,1.120281640625,NETHERLANDS,Academic
Texas State University System,508,2959,77.75590551181102,49,1.8190096456692915,USA,Academic System
Maastricht University,504,979,49.2063492063492,50,0.6963198412698413,NETHERLANDS,Academic
McGill University,499,1160,50.901803607214426,51,0.8677340681362725,CANADA,Academic
University of Cincinnati,495,3071,70.3030303030303,52,1.8249321212121212,USA,Academic
University of Hong Kong,495,1040,42.22222222222222,52,0.8608503030303031,HONG KONG,Academic
KU Leuven,483,1045,46.58385093167702,54,0.7318875776397517,BELGIUM,Academic
University of Liverpool,482,1393,54.77178423236515,55,1.1645116182572615,ENGLAND,Academic
European University Institute,481,976,48.232848232848234,56,0.9938343035343036,ITALY,Academic
Indiana University System,472,1614,57.6271186440678,57,1.2197561440677966,USA,Academic System
National University of Singapore,471,843,47.13375796178344,58,1.144932059447983,SINGAPORE,Academic
Erasmus University Rotterdam,468,830,45.085470085470085,59,0.6448209401709402,NETHERLANDS,Academic
George Mason University,462,2421,65.5844155844156,60,1.7210432900432902,USA,Academic
University of Oslo,462,1582,56.926406926406926,60,1.2308036796536796,NORWAY,Academic
University of Manchester,458,1306,52.40174672489083,62,1.1022019650655022,ENGLAND,Academic
University of California Los Angeles,453,2500,66.66666666666666,63,2.3793359823399562,USA,Academic
Florida State University,447,2900,69.35123042505593,64,1.932707606263982,USA,Academic
Hebrew University of Jerusalem,435,1865,55.40229885057472,65,1.295361379310345,ISRAEL,Academic
Pennsylvania State University,433,2071,72.2863741339492,66,1.5625660508083141,USA,Academic
Max Planck Society,431,719,40.37122969837587,67,0.7327058004640371,GERMANY (FED REP GER),Nonprofit
Duke University,422,1784,65.87677725118483,68,1.469281990521327,USA,Academic
Simon Fraser University,419,2285,71.36038186157518,69,1.6524116945107399,CANADA,Academic
University of Bristol,418,1001,45.933014354066984,70,1.786178947368421,ENGLAND,Academic
University of Virginia,417,1507,64.5083932853717,71,1.3607199040767386,USA,Academic
University of Montreal,415,1367,57.34939759036145,72,0.9223855421686747,CANADA,Academic
University of Minnesota System,413,1634,68.52300242130751,73,1.4799595641646488,USA,Academic System
University of Helsinki,412,846,49.271844660194176,74,1.1034492718446605,FINLAND,Academic
University of Leeds,409,1168,51.34474327628362,75,1.173080684596577,ENGLAND,Academic
Cardiff University,408,1116,50.0,76,1.189793137254902,WALES,Academic
University of California Irvine,406,2670,78.07881773399015,77,2.830230541871921,USA,Academic
Northwestern University,406,1613,63.793103448275865,77,1.7377334975369458,USA,Academic
University of Illinois System,401,1643,61.09725685785536,79,1.1331865336658353,USA,Academic System
University of Minnesota Twin Cities,400,1559,67.5,80,1.47317825,USA,Academic
