Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of London,6088,23728,48.66951379763469,1,1.3336638961892249,ENGLAND,Academic System
University of California System,3197,15954,55.39568345323741,2,1.5747606193306227,USA,Academic System
University of Oxford,2204,10034,51.67876588021778,3,1.4287326678765881,ENGLAND,Academic
Harvard University,1804,9271,50.44345898004434,4,1.6583553769401331,USA,Academic
King's College London,1712,4974,44.1588785046729,5,0.9645811331775701,ENGLAND,Academic
London School Economics & Political Science,1685,8516,51.86943620178042,6,1.4246887240356083,ENGLAND,Academic
Australian National University,1418,4303,50.77574047954866,7,0.8519819464033851,AUSTRALIA,Academic
State University System of Florida,1393,4585,54.12778176597271,8,1.0854290021536253,USA,Academic System
Russian Academy of Sciences,1146,1047,37.78359511343805,9,0.31060558464223387,RUSSIA,National Academy
University of Cambridge,1123,3698,46.66073018699911,10,1.1040419412288514,ENGLAND,Academic
Pennsylvania Commonwealth System of Higher Education (PCSHE),1109,5028,55.09467989179441,11,1.3162030658250676,USA,Academic System
Columbia University,1096,3891,49.81751824817518,12,1.1686100364963505,USA,Academic
University of Amsterdam,1068,7727,70.50561797752809,13,2.170626310861423,NETHERLANDS,Academic
State University of New York (SUNY) System,1068,3637,54.8689138576779,13,1.1218351123595507,USA,Academic System
University of Texas System,1060,4437,53.58490566037736,15,1.3595778301886794,USA,Academic System
University of North Carolina,1053,4719,56.69515669515669,16,1.263336752136752,USA,Academic System
University System of Georgia,1030,4994,57.28155339805825,17,1.274634854368932,USA,Academic System
Stanford University,970,7988,57.01030927835051,18,2.16806175257732,USA,Academic
Leiden University,951,4243,58.67507886435332,19,1.5454814931650895,NETHERLANDS,Academic
University College London,920,4821,58.913043478260875,20,1.8205035869565218,ENGLAND,Academic
University of Toronto,919,3133,51.5778019586507,21,1.2943520130576716,CANADA,Academic
European University Institute,905,4621,55.469613259668506,22,2.0012861878453037,ITALY,Academic
Princeton University,902,5433,51.66297117516629,23,1.9001025498891355,USA,Academic
Georgetown University,901,3033,46.281908990011104,24,1.1265447280799112,USA,Academic
University of Manchester,868,3983,55.875576036866356,25,1.3576714285714286,ENGLAND,Academic
University of Oslo,861,4350,59.69802555168408,26,1.5273954703832753,NORWAY,Academic
New York University,857,4783,52.742123687281214,27,1.5376073512252044,USA,Academic
University of California Berkeley,844,4226,53.55450236966824,28,1.7622586492890997,USA,Academic
University of Edinburgh,833,3951,54.38175270108043,29,1.4599931572629052,SCOTLAND,Academic
George Washington University,826,4036,50.24213075060533,30,1.4520476997578693,USA,Academic
University of Wisconsin System,824,3428,53.7621359223301,31,1.105341868932039,USA,Academic System
University of Warwick,811,3717,52.651048088779284,32,1.4268314426633786,ENGLAND,Academic
HSE University (National Research University Higher School of Economics),797,2192,56.46173149309912,33,0.7669119196988707,RUSSIA,Academic
Aarhus University,774,5084,71.31782945736434,34,1.8526759689922483,DENMARK,Academic
City University of New York (CUNY) System,764,1705,43.455497382198956,35,1.2455751308900525,USA,Academic System
Centre National de la Recherche Scientifique (CNRS),751,2306,50.99866844207723,36,0.9469924101198403,FRANCE,Research Council
Utrecht University,741,5102,64.37246963562752,37,1.932991632928475,NETHERLANDS,Academic
University System of Maryland,739,2937,51.15020297699594,38,1.2059420838971584,USA,Academic System
University of Sydney,736,2489,48.641304347826086,39,1.160339402173913,AUSTRALIA,Academic
National University of Singapore,736,2540,48.641304347826086,39,1.261109918478261,SINGAPORE,Academic
University of Birmingham,735,2958,53.333333333333336,41,1.4829137414965987,ENGLAND,Academic
American University,730,2795,50.821917808219176,42,1.2221393150684932,USA,Academic
University of Michigan System,726,3923,61.15702479338842,43,1.8633520661157024,USA,Academic System
University of Exeter,717,3866,52.58019525801952,44,1.483152580195258,ENGLAND,Academic
University of Gothenburg,714,4704,65.82633053221288,45,1.8761060224089636,SWEDEN,Academic
University of Michigan,713,3844,61.150070126227206,46,1.85097713884993,USA,Academic
California State University System,707,1638,42.00848656294201,47,0.7141253182461104,USA,Academic System
University of Sheffield,704,3551,64.20454545454545,48,1.539690625,ENGLAND,Academic
Johns Hopkins University,703,2193,47.08392603129445,49,1.282328022759602,USA,Academic
Indiana University System,701,3334,58.059914407988586,50,1.716950784593438,USA,Academic System
KU Leuven,700,2727,59.857142857142854,51,1.5075494285714286,BELGIUM,Academic
University of Copenhagen,689,3748,65.31204644412192,52,1.6278428156748914,DENMARK,Academic
University of Melbourne,685,3198,60.43795620437956,53,1.453898686131387,AUSTRALIA,Academic
Yale University,683,4026,57.68667642752562,54,1.981805270863836,USA,Academic
University of New South Wales Sydney,671,2143,49.6274217585693,55,1.0467032786885246,AUSTRALIA,Academic
University of Leeds,662,2061,49.39577039274924,56,1.1510567975830817,ENGLAND,Academic
University of Ottawa,651,2031,49.30875576036866,57,1.1258018433179724,CANADA,Academic
United States Department of Defense,642,1139,38.47352024922118,58,0.6993323987538941,USA,Government
University of Pennsylvania,633,4026,52.76461295418642,59,2.09057551342812,USA,Academic
University of Massachusetts System,620,2300,47.25806451612903,60,1.1623312903225806,USA,Academic System
University of Nottingham,614,1955,48.534201954397396,61,1.0258239413680783,ENGLAND,Academic
George Mason University,594,1700,43.77104377104377,62,0.8871491582491584,USA,Academic
University of Helsinki,581,1781,53.700516351118765,63,0.9244967297762479,FINLAND,Academic
Uppsala University,580,3359,64.82758620689654,64,1.8716553448275866,SWEDEN,Academic
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),580,475,31.03448275862069,64,0.26525,ARGENTINA,Government
Erasmus University Rotterdam,575,4009,66.43478260869566,66,1.8327775652173912,NETHERLANDS,Academic
Duke University,570,3367,56.315789473684205,67,1.8824980701754388,USA,Academic
University of Kent,568,2714,48.767605633802816,68,2.4269110915492957,ENGLAND,Academic
Texas A&M University System,567,3145,68.07760141093475,69,1.6619901234567902,USA,Academic System
University of California Los Angeles,563,2393,52.39786856127886,70,1.6523801065719361,USA,Academic
Carleton University,562,1434,44.30604982206406,71,0.8753699288256228,CANADA,Academic
Indiana University Bloomington,562,2795,56.405693950177934,71,1.7185834519572956,USA,Academic
University of Glasgow,560,2137,49.642857142857146,73,1.4659410714285714,SCOTLAND,Academic
Queen Mary University London,558,1830,48.2078853046595,74,1.1106639784946237,ENGLAND,Academic
Free University of Berlin,557,2552,58.34829443447038,75,1.3996023339317776,GERMANY (FED REP GER),Academic
