Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of London,6587,46162,61.059662972521636,1,1.5067805829664491,ENGLAND,Academic System
University of California System,4779,44278,66.4364929901653,2,1.6731,USA,Academic System
University of Oxford,2739,22557,62.94267981014969,3,1.689047389558233,ENGLAND,Academic
State University System of Florida,2636,22771,71.4339908952959,4,1.4815396433990897,USA,Academic System
Chinese Academy of Sciences,2420,29689,86.2396694214876,5,1.911681694214876,CHINA MAINLAND,Research Institute
University College London,2311,18846,67.71960190393769,6,1.8065864993509306,ENGLAND,Academic
Centre National de la Recherche Scientifique (CNRS),2258,19427,61.33746678476528,7,1.4125794951284325,FRANCE,Research Council
University of North Carolina,2048,13396,67.626953125,8,1.2154791015625002,USA,Academic System
National University of Singapore,1922,13848,62.79916753381893,9,1.480559677419355,SINGAPORE,Academic
University of Cambridge,1832,14158,64.2467248908297,10,1.5737075327510917,ENGLAND,Academic
University of Melbourne,1751,14406,72.81553398058253,11,1.62751798972016,AUSTRALIA,Academic
Wageningen University & Research,1714,24433,85.06417736289382,12,2.1963243873978997,NETHERLANDS,Academic
Russian Academy of Sciences,1706,2753,39.390386869871044,13,0.3990468933177022,RUSSIA,National Academy
University System of Georgia,1661,11824,68.45273931366647,14,1.3239398555087296,USA,Academic System
Australian National University,1620,12440,62.28395061728394,15,1.251306851851852,AUSTRALIA,Academic
Delft University of Technology,1611,16757,82.80571073867164,16,1.8465657355679703,NETHERLANDS,Academic
University of British Columbia,1582,16765,71.30214917825538,17,2.0722834386852087,CANADA,Academic
University of Texas System,1570,11119,60.63694267515923,18,1.3238284076433122,USA,Academic System
University of Wisconsin System,1557,10964,65.18946692357098,19,1.2452174052665381,USA,Academic System
University of California Berkeley,1520,13624,64.53947368421052,20,1.6910343421052634,USA,Academic
Pennsylvania Commonwealth System of Higher Education (PCSHE),1511,12437,64.72534745201854,21,1.3307283917935142,USA,Academic System
University of Manchester,1496,13236,69.38502673796792,22,1.788272593582888,ENGLAND,Academic
University of Toronto,1494,9836,66.46586345381526,23,1.4014284471218208,CANADA,Academic
