Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of California System,1664,10653,64.36298076923077,1,1.6208451923076923,USA,Academic System
University of London,1481,10412,61.98514517218096,2,2.362954895340986,ENGLAND,Academic System
University of North Carolina,1426,6707,56.311360448807854,3,0.9704334502103787,USA,Academic System
State University System of Florida,1424,7692,63.83426966292135,4,1.1032349719101124,USA,Academic System
Pennsylvania Commonwealth System of Higher Education (PCSHE),1410,8428,63.68794326241135,5,1.4146834042553191,USA,Academic System
California State University System,1381,5938,48.15351194786386,6,1.1111031860970313,USA,Academic System
University of Texas System,1348,8896,69.06528189910979,7,1.389695994065282,USA,Academic System
University System of Georgia,1188,8760,59.51178451178451,8,1.3976961279461282,USA,Academic System
University of Illinois System,1097,5153,53.23609845031905,9,1.1057018231540565,USA,Academic System
University of Wisconsin System,1017,6550,62.14355948869223,10,1.4380982300884957,USA,Academic System
State University of New York (SUNY) System,926,4365,55.399568034557234,11,1.2002322894168467,USA,Academic System
Indiana University System,886,5987,68.2844243792325,12,1.4001399548532734,USA,Academic System
University of Michigan System,866,5940,51.61662817551963,13,1.4946009237875288,USA,Academic System
University of Amsterdam,861,8779,78.28106852497096,14,2.6019783972125436,NETHERLANDS,Academic
University of Michigan,856,5804,51.518691588785046,15,1.4915782710280374,USA,Academic
Pennsylvania State University,832,4020,60.456730769230774,16,1.1321734375,USA,Academic
University of Texas Austin,818,5259,72.00488997555013,17,1.485889119804401,USA,Academic
University System of Maryland,771,5482,62.64591439688716,18,1.3091778210116731,USA,Academic System
Complutense University of Madrid,764,1503,44.109947643979055,19,0.5740352094240838,SPAIN,Academic
University of Illinois Urbana-Champaign,719,2963,55.07649513212796,20,1.016228511821975,USA,Academic
Indiana University Bloomington,695,4872,68.92086330935253,21,1.536439712230216,USA,Academic
Utah System of Higher Education,625,4196,71.2,22,1.5750713600000001,USA,Academic System
Pennsylvania State University - University Park,616,3293,62.01298701298701,23,1.2782753246753247,USA,Academic
University of Pennsylvania,598,4003,63.54515050167224,24,1.6986640468227425,USA,Academic
University of Wisconsin Madison,593,4354,65.09274873524453,25,1.7445397976391233,USA,Academic
University of Minnesota System,593,3679,67.45362563237775,25,1.5997532883642498,USA,Academic System
University of Washington,587,3681,59.96592844974447,27,1.335136797274276,USA,Academic System
Michigan State University,582,4211,74.22680412371135,28,1.7199470790378009,USA,Academic
Rutgers State University New Brunswick,577,2665,58.4055459272097,29,1.2996006932409012,USA,Academic
Harvard University,567,4295,67.01940035273368,30,1.463595414462081,USA,Academic
University of Minnesota Twin Cities,551,3515,66.96914700544465,31,1.6606858439201453,USA,Academic
University of Colorado System,548,2676,65.14598540145985,32,1.2939131386861316,USA,Academic System
Arizona State University,534,3155,66.10486891385767,33,1.3425870786516854,USA,Academic System
Nanyang Technological University,529,4696,75.99243856332704,34,1.7931134215500946,SINGAPORE,Academic
Nanyang Technological University & National Institute of Education (NIE) Singapore,529,4696,75.99243856332704,34,1.7931134215500946,SINGAPORE,Academic
University of Oxford,523,4368,65.39196940726578,36,2.0481302103250476,ENGLAND,Academic
University of Maryland College Park,522,4178,68.96551724137932,37,1.4039572796934867,USA,Academic
University of Washington Seattle,521,3448,61.99616122840691,38,1.3361009596928983,USA,Academic
University of North Carolina Chapel Hill,514,2783,58.5603112840467,39,1.1185029182879378,USA,Academic
Wuhan University,510,3849,74.70588235294117,40,1.5338786274509804,CHINA MAINLAND,Academic
University of Alabama System,503,2917,72.16699801192843,41,1.272696421471173,USA,Academic System
University of Missouri System,495,3161,69.4949494949495,42,1.2983933333333333,USA,Academic System
University of Southern California,485,3880,63.71134020618556,43,1.8598247422680414,USA,Academic
University of Georgia,485,3718,61.649484536082475,43,1.5098750515463917,USA,Academic
Ohio State University,484,3580,72.31404958677686,45,1.8478177685950414,USA,Academic
Texas A&M University System,475,2044,60.421052631578945,46,1.462772210526316,USA,Academic System
University of Melbourne,473,2726,57.505285412262154,47,1.5167623678646935,AUSTRALIA,Academic
University of Toronto,456,2356,69.73684210526315,48,1.3914541666666667,CANADA,Academic
City University of New York (CUNY) System,452,1495,46.68141592920354,49,1.0162393805309735,USA,Academic System
University of Arizona,443,2568,67.49435665914221,50,1.0942363431151243,USA,Academic
Chinese Academy of Sciences,433,3787,74.13394919168591,51,2.064033949191686,CHINA MAINLAND,Research Institute
KU Leuven,429,3023,81.35198135198135,52,2.026378554778555,BELGIUM,Academic
Arizona State University-Tempe,420,2487,65.71428571428571,53,1.3527559523809525,USA,Academic
University of Sydney,419,2367,67.78042959427208,54,1.4124816229116945,AUSTRALIA,Academic
University of Tennessee System,417,2363,60.19184652278178,55,1.0883297362110311,USA,Academic System
University of Colorado Boulder,406,1832,62.5615763546798,56,1.3582120689655175,USA,Academic
Queensland University of Technology (QUT),406,2847,71.42857142857143,56,1.5669795566502465,AUSTRALIA,Academic
Monash University,403,1895,66.25310173697271,58,1.285628535980149,AUSTRALIA,Academic
University of Missouri Columbia,401,2723,72.31920199501248,59,1.314142144638404,USA,Academic
University of Utah,400,3208,77.0,60,1.83276175,USA,Academic
Purdue University System,399,2167,63.90977443609023,61,1.0941406015037596,USA,Academic System
University of Florida,396,2425,70.45454545454545,62,1.2046926767676769,USA,Academic
University of Vienna,395,3989,76.9620253164557,63,2.5703632911392407,AUSTRIA,Academic
Texas Tech University System,387,1739,63.04909560723514,64,0.9487472868217055,USA,Academic System
Purdue University,382,2059,63.089005235602095,65,1.097358115183246,USA,Academic
University of Kentucky,382,2267,74.60732984293193,65,1.0808298429319372,USA,Academic
University of Massachusetts System,381,2146,69.02887139107612,67,1.9731013123359582,USA,Academic System
University of Alabama Tuscaloosa,379,2196,75.98944591029023,68,1.3202398416886543,USA,Academic
Royal Melbourne Institute of Technology (RMIT),377,1427,64.45623342175067,69,0.9960098143236075,AUSTRALIA,Academic
Cornell University,374,2682,63.63636363636363,70,1.5864489304812834,USA,Academic
Texas Tech University,372,1727,64.78494623655914,71,0.9786986559139786,USA,Academic
University College London,370,1853,62.70270270270271,72,1.228257837837838,ENGLAND,Academic
University of Illinois Chicago,365,2007,47.397260273972606,73,1.2438756164383562,USA,Academic
National University of Singapore,365,2691,76.43835616438356,73,1.7950232876712329,SINGAPORE,Academic
University of New South Wales Sydney,364,3090,73.9010989010989,75,1.875243956043956,AUSTRALIA,Academic
Northwestern University,361,2998,70.6371191135734,76,1.8187905817174514,USA,Academic
University of California Santa Barbara,360,2668,77.22222222222223,77,1.7370911111111111,USA,Academic
Purdue University West Lafayette Campus,358,1986,62.849162011173185,78,1.111636312849162,USA,Academic
City University of Hong Kong,357,3696,80.3921568627451,79,1.836732492997199,HONG KONG,Academic
University of Zurich,352,3868,79.54545454545455,80,2.8478852272727275,SWITZERLAND,Academic
University of Technology Sydney,351,1549,54.700854700854705,81,1.064711396011396,AUSTRALIA,Academic
Universidad Carlos III de Madrid,347,1148,56.77233429394812,82,0.7125155619596543,SPAIN,Academic
University of Munich,344,3470,75.0,83,2.3781537790697675,GERMANY (FED REP GER),Academic
University of Queensland,339,1927,65.19174041297934,84,1.40483598820059,AUSTRALIA,Academic
Universidad Rey Juan Carlos,339,1072,58.99705014749262,84,0.7159200589970501,SPAIN,Academic
University of British Columbia,338,2374,60.650887573964496,86,1.7094689349112429,CANADA,Academic
Russian Academy of Sciences,336,483,43.75,87,1.394382738095238,RUSSIA,National Academy
University of California Los Angeles,335,1310,54.02985074626866,88,0.9351352238805971,USA,Academic
University of Copenhagen,335,3740,71.64179104477611,88,2.4474241791044777,DENMARK,Academic
University of Illinois Chicago Hospital,333,1976,51.35135135135135,90,1.3555936936936939,USA,Health
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),330,300,26.969696969696972,91,0.23942363636363637,ARGENTINA,Government
Columbia University,329,1728,61.702127659574465,92,0.9815993920972645,USA,Academic
London School Economics & Political Science,329,3530,66.26139817629179,92,4.083720364741642,ENGLAND,Academic
University of Sheffield,329,2496,70.82066869300911,92,1.6438644376899696,ENGLAND,Academic
University of South Africa,328,913,61.28048780487805,95,0.6909527439024391,SOUTH AFRICA,Academic
Universidade Estadual Paulista,327,406,31.19266055045872,96,0.1862798165137615,BRAZIL,Academic
Temple University,323,2593,68.73065015479877,97,2.0195736842105263,USA,Academic
University of Antwerp,323,2449,77.70897832817337,97,1.4341433436532507,BELGIUM,Academic
Leiden University,322,3166,66.77018633540372,99,1.9216413043478262,NETHERLANDS,Academic
New York University,321,3032,67.601246105919,100,2.0866551401869162,USA,Academic
Texas A&M University College Station,316,1457,66.45569620253164,101,1.0941721518987342,USA,Academic
University of Leeds,315,1255,58.0952380952381,102,1.1006555555555555,ENGLAND,Academic
University of Tennessee Knoxville,315,2136,72.06349206349206,102,1.3280396825396827,USA,Academic
University of Iowa,314,1650,67.19745222929936,104,1.512753821656051,USA,Academic
Ghent University,314,2040,67.51592356687898,104,1.3781726114649682,BELGIUM,Academic
Georgia State University,313,2373,58.46645367412141,106,1.3710054313099043,USA,Academic
Stanford University,313,3714,68.05111821086261,106,2.0556875399361023,USA,Academic
McGill University,313,2090,66.13418530351439,106,1.5595776357827476,CANADA,Academic
Pompeu Fabra University,313,1131,69.6485623003195,106,1.352653354632588,SPAIN,Academic
University of Oslo,312,1981,74.03846153846155,110,1.9276516025641028,NORWAY,Academic
University of Granada,304,2543,70.06578947368422,111,1.7806026315789476,SPAIN,Academic
University of Montreal,303,3396,69.3069306930693,112,1.6978864686468647,CANADA,Academic
University of Sevilla,297,1000,48.484848484848484,113,0.7676777777777778,SPAIN,Academic
University of South Florida,295,1606,70.16949152542374,114,1.2553233898305085,USA,Academic
Tampere University,293,3098,79.18088737201366,115,2.0833863481228674,FINLAND,Academic
Louisiana State University System,292,1606,61.64383561643836,116,1.033353082191781,USA,Academic System
Cardiff University,290,1247,61.724137931034484,117,1.8951093103448278,WALES,Academic
Aarhus University,289,1381,61.5916955017301,118,1.2364840830449828,DENMARK,Academic
University of Hong Kong,289,2245,73.70242214532871,118,1.7143778546712805,HONG KONG,Academic
Nevada System of Higher Education (NSHE),288,1219,55.208333333333336,120,0.9521843750000001,USA,Academic System
University of Helsinki,286,1834,70.97902097902097,121,2.7184527972027976,FINLAND,Academic
Chinese University of Hong Kong,279,1947,74.19354838709677,122,1.4134064516129035,HONG KONG,Academic
University of SS Cyril & Methodius Trnava,275,241,23.636363636363637,123,0.3822978181818181,SLOVAKIA,Academic
Universidade Federal de Minas Gerais,269,387,39.405204460966544,124,0.3129620817843866,BRAZIL,Academic
University of Valencia,269,1142,62.825278810408925,124,0.941703717472119,SPAIN,Academic
North Carolina State University,268,928,56.343283582089555,126,0.8304750000000001,USA,Academic
Washington State University,268,1621,60.820895522388064,126,1.123141791044776,USA,Academic
University of Oklahoma System,267,1448,72.65917602996255,128,1.06634531835206,USA,Academic System
George Washington University,266,2079,54.88721804511278,129,1.776027067669173,USA,Academic
Kent State University,264,1299,64.77272727272727,130,1.0343973484848483,USA,Academic
Drexel University,264,1776,66.66666666666666,130,0.9601488636363638,USA,Academic
Universidade de Sao Paulo,264,926,43.93939393939394,130,0.8634246212121213,BRAZIL,Academic
Syracuse University,263,1794,67.68060836501901,133,1.4450661596958176,USA,Academic
University of Pittsburgh,263,1833,67.30038022813687,133,1.5539920152091256,USA,Academic
University of Westminster,263,836,48.669201520912544,133,1.993181368821293,ENGLAND,Academic
University of North Texas System,263,1206,58.55513307984791,133,0.9181178707224334,USA,Academic System
University of Oregon,262,1938,69.08396946564885,137,2.3111114503816794,USA,Academic
University of North Texas Denton,262,1204,58.396946564885496,137,0.9207202290076336,USA,Academic
University of Wisconsin Milwaukee,262,1716,64.50381679389314,137,1.2985343511450382,USA,Academic
University of Houston,260,1031,60.0,140,1.0995169230769233,USA,Academic
Autonomous University of Barcelona,260,975,56.15384615384615,140,0.8810226923076924,SPAIN,Academic
University of Houston System,260,1031,60.0,140,1.0995169230769233,USA,Academic System
University of South Carolina System,257,1295,66.9260700389105,143,1.1586443579766539,USA,Academic System
Centre National de la Recherche Scientifique (CNRS),257,979,60.311284046692606,143,0.88211906614786,FRANCE,Research Council
University of Gothenburg,256,1958,71.09375,145,1.778708203125,SWEDEN,Academic
University of Oklahoma - Norman,255,1398,72.54901960784314,146,1.0790596078431374,USA,Academic
University of South Carolina Columbia,254,1266,66.53543307086615,147,1.1483897637795277,USA,Academic
Louisiana State University,253,1515,67.58893280632411,148,1.1253525691699604,USA,Academic
University of Buenos Aires,252,185,24.206349206349206,149,0.15544603174603175,ARGENTINA,Academic
King's College London,252,2097,63.095238095238095,149,1.6977718253968255,ENGLAND,Academic
Loughborough University,250,1637,66.8,151,1.9354336,ENGLAND,Academic
University of Connecticut,249,1661,59.83935742971887,152,1.3152040160642573,USA,Academic
