Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of London,6375,9164,30.776470588235295,1,1.3614724705882353,ENGLAND,Academic System
University of California System,4133,6351,29.59109605613356,2,1.7110981853375273,USA,Academic System
Russian Academy of Sciences,3596,2313,27.308120133481644,3,0.8028010845383761,RUSSIA,National Academy
University of Oxford,3579,5781,30.064263760827046,4,1.414972059234423,ENGLAND,Academic
University of Cambridge,3361,5519,33.85897054448081,5,1.386915144302291,ENGLAND,Academic
Centre National de la Recherche Scientifique (CNRS),3303,7943,43.929760823493794,6,1.7472922191946716,FRANCE,Research Council
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),2140,2489,37.38317757009346,7,0.8714869158878505,ARGENTINA,Government
University College London,1929,4677,38.56920684292379,8,1.7268314152410575,ENGLAND,Academic
Harvard University,1524,2700,35.76115485564305,9,1.6689354986876639,USA,Academic
State University System of Florida,1522,2110,28.31800262812089,10,1.3395034165571618,USA,Academic System
University of North Carolina,1520,1401,22.5,11,0.9604459868421052,USA,Academic System
State University of New York (SUNY) System,1517,1983,23.665128543177325,12,1.1162290705339486,USA,Academic System
Pennsylvania Commonwealth System of Higher Education (PCSHE),1467,2246,30.061349693251532,13,1.7742441717791413,USA,Academic System
Complutense University of Madrid,1402,1127,22.89586305278174,14,0.6716184022824536,SPAIN,Academic
California State University System,1395,1083,22.22222222222222,15,1.1713224372759858,USA,Academic System
King's College London,1356,1369,26.991150442477874,16,1.2151815634218288,ENGLAND,Academic
PSL Research University Paris (ComUE),1299,1952,28.868360277136258,17,1.2997525789068514,FRANCE,Academic
University of Toronto,1249,1496,32.42594075260208,18,1.2415681345076062,CANADA,Academic
University of Texas System,1246,1152,23.03370786516854,19,0.936317897271268,USA,Academic System
CNRS - Institute for Humanities & Social Sciences (INSHS),1201,2379,41.04912572855953,20,1.4723568692756037,FRANCE,Research Institute
University of Edinburgh,1193,1727,34.45096395641241,21,1.77157820620285,SCOTLAND,Academic
City University of New York (CUNY) System,1176,933,21.00340136054422,22,1.1556328231292519,USA,Academic System
University of Sydney,1103,1552,32.45693563009973,23,1.324385222121487,AUSTRALIA,Academic
Leiden University,1101,1921,39.23705722070845,24,1.4327124432334242,NETHERLANDS,Academic
Durham University,1091,2082,35.747021081576534,25,1.7507312557286894,ENGLAND,Academic
University of Wisconsin System,1086,1616,27.532228360957646,26,1.425026611418048,USA,Academic System
University System of Georgia,1071,1370,24.18300653594771,27,1.0481025210084034,USA,Academic System
Australian National University,1057,2702,46.925260170293285,28,2.534280605487228,AUSTRALIA,Academic
Consejo Superior de Investigaciones Cientificas (CSIC),1053,2120,39.41120607787275,29,1.474461158594492,SPAIN,Research Council
University of York - UK,1040,2468,38.26923076923077,30,2.061803076923077,ENGLAND,Academic
University of Exeter,1018,1378,29.66601178781925,31,1.5869027504911593,ENGLAND,Academic
University of Buenos Aires,971,1158,35.736354273944386,32,0.8713363542739445,ARGENTINA,Academic
Yale University,954,1269,29.035639412997906,33,1.3168724318658283,USA,Academic
