Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of California System,3801,7187,36.06945540647198,1,1.5053919494869772,USA,Academic System
University of London,3788,7592,34.18690601900739,2,1.704736166842661,ENGLAND,Academic System
University of Oxford,2395,2442,24.091858037578287,3,1.0843780793319415,ENGLAND,Academic
Centre National de la Recherche Scientifique (CNRS),1902,3274,39.37960042060988,4,1.1405151945320715,FRANCE,Research Council
University of Cambridge,1853,2008,28.386400431732326,5,1.1287677819751756,ENGLAND,Academic
Pennsylvania Commonwealth System of Higher Education (PCSHE),1841,4645,40.79304725692558,6,1.8595204780010863,USA,Academic System
Russian Academy of Sciences,1626,544,20.04920049200492,7,0.42536752767527675,RUSSIA,National Academy
University of North Carolina,1557,1865,28.580603725112397,8,0.9417196531791908,USA,Academic System
State University System of Florida,1508,3264,34.748010610079575,9,1.2890358753315652,USA,Academic System
University of Texas System,1405,2921,40.355871886120994,10,1.5195349466192172,USA,Academic System
State University of New York (SUNY) System,1344,1759,28.497023809523807,11,0.9159658482142857,USA,Academic System
City University of New York (CUNY) System,1332,1920,30.630630630630627,12,1.1247859609609612,USA,Academic System
University System of Georgia,1304,1920,29.141104294478527,13,1.5670370398773006,USA,Academic System
University College London,1251,3907,45.08393285371702,14,2.4068118305355717,ENGLAND,Academic
University of Toronto,1229,2379,36.533767290480064,15,1.1859959316517494,CANADA,Academic
University of Wisconsin System,1219,2273,31.009023789991797,16,1.0202533223954062,USA,Academic System
Complutense University of Madrid,1121,537,15.521855486173058,17,0.5271480820695807,SPAIN,Academic
California State University System,1111,1754,33.663366336633665,18,1.0414402340234026,USA,Academic System
New York University,1100,1724,32.36363636363636,19,2.236415090909091,USA,Academic
Pennsylvania State University,1070,3159,43.27102803738318,20,2.357419345794393,USA,Academic
Harvard University,1052,2599,34.88593155893536,21,2.662844296577947,USA,Academic
University of Illinois System,966,2144,40.37267080745342,22,1.6044718426501037,USA,Academic System
University of Edinburgh,956,2242,42.88702928870293,23,2.1602139121338912,SCOTLAND,Academic
University System of Maryland,948,2390,39.55696202531646,24,2.971157700421941,USA,Academic System
Pennsylvania State University - University Park,924,2964,44.696969696969695,25,2.5587943722943725,USA,Academic
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),924,603,21.645021645021643,25,0.5122758658008658,ARGENTINA,Government
Indiana University System,905,1472,34.033149171270715,27,1.4791099447513814,USA,Academic System
Yale University,903,1376,30.121816168327797,28,1.1936503875968993,USA,Academic
Columbia University,860,1349,30.697674418604652,29,1.3386094186046513,USA,Academic
University of Sydney,844,1913,42.06161137440758,30,1.3757994075829385,AUSTRALIA,Academic
University of Texas Austin,840,1466,38.80952380952381,31,1.3146869047619048,USA,Academic
University of California Berkeley,830,1159,30.240963855421686,32,1.3707319277108434,USA,Academic
King's College London,828,971,28.26086956521739,33,1.0193307971014494,ENGLAND,Academic
Ohio State University,816,1676,38.72549019607843,34,1.4970221813725493,USA,Academic
KU Leuven,813,1674,44.895448954489545,35,1.7492318573185732,BELGIUM,Academic
University of Leeds,811,999,28.36004932182491,36,1.0277674475955612,ENGLAND,Academic
University of Michigan System,806,1646,29.776674937965257,37,1.5896929280397023,USA,Academic System
Ghent University,792,1978,46.464646464646464,38,1.5957773989898991,BELGIUM,Academic
University of California Los Angeles,790,1474,36.32911392405063,39,1.746177848101266,USA,Academic
University of Michigan,790,1628,29.49367088607595,39,1.5151616455696204,USA,Academic
Autonomous University of Barcelona,778,1041,29.691516709511568,41,1.0504796915167096,SPAIN,Academic
University of Chicago,774,1202,29.457364341085274,42,1.5957776485788115,USA,Academic
Indiana University Bloomington,773,1360,34.92884864165588,43,1.5663082794307892,USA,Academic
University of British Columbia,768,1675,34.375,44,1.7719742187500003,CANADA,Academic
University of Wisconsin Madison,766,2045,37.33681462140992,45,1.4419211488250654,USA,Academic
University of Barcelona,759,950,28.063241106719367,46,1.0696712779973652,SPAIN,Academic
University of Buenos Aires,741,346,16.059379217273953,47,0.3156985155195682,ARGENTINA,Academic
University of Pennsylvania,738,2034,39.701897018970186,48,2.2494029810298106,USA,Academic
