Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of London,3552,5859,33.108108108108105,1,1.7308682150900903,ENGLAND,Academic System
University of Oxford,3107,6703,37.56034760218861,2,1.9346683939491474,ENGLAND,Academic
University of California System,2229,4088,41.22925078510543,3,1.587626783310902,USA,Academic System
University of Cambridge,1858,2061,28.525296017222818,4,1.0072430032292787,ENGLAND,Academic
University of Edinburgh,1494,2511,26.974564926372157,5,1.316982061579652,SCOTLAND,Academic
University of Toronto,1299,1998,36.95150115473441,6,1.2814323325635104,CANADA,Academic
Russian Academy of Sciences,1244,944,32.87781350482315,7,1.095260691318328,RUSSIA,National Academy
Harvard University,1180,2993,46.779661016949156,8,1.963666525423729,USA,Academic
State University System of Florida,1029,1519,34.11078717201166,9,1.1602319727891157,USA,Academic System
Pennsylvania Commonwealth System of Higher Education (PCSHE),1028,1913,41.53696498054475,10,1.4296428015564202,USA,Academic System
University of Notre Dame,1003,1035,29.112662013958122,11,0.8588812562313061,USA,Academic
University of North Carolina,1002,2345,46.30738522954092,12,1.735960379241517,USA,Academic System
Durham University,984,1041,24.898373983739837,13,1.0061037601626017,ENGLAND,Academic
KU Leuven,963,1500,36.24091381100727,14,1.2666549325025962,BELGIUM,Academic
Centre National de la Recherche Scientifique (CNRS),952,1476,33.403361344537814,15,1.1146137605042017,FRANCE,Research Council
King's College London,948,1877,39.029535864978904,16,2.1643332278481013,ENGLAND,Academic
Yale University,894,1941,42.281879194630875,17,1.5675899328859062,USA,Academic
University of Pretoria,862,772,37.00696055684455,18,0.7076903712296984,SOUTH AFRICA,Academic
University of Vienna,847,746,24.08500590318772,19,1.0485221959858324,AUSTRIA,Academic
University of Sydney,819,1813,41.88034188034188,20,1.4615272283272285,AUSTRALIA,Academic
California State University System,809,1657,36.83559950556242,21,1.443419653893696,USA,Academic System
Duke University,804,1757,36.81592039800995,22,1.6688513681592039,USA,Academic
University of Warwick,803,1640,46.57534246575342,23,1.8894885429638857,ENGLAND,Academic
"Institute of Philosophy, Russian Academy of Sciences",802,657,33.915211970074814,24,1.3726725685785535,RUSSIA,Research Institute
City University of New York (CUNY) System,781,1448,34.18693982074264,25,1.7619989756722152,USA,Academic System
University of Texas System,739,1761,43.843031123139376,26,2.144325439783491,USA,Academic System
University College London,727,1527,39.0646492434663,27,2.167079229711142,ENGLAND,Academic
Hebrew University of Jerusalem,716,599,30.726256983240223,28,1.0856043296089386,ISRAEL,Academic
Boston College,712,549,25.280898876404496,29,0.9350662921348315,USA,Academic
New York University,711,2117,47.53867791842475,30,2.7170087201125175,USA,Academic
University of Helsinki,684,1086,42.251461988304094,31,1.2744112573099415,FINLAND,Academic
University of Munich,682,978,40.029325513196476,32,1.427917595307918,GERMANY (FED REP GER),Academic
Vrije Universiteit Amsterdam,679,1209,41.08983799705449,33,1.317741237113402,NETHERLANDS,Academic
Georgetown University,677,1068,38.847858197932055,34,1.4114387001477107,USA,Academic
University of Birmingham,673,1205,38.03863298662704,35,1.5096221396731055,ENGLAND,Academic
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),667,399,25.037481259370313,36,0.5911340329835083,ARGENTINA,Government
University of Oslo,665,1828,54.58646616541354,37,1.7345037593984964,NORWAY,Academic
State University of New York (SUNY) System,659,1017,39.150227617602425,38,1.9084916540212444,USA,Academic System
PSL Research University Paris (ComUE),658,593,25.835866261398177,39,0.9384787234042553,FRANCE,Academic
University of Navarra,655,691,20.916030534351147,40,0.67785893129771,SPAIN,Academic
University of St Andrews,648,856,32.098765432098766,41,2.091903086419753,SCOTLAND,Academic
Boston University,639,783,32.08137715179969,42,0.8350181533646323,USA,Academic
Baylor University,634,718,32.80757097791798,43,0.9160134069400632,USA,Academic
University of South Africa,631,491,34.389857369255154,44,0.6381879556259905,SOUTH AFRICA,Academic
University of Wisconsin System,625,854,33.28,45,1.2729763200000002,USA,Academic System
North West University - South Africa,623,460,31.30016051364366,46,0.548882985553772,SOUTH AFRICA,Academic
Complutense University of Madrid,607,150,12.685337726523887,47,0.470809060955519,SPAIN,Academic
Monash University,602,2481,54.81727574750831,48,2.8767583056478405,AUSTRALIA,Academic
University of Chicago,599,579,34.5575959933222,49,1.4221530884808016,USA,Academic
University of Amsterdam,599,1816,50.918196994991646,49,2.3880053422370615,NETHERLANDS,Academic
Columbia University,587,1168,43.100511073253834,51,1.693745826235094,USA,Academic
University System of Georgia,580,1169,38.793103448275865,52,1.3586260344827588,USA,Academic System
Stellenbosch University,573,651,38.21989528795812,53,0.7454561954624782,SOUTH AFRICA,Academic
University of Buenos Aires,559,256,20.930232558139537,54,0.46854490161001794,ARGENTINA,Academic
Emory University,556,620,30.035971223021583,55,0.8665958633093526,USA,Academic
University of Manchester,556,1835,49.64028776978417,55,2.1911102517985612,ENGLAND,Academic
University of Pennsylvania,551,1574,50.27223230490018,57,1.8465651542649728,USA,Academic
Stanford University,542,1301,45.94095940959409,58,1.618058856088561,USA,Academic
University of Melbourne,541,1728,48.98336414048059,59,2.309739926062847,AUSTRALIA,Academic
Utrecht University,530,941,40.75471698113208,60,1.257861886792453,NETHERLANDS,Academic
University of Exeter,512,973,32.03125,61,1.87443359375,ENGLAND,Academic
University of Copenhagen,509,1148,46.95481335952849,62,1.6604194499017682,DENMARK,Academic
Vanderbilt University,508,642,31.88976377952756,63,0.8854838582677166,USA,Academic
Australian Catholic University,508,439,31.69291338582677,63,1.1693277559055117,AUSTRALIA,Academic
University of Glasgow,502,770,30.0796812749004,65,1.5202559760956176,SCOTLAND,Academic
Indiana University System,493,855,40.36511156186612,66,2.0565186612576065,USA,Academic System
Fordham University,491,650,33.604887983706725,67,1.0772985743380856,USA,Academic
University of California Berkeley,487,752,41.68377823408625,68,1.7276868583162222,USA,Academic
McGill University,479,1159,44.676409185803756,69,1.9275678496868478,CANADA,Academic
University of Michigan System,475,1377,49.684210526315795,70,2.5915134736842105,USA,Academic System
University of Virginia,472,897,35.16949152542373,71,2.8642622881355932,USA,Academic
HSE University (National Research University Higher School of Economics),470,450,33.829787234042556,72,1.025538510638298,RUSSIA,Academic
University of Leeds,469,1110,43.923240938166316,73,1.7432931769722815,ENGLAND,Academic
University of London Heythrop College,467,63,8.565310492505352,74,0.34476573875803,ENGLAND,Academic
Tel Aviv University,466,588,38.197424892703864,75,0.9468974248927039,ISRAEL,Academic
Saint Petersburg State University,466,284,31.759656652360512,75,0.45187296137339056,RUSSIA,Academic
University of Michigan,463,1368,49.892008639308855,77,2.6470053995680347,USA,Academic
Radboud University Nijmegen,462,1007,43.073593073593074,78,1.5559971861471862,NETHERLANDS,Academic
Princeton University,462,987,42.42424242424242,78,2.4066015151515154,USA,Academic
University of Groningen,460,1177,47.391304347826086,80,1.8035265217391305,NETHERLANDS,Academic
Cardiff University,456,877,39.473684210526315,81,2.6623219298245617,WALES,Academic
Pennsylvania State University,455,808,41.098901098901095,82,1.333641978021978,USA,Academic
University of Turin,454,337,24.229074889867842,83,0.598335242290749,ITALY,Academic
Rutgers State University New Brunswick,442,1555,52.94117647058824,84,3.077938235294118,USA,Academic
Charles University Prague,441,224,18.367346938775512,85,0.586340589569161,CZECH REPUBLIC,Academic
Saint Louis University,440,664,37.95454545454545,86,1.3744513636363636,USA,Academic
Humboldt University of Berlin,439,710,39.863325740318906,87,1.5412815489749432,GERMANY (FED REP GER),Academic
Australian National University,434,1211,55.99078341013824,88,2.357506912442396,AUSTRALIA,Academic
Aarhus University,433,1174,47.11316397228637,89,2.126460277136259,DENMARK,Academic
Catholic University of America,432,177,16.89814814814815,90,0.5846680555555556,USA,Academic
University of North Carolina Chapel Hill,431,1346,53.82830626450116,91,2.5559619489559164,USA,Academic
Bar Ilan University,428,353,34.112149532710276,92,0.7702306074766355,ISRAEL,Academic
Macquarie University,426,1311,48.82629107981221,93,1.9929427230046948,AUSTRALIA,Academic
University of Colorado System,426,731,38.967136150234744,93,1.5589335680751175,USA,Academic System
University of Zurich,424,965,45.75471698113208,95,2.1964337264150946,SWITZERLAND,Academic
University of British Columbia,419,961,47.7326968973747,96,1.8250310262529832,CANADA,Academic
University of Bristol,418,1168,44.01913875598086,97,2.831352153110048,ENGLAND,Academic
University of Nottingham,417,971,46.52278177458034,98,2.4877812949640288,ENGLAND,Academic
Eberhard Karls University of Tubingen,416,580,34.13461538461539,99,1.2056247596153846,GERMANY (FED REP GER),Academic
University of Barcelona,410,485,32.4390243902439,100,1.4225239024390246,SPAIN,Academic
Lomonosov Moscow State University,403,338,31.265508684863523,101,0.7301851116625311,RUSSIA,Academic
University of Illinois System,402,755,39.55223880597015,102,1.504194527363184,USA,Academic System
University System of Maryland,401,901,45.38653366583541,103,1.494325187032419,USA,Academic System
University of Montreal,400,1211,45.0,104,2.3013935,CANADA,Academic
University of Washington,399,1187,55.639097744360896,105,2.5789,USA,Academic System
Uppsala University,397,806,44.83627204030227,106,1.9607171284634761,SWEDEN,Academic
Ruhr University Bochum,396,670,33.83838383838384,107,1.280937373737374,GERMANY (FED REP GER),Academic
Arizona State University,394,1061,49.746192893401016,108,1.78995076142132,USA,Academic System
University of Kent,390,330,24.615384615384617,109,0.762334358974359,ENGLAND,Academic
University of the Free State,387,312,38.24289405684754,110,0.6836589147286822,SOUTH AFRICA,Academic
University of Aberdeen,386,324,23.83419689119171,111,0.9224274611398964,SCOTLAND,Academic
Sapienza University Rome,386,219,19.170984455958546,111,0.5070834196891192,ITALY,Academic
Ohio State University,382,495,35.07853403141361,113,1.4655732984293195,USA,Academic
National University of Singapore,377,1129,53.05039787798409,114,2.197540848806366,SINGAPORE,Academic
Loyola University Chicago,372,340,25.268817204301076,115,1.0223354838709677,USA,Academic
University of Zagreb,372,165,19.086021505376344,115,0.295225,CROATIA,Academic
York University - Canada,369,1325,46.070460704607044,117,2.3913474254742546,CANADA,Academic
University of Washington Seattle,367,1057,55.313351498637594,118,2.589057493188011,USA,Academic
University of Texas Austin,366,678,38.52459016393443,119,1.6331393442622952,USA,Academic
McMaster University,365,553,28.21917808219178,120,0.8229441095890411,CANADA,Academic
University of Wisconsin Madison,363,446,34.9862258953168,121,0.983713223140496,USA,Academic
University of Pittsburgh,362,830,47.51381215469613,122,1.6665121546961328,USA,Academic
Pennsylvania State University - University Park,360,591,37.77777777777778,123,1.2808366666666666,USA,Academic
Arizona State University-Tempe,355,875,49.57746478873239,124,1.7464887323943663,USA,Academic
University of Padua,354,451,29.37853107344633,125,0.8747330508474577,ITALY,Academic
University of Ottawa,353,890,38.81019830028329,126,2.4944368271954676,CANADA,Academic
Tilburg University,347,647,45.53314121037464,127,1.695992795389049,NETHERLANDS,Academic
Northwestern University,346,759,38.72832369942196,128,2.117299132947977,USA,Academic
