Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of London,2826,2362,26.893135173389947,1,1.2695058032554847,ENGLAND,Academic System
University of California System,1760,1095,23.125,2,1.304827159090909,USA,Academic System
University College London,809,797,28.80098887515451,3,1.3019847960444995,ENGLAND,Academic
City University of New York (CUNY) System,749,267,16.955941255006675,4,1.0267961281708944,USA,Academic System
University of Cambridge,729,550,25.377229080932786,5,1.2632083676268862,ENGLAND,Academic
University of Oxford,680,482,23.52941176470588,6,1.2070601470588236,ENGLAND,Academic
New York University,666,360,23.123123123123122,7,1.2488911411411412,USA,Academic
University of Edinburgh,626,346,18.53035143769968,8,1.1714753993610225,SCOTLAND,Academic
Pennsylvania Commonwealth System of Higher Education (PCSHE),616,474,21.753246753246753,9,1.2386308441558442,USA,Academic System
Harvard University,610,498,21.311475409836063,10,1.109862786885246,USA,Academic
University of Melbourne,601,707,32.61231281198003,11,1.0321515806988353,AUSTRALIA,Academic
Columbia University,571,311,22.942206654991242,12,0.8190798598949213,USA,Academic
State University System of Florida,567,503,27.513227513227513,13,1.269504761904762,USA,Academic System
University of Leeds,552,325,20.47101449275362,14,2.189815760869565,ENGLAND,Academic
Polytechnic University of Milan,545,939,40.91743119266055,15,1.5529133944954128,ITALY,Academic
State University of New York (SUNY) System,532,480,24.06015037593985,16,1.743416165413534,USA,Academic System
Yale University,529,325,22.117202268431,17,1.3757943289224954,USA,Academic
University of Toronto,528,367,28.59848484848485,18,1.191758143939394,CANADA,Academic
University of North Carolina,511,308,22.89628180039139,19,1.0303739726027399,USA,Academic System
Complutense University of Madrid,506,255,19.367588932806324,20,0.6443217391304349,SPAIN,Academic
King's College London,501,266,22.55489021956088,21,1.3316375249501,ENGLAND,Academic
University of Texas System,494,380,23.88663967611336,22,1.0957821862348178,USA,Academic System
University of Sydney,476,410,31.092436974789916,23,1.08175987394958,AUSTRALIA,Academic
University of California Los Angeles,450,258,18.0,24,1.290135111111111,USA,Academic
University System of Georgia,444,400,26.576576576576578,25,1.1523229729729731,USA,Academic System
Universitat Politecnica de Valencia,433,187,17.782909930715935,26,0.4648778290993072,SPAIN,Academic
University of Sevilla,429,319,19.813519813519815,27,0.5975524475524476,SPAIN,Academic
University of Birmingham,428,159,14.252336448598129,28,0.6428927570093459,ENGLAND,Academic
University of Michigan System,421,376,25.653206650831358,29,1.012102137767221,USA,Academic System
University of Michigan,417,368,25.41966426858513,30,0.9700954436450839,USA,Academic
University of California Berkeley,412,234,24.75728155339806,31,1.6152288834951458,USA,Academic
Sapienza University Rome,407,753,36.11793611793612,32,1.2868855036855038,ITALY,Academic
Centre National de la Recherche Scientifique (CNRS),403,522,37.96526054590571,33,1.1261486352357322,FRANCE,Research Council
University of Pennsylvania,389,318,23.90745501285347,34,1.3075899742930592,USA,Academic
Monash University,388,420,35.824742268041234,35,1.0441755154639176,AUSTRALIA,Academic
California State University System,371,202,23.450134770889488,36,0.8825404312668464,USA,Academic System
University of Illinois System,366,387,28.96174863387978,37,1.089632786885246,USA,Academic System
University of Warwick,363,171,22.58953168044077,38,0.8196052341597797,ENGLAND,Academic
Free University of Berlin,362,173,21.823204419889503,39,0.6941640883977901,GERMANY (FED REP GER),Academic
University of Wisconsin System,352,256,25.85227272727273,40,1.1936491477272728,USA,Academic System
Universidad Politecnica de Madrid,351,142,20.22792022792023,41,0.4419381766381767,SPAIN,Academic
KU Leuven,343,550,44.02332361516035,42,1.5687889212827988,BELGIUM,Academic
University of Glasgow,342,269,25.730994152046783,43,1.8473090643274854,SCOTLAND,Academic
Indiana University System,337,435,33.23442136498516,44,1.1434795252225518,USA,Academic System
University of Texas Austin,324,256,23.456790123456788,45,1.2732604938271606,USA,Academic
Cardiff University,319,256,24.76489028213166,46,1.6576210031347964,WALES,Academic
Stanford University,318,610,22.0125786163522,47,1.2760861635220127,USA,Academic
Universidade de Lisboa,317,420,29.02208201892745,48,1.0826678233438485,PORTUGAL,Academic
University of Minnesota System,317,209,24.9211356466877,48,1.30926309148265,USA,Academic System
University of Manchester,315,254,25.71428571428571,50,0.9996873015873016,ENGLAND,Academic
Goldsmiths University London,311,272,29.903536977491964,51,1.16953922829582,ENGLAND,Academic
Ohio State University,309,343,35.275080906148865,52,1.0947912621359224,USA,Academic
University of New South Wales Sydney,309,500,36.89320388349515,52,1.4233825242718448,AUSTRALIA,Academic
Indiana University Bloomington,304,372,32.23684210526316,54,1.0904220394736843,USA,Academic
Royal Holloway University London,303,154,20.462046204620464,55,0.7639501650165017,ENGLAND,Academic
University of Minnesota Twin Cities,302,200,25.165562913907287,56,0.9063625827814569,USA,Academic
Polytechnic University of Turin,302,510,42.05298013245033,56,1.6659794701986756,ITALY,Academic
University of Sheffield,291,386,32.64604810996563,58,1.2506443298969072,ENGLAND,Academic
McGill University,290,332,34.13793103448276,59,1.619908275862069,CANADA,Academic
University of Nottingham,289,240,26.989619377162633,60,0.9357193771626299,ENGLAND,Academic
University of Arts London,289,273,31.141868512110726,60,1.6801761245674742,ENGLAND,Academic
University of Amsterdam,286,626,41.25874125874126,62,2.354768181818182,NETHERLANDS,Academic
University of Southern California,285,222,27.368421052631582,63,0.9594389473684212,USA,Academic
University of Bologna,282,502,36.52482269503546,64,1.4705875886524824,ITALY,Academic
Princeton University,282,297,24.46808510638298,64,1.8852195035460992,USA,Academic
University of Granada,275,255,28.000000000000004,66,0.8428025454545455,SPAIN,Academic
University of Florence,274,507,33.941605839416056,67,1.5939992700729928,ITALY,Academic
Griffith University,274,396,41.24087591240876,67,1.6156956204379562,AUSTRALIA,Academic
Royal Melbourne Institute of Technology (RMIT),274,331,38.32116788321168,67,1.3412335766423358,AUSTRALIA,Academic
Massachusetts Institute of Technology (MIT),273,154,23.076923076923077,70,0.5612542124542126,USA,Academic
Delft University of Technology,273,534,51.28205128205128,70,2.187754212454213,NETHERLANDS,Academic
Pennsylvania State University,269,291,24.53531598513011,72,1.4182159851301117,USA,Academic
Sorbonne Universite,268,281,29.1044776119403,73,1.4077992537313433,FRANCE,Academic
University of York - UK,267,178,25.0936329588015,74,0.906170786516854,ENGLAND,Academic
University System of Maryland,266,184,24.43609022556391,75,3.0890909774436093,USA,Academic System
Universidade de Sao Paulo,265,91,16.60377358490566,76,0.45593849056603775,BRAZIL,Academic
University of Auckland,265,206,25.28301886792453,76,1.5924830188679246,NEW ZEALAND,Academic
Cracow University of Technology,261,201,29.88505747126437,78,0.9694118773946361,POLAND,Academic
University of Oslo,260,320,31.538461538461537,79,1.6507653846153847,NORWAY,Academic
University of Chicago,259,168,25.482625482625483,80,0.9195196911196912,USA,Academic
Pontificia Universidad Catolica de Chile,256,161,21.875,81,0.683391015625,CHILE,Academic
University of Exeter,254,116,23.62204724409449,82,1.2737027559055119,ENGLAND,Academic
Kazan Federal University,250,258,41.6,83,0.8334408000000001,RUSSIA,Academic
Ghent University,249,428,42.971887550200805,84,1.373067871485944,BELGIUM,Academic
Egyptian Knowledge Bank (EKB),248,386,43.95161290322581,85,1.5702354838709678,EGYPT,Government
Queen Mary University London,248,264,32.66129032258064,85,1.479514919354839,ENGLAND,Academic
Northwestern University,247,236,28.74493927125506,87,2.6463198380566806,USA,Academic
Polytechnic University of Catalonia,247,300,36.84210526315789,87,0.993755060728745,SPAIN,Academic
Cornell University,246,175,26.82926829268293,89,0.8993365853658537,USA,Academic
University of Miami,245,110,11.428571428571429,90,0.6225530612244897,USA,Academic
University of Reading,244,206,25.0,91,1.1643340163934428,ENGLAND,Academic
University of Kent,243,137,25.514403292181072,92,1.7563732510288068,ENGLAND,Academic
University of Valencia,242,104,17.355371900826448,93,0.7279326446280993,SPAIN,Academic
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),242,140,24.380165289256198,93,0.6256314049586778,ARGENTINA,Government
Birkbeck University London,231,107,24.242424242424242,95,1.2159826839826842,ENGLAND,Academic
Northumbria University,231,241,32.467532467532465,95,1.8847896103896102,ENGLAND,Academic
York University - Canada,230,102,22.608695652173914,97,0.5582960869565218,CANADA,Academic
University of Washington,229,127,25.327510917030565,98,0.9931602620087336,USA,Academic System
University of Basque Country,229,147,20.087336244541483,98,0.50292096069869,SPAIN,Academic
Aalborg University,228,386,43.42105263157895,100,2.4247394736842107,DENMARK,Academic
Victoria University Wellington,226,204,31.858407079646017,101,1.6238769911504425,NEW ZEALAND,Academic
University of East Anglia,224,147,27.67857142857143,102,1.107816517857143,ENGLAND,Academic
Consiglio Nazionale delle Ricerche (CNR),224,913,70.08928571428571,102,2.787707589285714,ITALY,Research Council
Brown University,222,87,15.765765765765765,104,0.44485180180180184,USA,Academic
Newcastle University - UK,222,245,32.432432432432435,104,1.3681072072072074,ENGLAND,Academic
University of Liverpool,222,244,36.03603603603604,104,1.9003626126126125,ENGLAND,Academic
University of Bristol,222,105,19.36936936936937,104,0.9655657657657658,ENGLAND,Academic
University of British Columbia,221,148,25.339366515837103,108,1.851898190045249,CANADA,Academic
Roehampton University,221,186,24.43438914027149,108,0.9359714932126697,ENGLAND,Academic
University of California Santa Barbara,220,145,22.272727272727273,110,0.5332486363636364,USA,Academic
University of Buenos Aires,220,47,10.454545454545453,110,0.19650363636363638,ARGENTINA,Academic
ETH Zurich,218,261,32.11009174311927,112,1.0711793577981652,SWITZERLAND,Academic
University of Padua,217,474,47.465437788018434,113,1.909935483870968,ITALY,Academic
Rutgers State University New Brunswick,216,91,14.814814814814813,114,1.3794300925925926,USA,Academic
University of Washington Seattle,215,117,24.186046511627907,115,0.9076013953488372,USA,Academic
University of Queensland,215,324,41.86046511627907,115,4.817102790697674,AUSTRALIA,Academic
Islamic Azad University,215,117,18.6046511627907,115,0.474233488372093,IRAN,Academic
University of Zagreb,214,103,19.158878504672895,118,0.592157476635514,CROATIA,Academic
University of Illinois Urbana-Champaign,212,231,33.0188679245283,119,0.856870283018868,USA,Academic
University of Naples Federico II,212,287,36.32075471698113,119,1.4592712264150944,ITALY,Academic
University of Barcelona,210,179,27.61904761904762,121,0.8650661904761905,SPAIN,Academic
University of Southampton,209,141,27.751196172248804,122,0.7467272727272727,ENGLAND,Academic
University of Massachusetts System,208,216,31.25,123,1.3051307692307692,USA,Academic System
Universidad de Valladolid,207,147,21.73913043478261,124,1.4440260869565218,SPAIN,Academic
University of Vienna,206,314,26.21359223300971,125,1.8707422330097088,AUSTRIA,Academic
Metropolitan Museum of Art,205,79,16.097560975609756,126,2.4905214634146344,USA,Nonprofit
Utrecht University,204,342,38.72549019607843,127,1.665730392156863,NETHERLANDS,Academic
Concordia University - Canada,204,181,33.82352941176471,127,1.0688318627450981,CANADA,Academic
Deakin University,203,243,33.99014778325123,129,1.1193517241379312,AUSTRALIA,Academic
De Montfort University,203,192,29.064039408866993,129,1.2595733990147784,ENGLAND,Academic
University of Virginia,196,71,21.428571428571427,131,0.6037795918367347,USA,Academic
University of Technology Sydney,195,189,31.28205128205128,132,1.1567635897435897,AUSTRALIA,Academic
Lancaster University,195,223,43.07692307692308,132,1.8401297435897437,ENGLAND,Academic
Pennsylvania State University - University Park,194,175,26.804123711340207,134,1.2605123711340207,USA,Academic
Durham University,193,311,31.606217616580313,135,1.6849575129533678,ENGLAND,Academic
University of Copenhagen,189,226,37.03703703703704,136,1.1257481481481482,DENMARK,Academic
Universidade Nova de Lisboa,187,271,33.155080213903744,137,1.0269716577540107,PORTUGAL,Academic
University of Zaragoza,187,119,19.25133689839572,137,0.5256016042780748,SPAIN,Academic
PSL Research University Paris (ComUE),187,128,26.737967914438503,137,0.7497240641711231,FRANCE,Academic
Oxford Brookes University,186,214,25.268817204301076,140,1.7694666666666667,ENGLAND,Academic
University of Pittsburgh,184,45,15.760869565217392,141,0.9424907608695653,USA,Academic
Universidad de Chile,183,106,21.311475409836063,142,0.586660655737705,CHILE,Academic
Washington University (WUSTL),182,149,19.230769230769234,143,1.0307912087912088,USA,Academic
Duke University,182,114,17.032967032967033,143,1.3435461538461537,USA,Academic
Nanyang Technological University,182,243,31.318681318681318,143,1.0226467032967033,SINGAPORE,Academic
Nanyang Technological University & National Institute of Education (NIE) Singapore,182,243,31.318681318681318,143,1.0226467032967033,SINGAPORE,Academic
University of Sussex,181,145,26.519337016574585,147,1.7544828729281767,ENGLAND,Academic
Istanbul Technical University,181,168,38.12154696132597,147,1.0716237569060774,TURKEY,Academic
University of Westminster,180,114,20.0,149,0.7507877777777778,ENGLAND,Academic
University of Maryland College Park,179,128,22.905027932960895,150,2.872612290502793,USA,Academic
University of California Irvine,178,87,25.280898876404496,151,0.7755303370786517,USA,Academic
University of Wisconsin Madison,178,185,34.26966292134831,151,1.5777848314606744,USA,Academic
Aarhus University,177,333,42.93785310734463,153,2.910001129943503,DENMARK,Academic
University of Hamburg,177,148,33.33333333333333,153,0.7760084745762712,GERMANY (FED REP GER),Academic
Czech Academy of Sciences,175,129,25.71428571428571,155,0.8111914285714287,CZECH REPUBLIC,National Academy
University of Brighton,173,112,23.121387283236995,156,1.006699421965318,ENGLAND,Academic
Boston University,172,154,26.744186046511626,157,1.7109377906976746,USA,Academic
Macquarie University,172,176,35.46511627906977,157,0.9885872093023256,AUSTRALIA,Academic
University of Ljubljana,172,170,33.13953488372093,157,0.7421261627906977,SLOVENIA,Academic
University of North Carolina Chapel Hill,171,94,23.976608187134502,160,1.3044520467836258,USA,Academic
University of Antwerp,171,212,39.1812865497076,160,1.6248900584795323,BELGIUM,Academic
Queensland University of Technology (QUT),171,224,40.93567251461988,160,1.6821467836257311,AUSTRALIA,Academic
University of St Andrews,171,102,25.146198830409354,160,0.7716549707602339,SCOTLAND,Academic
National University of Singapore,170,249,39.411764705882355,164,3.0925676470588233,SINGAPORE,Academic
University of London Courtauld Institute of Art,169,53,13.017751479289942,165,1.4595674556213019,ENGLAND,Academic
Birmingham City University,168,93,21.428571428571427,166,0.8429779761904763,ENGLAND,Academic
Arizona State University,165,83,21.21212121212121,167,1.0039854545454545,USA,Academic System
University of Newcastle,165,142,32.121212121212125,167,1.000348484848485,AUSTRALIA,Academic
Consejo Superior de Investigaciones Cientificas (CSIC),165,210,22.424242424242426,167,1.2659066666666667,SPAIN,Research Council
University of Colorado System,164,149,28.65853658536585,170,0.8861914634146343,USA,Academic System
University of Missouri System,164,134,27.439024390243905,170,0.887604268292683,USA,Academic System
Queens University Belfast,164,120,28.65853658536585,170,0.7427323170731708,NORTHERN IRELAND,Academic
Temple University,162,125,23.456790123456788,173,1.2499216049382715,USA,Academic
Manchester Metropolitan University,162,114,27.160493827160494,173,0.9741660493827162,ENGLAND,Academic
Florida State University,161,180,31.05590062111801,175,1.3463527950310559,USA,Academic
Aalto University,160,283,49.375,176,1.78476625,FINLAND,Academic
Carleton University,160,90,21.25,176,0.7393912499999999,CANADA,Academic
Universidad de Malaga,160,55,15.0,176,0.5594918750000001,SPAIN,Academic
Arizona State University-Tempe,159,79,21.38364779874214,179,1.022638993710692,USA,Academic
Universidade do Porto,157,363,44.5859872611465,180,1.8547694267515924,PORTUGAL,Academic
Kingston University,157,68,21.019108280254777,180,0.41854840764331214,ENGLAND,Academic
Roma Tre University,156,369,34.61538461538461,182,1.480619871794872,ITALY,Academic
University of Illinois Chicago,155,156,23.225806451612904,183,1.4009619354838712,USA,Academic
University of Kansas,155,130,30.32258064516129,183,1.2009722580645161,USA,Academic
University of Helsinki,155,186,37.41935483870968,183,1.1013761290322581,FINLAND,Academic
University of Illinois Chicago Hospital,155,156,23.225806451612904,183,1.4009619354838712,USA,Health
School of the Art Institute of Chicago,153,59,11.76470588235294,187,1.6220660130718956,USA,Academic
University of Cape Town,152,95,30.92105263157895,188,1.1483986842105263,SOUTH AFRICA,Academic
Australian National University,151,108,24.503311258278146,189,0.7328768211920531,AUSTRALIA,Academic
University of Arizona,150,113,24.0,190,0.9347806666666668,USA,Academic
University of Oregon,149,97,23.48993288590604,191,1.1038590604026848,USA,Academic
University of Munich,149,96,27.516778523489933,191,0.7180281879194632,GERMANY (FED REP GER),Academic
Yildiz Technical University,149,85,24.832214765100673,191,0.4987436241610739,TURKEY,Academic
University of Huddersfield,148,95,33.108108108108105,194,0.5766925675675676,ENGLAND,Academic
Universidade Estadual de Campinas,147,49,19.727891156462583,195,0.434795918367347,BRAZIL,Academic
Masaryk University Brno,147,83,29.25170068027211,195,0.5988272108843538,CZECH REPUBLIC,Academic
Western University (University of Western Ontario),145,90,23.448275862068964,197,0.6719331034482758,CANADA,Academic
Technical University of Berlin,145,129,24.82758620689655,197,1.018375172413793,GERMANY (FED REP GER),Academic
University College Dublin,145,96,22.06896551724138,197,0.6924586206896552,IRELAND,Academic
Michigan State University,143,256,44.05594405594406,200,3.1941384615384614,USA,Academic
University of Rochester,143,141,27.972027972027973,200,2.712518881118881,USA,Academic
