Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
University of London,2344,1719,21.245733788395903,1,1.6582711604095564,ENGLAND,Academic System
University of Oxford,1214,598,17.462932454695224,2,2.469390032948929,ENGLAND,Academic
University of California System,1192,833,23.573825503355707,3,1.1575562919463087,USA,Academic System
Russian Academy of Sciences,1099,414,23.56687898089172,4,0.5108591446769791,RUSSIA,National Academy
University of Cambridge,859,598,20.256111757857976,5,2.183497671711292,ENGLAND,Academic
University College London,785,714,23.694267515923567,6,1.7713979617834394,ENGLAND,Academic
Harvard University,578,498,23.356401384083046,7,1.785151903114187,USA,Academic
City University of New York (CUNY) System,508,329,22.440944881889763,8,2.15120531496063,USA,Academic System
University of Toronto,505,309,21.18811881188119,9,1.0407653465346534,CANADA,Academic
Saint Petersburg State University,484,158,19.421487603305785,10,0.5192977272727273,RUSSIA,Academic
Ural Federal University,476,173,22.268907563025213,11,0.47920651260504205,RUSSIA,Academic
King's College London,458,331,21.17903930131004,12,2.4364781659388646,ENGLAND,Academic
New York University,454,342,22.24669603524229,13,2.0590321585903086,USA,Academic
Yale University,403,445,21.83622828784119,14,0.8786816377171216,USA,Academic
Centre National de la Recherche Scientifique (CNRS),389,468,29.048843187660665,15,0.9712552699228792,FRANCE,Research Council
Columbia University,385,239,22.337662337662337,16,1.6544992207792208,USA,Academic
University of Texas System,383,258,25.326370757180154,17,0.7667608355091383,USA,Academic System
Ministry of Education & Science of Ukraine,382,333,24.345549738219894,18,2.3294528795811518,UKRAINE,Government
State University System of Florida,380,165,18.421052631578945,19,0.6824163157894737,USA,Academic System
University of Granada,379,95,12.66490765171504,20,0.27102849604221635,SPAIN,Academic
University of North Carolina,366,456,23.224043715846996,21,0.9107658469945356,USA,Academic System
Pennsylvania Commonwealth System of Higher Education (PCSHE),360,382,30.277777777777775,22,1.2112658333333333,USA,Academic System
State University of New York (SUNY) System,351,339,23.931623931623932,23,1.1083188034188034,USA,Academic System
University of Sydney,336,290,24.404761904761905,24,1.2514720238095238,AUSTRALIA,Academic
Complutense University of Madrid,329,86,13.37386018237082,25,0.7447319148936171,SPAIN,Academic
California State University System,324,119,20.679012345679013,26,0.5693635802469136,USA,Academic System
Princeton University,319,328,21.630094043887148,27,1.492271473354232,USA,Academic
Universidade de Sao Paulo,311,54,10.932475884244374,28,0.412064308681672,BRAZIL,Academic
Islamic Azad University,311,91,18.971061093247588,28,0.3928848874598071,IRAN,Academic
University of Manchester,310,387,33.5483870967742,30,1.991472258064516,ENGLAND,Academic
University of Leeds,297,259,25.925925925925924,31,1.2508521885521886,ENGLAND,Academic
University System of Georgia,295,206,23.728813559322035,32,0.8234898305084747,USA,Academic System
Tomsk State University,290,103,21.72413793103448,33,0.4933627586206896,RUSSIA,Academic
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),288,96,18.40277777777778,34,0.45552534722222227,ARGENTINA,Government
University of Illinois System,285,171,21.403508771929825,35,0.7615880701754386,USA,Academic System
Indiana University System,280,192,22.857142857142858,36,0.8100642857142858,USA,Academic System
University of Exeter,279,199,22.22222222222222,37,3.8717645161290326,ENGLAND,Academic
University of California Berkeley,276,150,20.28985507246377,38,0.9317804347826087,USA,Academic
University of Warwick,274,182,24.087591240875913,39,1.6784270072992702,ENGLAND,Academic
University of Edinburgh,265,193,29.433962264150942,40,1.107631320754717,SCOTLAND,Academic
